t,budget_per_kernel,replication,method,truth,error
0.0,25,0,uniform,0.3,0.020000000000000018
0.0,25,0,learned_occupancy,0.3,-0.003703703703703709
0.0,25,0,learned_mean,0.3,-0.00833333333333336
0.0,25,0,tis,0.3,-0.04999999999999999
0.0,25,0,tis_anchored,0.3,-0.0222222222222222
0.0,25,0,oracle_tail,0.3,0.020000000000000018
0.0,25,0,complete_rollout,0.3,0.006666666666666654
0.0,25,1,uniform,0.3,0.006666666666666654
0.0,25,1,learned_occupancy,0.3,-0.003703703703703709
0.0,25,1,learned_mean,0.3,-0.003703703703703709
0.0,25,1,tis,0.3,0.033333333333333326
0.0,25,1,tis_anchored,0.3,0.033333333333333326
0.0,25,1,oracle_tail,0.3,0.006666666666666654
0.0,25,1,complete_rollout,0.3,0.03333333333333338
0.0,25,2,uniform,0.3,-0.04666666666666669
0.0,25,2,learned_occupancy,0.3,-0.003703703703703709
0.0,25,2,learned_mean,0.3,0.033333333333333326
0.0,25,2,tis,0.3,0.017460317460317454
0.0,25,2,tis_anchored,0.3,0.011111111111111127
0.0,25,2,oracle_tail,0.3,-0.04666666666666669
0.0,25,2,complete_rollout,0.3,0.019999999999999962
0.0,25,3,uniform,0.3,0.006666666666666654
0.0,25,3,learned_occupancy,0.3,-0.003703703703703709
0.0,25,3,learned_mean,0.3,-0.003703703703703709
0.0,25,3,tis,0.3,-0.07777777777777778
0.0,25,3,tis_anchored,0.3,-0.0222222222222222
0.0,25,3,oracle_tail,0.3,0.006666666666666654
0.0,25,3,complete_rollout,0.3,0.006666666666666654
0.0,25,4,uniform,0.3,0.006666666666666654
0.0,25,4,learned_occupancy,0.3,0.033333333333333326
0.0,25,4,learned_mean,0.3,0.033333333333333326
0.0,25,4,tis,0.3,0.0222222222222222
0.0,25,4,tis_anchored,0.3,0.016666666666666663
0.0,25,4,oracle_tail,0.3,0.006666666666666654
0.0,25,4,complete_rollout,0.3,0.006666666666666654
0.0,25,5,uniform,0.3,-0.020000000000000018
0.0,25,5,learned_occupancy,0.3,-0.003703703703703709
0.0,25,5,learned_mean,0.3,-0.003703703703703709
0.0,25,5,tis,0.3,-0.06785714285714287
0.0,25,5,tis_anchored,0.3,-0.032323232323232365
0.0,25,5,oracle_tail,0.3,-0.020000000000000018
0.0,25,5,complete_rollout,0.3,0.006666666666666654
0.0,25,6,uniform,0.3,0.006666666666666654
0.0,25,6,learned_occupancy,0.3,0.033333333333333326
0.0,25,6,learned_mean,0.3,0.033333333333333326
0.0,25,6,tis,0.3,0.033333333333333326
0.0,25,6,tis_anchored,0.3,0.033333333333333326
0.0,25,6,oracle_tail,0.3,0.006666666666666654
0.0,25,6,complete_rollout,0.3,0.019999999999999962
0.0,25,7,uniform,0.3,-0.033333333333333326
0.0,25,7,learned_occupancy,0.3,-0.040740740740740744
0.0,25,7,learned_mean,0.3,-0.040740740740740744
0.0,25,7,tis,0.3,-0.07777777777777778
0.0,25,7,tis_anchored,0.3,-0.0222222222222222
0.0,25,7,oracle_tail,0.3,-0.033333333333333326
0.0,25,7,complete_rollout,0.3,0.019999999999999962
0.0,25,8,uniform,0.3,0.033333333333333326
0.0,25,8,learned_occupancy,0.3,0.033333333333333326
0.0,25,8,learned_mean,0.3,0.033333333333333326
0.0,25,8,tis,0.3,0.033333333333333326
0.0,25,8,tis_anchored,0.3,0.033333333333333326
0.0,25,8,oracle_tail,0.3,0.033333333333333326
0.0,25,8,complete_rollout,0.3,0.019999999999999962
0.0,25,9,uniform,0.3,-0.033333333333333326
0.0,25,9,learned_occupancy,0.3,-0.07777777777777778
0.0,25,9,learned_mean,0.3,-0.07777777777777778
0.0,25,9,tis,0.3,-0.07777777777777778
0.0,25,9,tis_anchored,0.3,-0.07777777777777778
0.0,25,9,oracle_tail,0.3,-0.033333333333333326
0.0,25,9,complete_rollout,0.3,-0.006666666666666654
0.0,25,10,uniform,0.3,-0.006666666666666654
0.0,25,10,learned_occupancy,0.3,-0.040740740740740744
0.0,25,10,learned_mean,0.3,-0.037037037037037035
0.0,25,10,tis,0.3,0.0015873015873015817
0.0,25,10,tis_anchored,0.3,-0.058730158730158744
0.0,25,10,oracle_tail,0.3,-0.006666666666666654
0.0,25,10,complete_rollout,0.3,0.006666666666666654
0.0,25,11,uniform,0.3,0.006666666666666654
0.0,25,11,learned_occupancy,0.3,0.033333333333333326
0.0,25,11,learned_mean,0.3,0.033333333333333326
0.0,25,11,tis,0.3,0.033333333333333326
0.0,25,11,tis_anchored,0.3,0.033333333333333326
0.0,25,11,oracle_tail,0.3,0.006666666666666654
0.0,25,11,complete_rollout,0.3,-0.006666666666666654
0.0,25,12,uniform,0.3,-0.06
0.0,25,12,learned_occupancy,0.3,-0.11481481481481481
0.0,25,12,learned_mean,0.3,-0.10740740740740742
0.0,25,12,tis,0.3,-0.01428571428571429
0.0,25,12,tis_anchored,0.3,-0.1142857142857143
0.0,25,12,oracle_tail,0.3,-0.06
0.0,25,12,complete_rollout,0.3,-0.020000000000000018
0.0,25,13,uniform,0.3,0.006666666666666654
0.0,25,13,learned_occupancy,0.3,0.033333333333333326
0.0,25,13,learned_mean,0.3,0.033333333333333326
0.0,25,13,tis,0.3,0.0222222222222222
0.0,25,13,tis_anchored,0.3,0.033333333333333326
0.0,25,13,oracle_tail,0.3,0.006666666666666654
0.0,25,13,complete_rollout,0.3,-0.006666666666666654
0.0,25,14,uniform,0.3,0.020000000000000018
0.0,25,14,learned_occupancy,0.3,-0.003703703703703709
0.0,25,14,learned_mean,0.3,-0.00833333333333336
0.0,25,14,tis,0.3,-0.04999999999999999
0.0,25,14,tis_anchored,0.3,-0.01428571428571429
0.0,25,14,oracle_tail,0.3,0.020000000000000018
0.0,25,14,complete_rollout,0.3,0.006666666666666654
0.0,25,15,uniform,0.3,-0.06
0.0,25,15,learned_occupancy,0.3,-0.07777777777777778
0.0,25,15,learned_mean,0.3,-0.07777777777777778
0.0,25,15,tis,0.3,-0.2503968253968254
0.0,25,15,tis_anchored,0.3,-0.14343434343434347
0.0,25,15,oracle_tail,0.3,-0.06
0.0,25,15,complete_rollout,0.3,0.006666666666666654
0.0,25,16,uniform,0.3,-0.006666666666666654
0.0,25,16,learned_occupancy,0.3,-0.003703703703703709
0.0,25,16,learned_mean,0.3,-0.003703703703703709
0.0,25,16,tis,0.3,0.0222222222222222
0.0,25,16,tis_anchored,0.3,-0.0222222222222222
0.0,25,16,oracle_tail,0.3,-0.006666666666666654
0.0,25,16,complete_rollout,0.3,0.03333333333333338
0.0,25,17,uniform,0.3,-0.033333333333333326
0.0,25,17,learned_occupancy,0.3,-0.003703703703703709
0.0,25,17,learned_mean,0.3,-0.003703703703703709
0.0,25,17,tis,0.3,0.027380952380952395
0.0,25,17,tis_anchored,0.3,-0.032323232323232365
0.0,25,17,oracle_tail,0.3,-0.033333333333333326
0.0,25,17,complete_rollout,0.3,0.03333333333333338
0.0,25,18,uniform,0.3,-0.006666666666666654
0.0,25,18,learned_occupancy,0.3,-0.040740740740740744
