t,budget_per_kernel,method,replications,truth,mse,mse_se,bias
0.0,25,uniform,1000,0.3,0.0004309333333333335,1.9740582495557994e-05,0.0006933333333333342
0.0,25,learned_occupancy,1000,0.3,0.0011813443072702335,6.231639354870928e-05,-3.703703703704248e-05
0.0,25,learned_mean,1000,0.3,0.0011799715692912543,6.142321783987823e-05,0.00020080567580566907
0.0,25,tis,1000,0.3,0.0019545149098065396,0.00013123499080959475,0.0018603773261153087
0.0,25,tis_anchored,1000,0.3,0.0014080677428068623,7.876375478624475e-05,-0.0001113418740017281
0.0,25,oracle_tail,1000,0.3,0.0004309333333333335,1.9740582495557994e-05,0.0006933333333333342
0.0,25,complete_rollout,1000,0.3,0.0004416,2.0026596781598407e-05,2.6666666666659152e-05
0.0,50,uniform,1000,0.3,0.00021373333333333337,9.47615372085073e-06,0.00013999999999999305
0.0,50,learned_occupancy,1000,0.3,0.00046469907407407397,2.269243225671271e-05,-0.0003472222222222352
0.0,50,learned_mean,1000,0.3,0.00046103986938635333,2.276179624819744e-05,-0.0002752531456617674
0.0,50,tis,1000,0.3,0.0011752586877643836,7.604506569803804e-05,0.0015163639801405611
0.0,50,tis_anchored,1000,0.3,0.0005943170248380402,2.8278502044638652e-05,0.0005030429012741111
0.0,50,oracle_tail,1000,0.3,0.00021373333333333337,9.47615372085073e-06,0.00013999999999999305
0.0,50,complete_rollout,1000,0.3,0.00022253333333333301,1.0070398257726312e-05,0.0004466666666666655
0.0,100,uniform,1000,0.3,0.00011068888888888892,4.795919856192358e-06,0.00028666666666666267
0.0,100,learned_occupancy,1000,0.3,0.00017679012345679014,7.865888760755346e-06,0.000844444444444442
0.0,100,learned_mean,1000,0.3,0.0001805266113754089,7.863398576063829e-06,0.0007025401357774187
0.0,100,tis,1000,0.3,0.0005996418342262861,3.19346458349676e-05,0.0005007831816007649
0.0,100,tis_anchored,1000,0.3,0.00022554398918245785,9.753147605208875e-06,0.0007070152676462656
0.0,100,oracle_tail,1000,0.3,0.00011068888888888892,4.795919856192358e-06,0.00028666666666666267
0.0,100,complete_rollout,1000,0.3,0.00011158888888888893,5.5671900308330945e-06,0.0001633333333333094
0.0,200,uniform,1000,0.3,5.477777777777779e-05,2.3548155484832547e-06,0.00010333333333333105
0.0,200,learned_occupancy,1000,0.3,8.225802575932336e-05,3.857949305146844e-06,-0.0001838235294117745
0.0,200,learned_mean,1000,0.3,8.148983284578831e-05,3.857874545699424e-06,-0.000174882778935062
0.0,200,tis,1000,0.3,0.00028031800088738115,1.4882420562039156e-05,-0.00014476410685259833
0.0,200,tis_anchored,1000,0.3,9.809785265818712e-05,5.093737396155512e-06,3.9549777038769276e-05
0.0,200,oracle_tail,1000,0.3,5.477777777777779e-05,2.3548155484832547e-06,0.00010333333333333105
0.0,200,complete_rollout,1000,0.3,5.0677777777777834e-05,2.3342700345872917e-06,0.0003966666666666664
0.0,400,uniform,1000,0.3,2.979930555555556e-05,1.2641855257117883e-06,7.499999999996399e-06
0.0,400,learned_occupancy,1000,0.3,3.8905853650655176e-05,1.66953712181265e-06,0.00021181716833889956
0.0,400,learned_mean,1000,0.3,3.821600846380651e-05,1.6094148967592035e-06,0.00022093891796391056
0.0,400,tis,1000,0.3,0.00012821184072979536,6.5958506222149546e-06,0.00015798907458510202
