t,budget_per_kernel,tis_share_of_kernel0_median,tis_share_of_kernel0_p10,oracle_share_of_kernel0
0.0,25,0.044444444444444446,0.044444444444444446,0.1
0.0,50,0.029166666666666667,0.029166666666666667,0.1
0.0,100,0.021666666666666667,0.02,0.1
0.0,200,0.016176470588235296,0.016176470588235296,0.1
0.0,400,0.11371237458193979,0.013043478260869565,0.1
0.5,25,0.3333333333333333,0.044444444444444446,0.26423812421683274
0.5,50,0.3875,0.029166666666666667,0.26423812421683274
0.5,100,0.385,0.1,0.26423812421683274
0.5,200,0.3551470588235294,0.22176470588235295,0.26423812421683274
0.5,400,0.3311036789297659,0.23110367892976588,0.26423812421683274
1.0,25,0.6222222222222222,0.1,1.0
1.0,50,0.75,0.75,1.0
1.0,100,0.815,0.815,1.0
1.0,200,0.8544117647058823,0.8544117647058823,1.0
1.0,400,0.8816053511705686,0.8816053511705686,1.0
