budget_per_group,method,replication,panel_mean_estimate
25,complete_rollout,0,1.8727272417164762
25,complete_rollout,1,1.873194617831504
25,complete_rollout,2,1.8728830337548186
25,complete_rollout,3,1.8728830337548186
25,complete_rollout,4,1.8730388257931612
25,complete_rollout,5,1.8728830337548186
25,complete_rollout,6,1.8727272417164762
25,complete_rollout,7,1.8728830337548186
25,complete_rollout,8,1.8728830337548186
25,complete_rollout,9,1.873194617831504
25,complete_rollout,10,1.873194617831504
25,complete_rollout,11,1.8728830337548186
25,complete_rollout,12,1.873251438584282
25,complete_rollout,13,1.8726282704309116
25,complete_rollout,14,1.8730956465459394
25,complete_rollout,15,1.873194617831504
25,complete_rollout,16,1.8730388257931612
25,complete_rollout,17,1.8730956465459394
25,complete_rollout,18,1.8725714496781334
25,complete_rollout,19,1.8728830337548186
25,complete_rollout,20,1.873194617831504
25,complete_rollout,21,1.8728830337548186
25,complete_rollout,22,1.8730388257931612
25,complete_rollout,23,1.8730388257931612
25,complete_rollout,24,1.8730388257931612
25,complete_rollout,25,1.8730388257931612
25,complete_rollout,26,1.873194617831504
25,complete_rollout,27,1.8730388257931612
25,complete_rollout,28,1.8730388257931612
25,complete_rollout,29,1.8726282704309116
25,complete_rollout,30,1.8730388257931612
25,complete_rollout,31,1.8727840624692542
25,complete_rollout,32,1.873194617831504
25,complete_rollout,33,1.8730388257931612
25,complete_rollout,34,1.8725714496781334
25,complete_rollout,35,1.8725714496781334
25,complete_rollout,36,1.8733504098698464
25,complete_rollout,37,1.8730388257931612
25,complete_rollout,38,1.8728830337548186
25,complete_rollout,39,1.873194617831504
25,complete_rollout,40,1.8730388257931612
25,complete_rollout,41,1.8728830337548186
25,complete_rollout,42,1.8730388257931612
25,complete_rollout,43,1.8727272417164762
25,complete_rollout,44,1.8733504098698464
25,complete_rollout,45,1.8727272417164762
25,complete_rollout,46,1.8724156576397908
25,complete_rollout,47,1.873194617831504
25,complete_rollout,48,1.873194617831504
25,complete_rollout,49,1.8730388257931612
25,complete_rollout,50,1.8728830337548186
25,complete_rollout,51,1.8733504098698464
25,complete_rollout,52,1.8728830337548186
25,complete_rollout,53,1.873194617831504
25,complete_rollout,54,1.8725714496781334
25,complete_rollout,55,1.873194617831504
25,complete_rollout,56,1.873194617831504
25,complete_rollout,57,1.8725714496781334
25,complete_rollout,58,1.8730388257931612
25,complete_rollout,59,1.8728830337548186
25,complete_rollout,60,1.8733504098698464
25,complete_rollout,61,1.873194617831504
