budget_per_group,method,replication,panel_mean_estimate
25,complete_rollout,0,1.7686517666717712
25,complete_rollout,1,1.7680395579122432
25,complete_rollout,2,1.7676916360525383
25,complete_rollout,3,1.7676961324646243
25,complete_rollout,4,1.7694170988383109
25,complete_rollout,5,1.7694035890581865
25,complete_rollout,6,1.7693067320273084
25,complete_rollout,7,1.7682362493849504
25,complete_rollout,8,1.769271473449534
25,complete_rollout,9,1.7689101491042312
25,complete_rollout,10,1.76868029735358
25,complete_rollout,11,1.7658361142077654
25,complete_rollout,12,1.7689096859839442
25,complete_rollout,13,1.7689721064103705
25,complete_rollout,14,1.7680424747177974
25,complete_rollout,15,1.7671687135280454
25,complete_rollout,16,1.7675676532067355
25,complete_rollout,17,1.769430157215804
25,complete_rollout,18,1.768042524367142
25,complete_rollout,19,1.7668218339479094
25,complete_rollout,20,1.7678089516829147
25,complete_rollout,21,1.769236679282385
25,complete_rollout,22,1.7670878993477916
25,complete_rollout,23,1.767225144179129
25,complete_rollout,24,1.7675310112563332
25,complete_rollout,25,1.7686608268624655
25,complete_rollout,26,1.7692285724777506
25,complete_rollout,27,1.7669129134634622
25,complete_rollout,28,1.767800226348337
25,complete_rollout,29,1.766478966934833
25,complete_rollout,30,1.7678420050576136
25,complete_rollout,31,1.764270013409247
25,complete_rollout,32,1.7653418965386456
25,complete_rollout,33,1.768478659387107
25,complete_rollout,34,1.767713908272311
25,complete_rollout,35,1.7659957418699903
25,complete_rollout,36,1.7665130780968405
25,complete_rollout,37,1.7675062860892785
25,complete_rollout,38,1.7667875365228827
25,complete_rollout,39,1.7672651184965273
25,complete_rollout,40,1.768266233586611
25,complete_rollout,41,1.7708537116116865
25,complete_rollout,42,1.767439526329372
25,complete_rollout,43,1.766418577416436
25,complete_rollout,44,1.7691552012329514
25,complete_rollout,45,1.7668739676543868
25,complete_rollout,46,1.768612446271829
25,complete_rollout,47,1.7621911553349654
25,complete_rollout,48,1.7674967351170625
25,complete_rollout,49,1.7696623274259589
