budget_per_group,method,replication,panel_mean_estimate
25,complete_rollout,0,1.872331356574219
25,complete_rollout,1,1.8726007901181183
25,complete_rollout,2,1.8725861198981257
25,complete_rollout,3,1.8724871486125616
25,complete_rollout,4,1.8728408832220325
25,complete_rollout,5,1.871893320899176
25,complete_rollout,6,1.8726282704309116
25,complete_rollout,7,1.8723881773269975
25,complete_rollout,8,1.8726850911836899
25,complete_rollout,9,1.8725439693653398
25,complete_rollout,10,1.8726007901181183
25,complete_rollout,11,1.8726850911836899
25,complete_rollout,12,1.8730534960131533
25,complete_rollout,13,1.8725292991453475
25,complete_rollout,14,1.8727987326892466
25,complete_rollout,15,1.8725018188325542
25,complete_rollout,16,1.8723460267942114
25,complete_rollout,17,1.8727987326892466
25,complete_rollout,18,1.8722745358214408
25,complete_rollout,19,1.8727840624692542
25,complete_rollout,20,1.8728977039748107
25,complete_rollout,21,1.872289206041433
25,complete_rollout,22,1.8726429406509042
25,complete_rollout,23,1.8725439693653398
25,complete_rollout,24,1.8728408832220325
25,complete_rollout,25,1.8726429406509042
25,complete_rollout,26,1.8729966752603753
25,complete_rollout,27,1.8727419119364683
25,complete_rollout,28,1.8728408832220325
25,complete_rollout,29,1.8722323852886549
25,complete_rollout,30,1.8728408832220325
25,complete_rollout,31,1.8723881773269975
25,complete_rollout,32,1.8725861198981257
25,complete_rollout,33,1.8728408832220325
25,complete_rollout,34,1.8719776219647477
25,complete_rollout,35,1.872076593250312
25,complete_rollout,36,1.8727565821564607
25,complete_rollout,37,1.8728408832220325
25,complete_rollout,38,1.8726850911836899
25,complete_rollout,39,1.8725018188325542
25,complete_rollout,40,1.8727419119364683
25,complete_rollout,41,1.8727840624692542
25,complete_rollout,42,1.8728408832220325
25,complete_rollout,43,1.8724303278597834
25,complete_rollout,44,1.8727565821564607
25,complete_rollout,45,1.8724303278597834
25,complete_rollout,46,1.8719208012119697
25,complete_rollout,47,1.8729966752603753
25,complete_rollout,48,1.8726997614036824
25,complete_rollout,49,1.8727419119364683
25,complete_rollout,50,1.8724871486125616
25,complete_rollout,51,1.8730534960131533
25,complete_rollout,52,1.8726850911836899
25,complete_rollout,53,1.8726007901181183
25,complete_rollout,54,1.8724724783925693
25,complete_rollout,55,1.8728977039748107
25,complete_rollout,56,1.8730956465459394
25,complete_rollout,57,1.872373507107005
25,complete_rollout,58,1.8727419119364683
25,complete_rollout,59,1.8726850911836899
25,complete_rollout,60,1.8726576108708965
25,complete_rollout,61,1.8726997614036824
25,complete_rollout,62,1.8725586395853322
25,complete_rollout,63,1.8730534960131533
25,complete_rollout,64,1.8730956465459394
25,complete_rollout,65,1.8729545247275892
25,complete_rollout,66,1.8714406150041407
25,complete_rollout,67,1.8726007901181183
25,complete_rollout,68,1.8728977039748107
25,complete_rollout,69,1.8728977039748107
25,complete_rollout,70,1.8727419119364683
25,complete_rollout,71,1.8724449980797755
25,complete_rollout,72,1.872289206041433
25,complete_rollout,73,1.8725439693653398
25,complete_rollout,74,1.8726850911836899
25,complete_rollout,75,1.8727419119364683
25,complete_rollout,76,1.8728977039748107
25,complete_rollout,77,1.8724449980797755
25,complete_rollout,78,1.872289206041433
25,complete_rollout,79,1.8723881773269975
25,complete_rollout,80,1.8729545247275892
25,complete_rollout,81,1.872331356574219
25,complete_rollout,82,1.8727565821564607
25,complete_rollout,83,1.8727419119364683
25,complete_rollout,84,1.8728977039748107
25,complete_rollout,85,1.8731524672987176
25,complete_rollout,86,1.8725861198981257
25,complete_rollout,87,1.8727419119364683
25,complete_rollout,88,1.8728408832220325
25,complete_rollout,89,1.8727419119364683
25,complete_rollout,90,1.8723881773269975
25,complete_rollout,91,1.8726997614036824
25,complete_rollout,92,1.8727987326892466
25,complete_rollout,93,1.8725439693653398
25,complete_rollout,94,1.8729545247275892
25,complete_rollout,95,1.8726576108708965
25,complete_rollout,96,1.8729966752603753
25,complete_rollout,97,1.8729398545075966
25,complete_rollout,98,1.8721902347558688
25,complete_rollout,99,1.8726429406509042
25,complete_rollout,100,1.8726429406509042
25,complete_rollout,101,1.8730534960131533
25,complete_rollout,102,1.8727419119364683
25,complete_rollout,103,1.8729966752603753
25,complete_rollout,104,1.8726997614036824
25,complete_rollout,105,1.8718786506791836
25,complete_rollout,106,1.8728977039748107
25,complete_rollout,107,1.8724028475469896
25,complete_rollout,108,1.8720344427175264
25,complete_rollout,109,1.8725439693653398
25,complete_rollout,110,1.8729966752603753
25,complete_rollout,111,1.8725439693653398
25,complete_rollout,112,1.871722858640841
25,complete_rollout,113,1.8725018188325542
25,complete_rollout,114,1.8726850911836899
25,complete_rollout,115,1.8723460267942114
25,complete_rollout,116,1.8724449980797755
25,complete_rollout,117,1.8726850911836899
25,complete_rollout,118,1.8727987326892466
25,complete_rollout,119,1.8721334140030905
25,complete_rollout,120,1.8727419119364683
25,complete_rollout,121,1.8721187437830984
25,complete_rollout,122,1.8727987326892466
25,complete_rollout,123,1.8729966752603753
25,complete_rollout,124,1.8724871486125616
25,complete_rollout,125,1.8726576108708965
25,complete_rollout,126,1.872855553442025
25,complete_rollout,127,1.8725439693653398
25,complete_rollout,128,1.8725439693653398
25,complete_rollout,129,1.8724449980797755
25,complete_rollout,130,1.8726007901181183
25,complete_rollout,131,1.8730534960131533
25,complete_rollout,132,1.8724449980797755
25,complete_rollout,133,1.8728408832220325
25,complete_rollout,134,1.8718218299264051
25,complete_rollout,135,1.8726576108708965
25,complete_rollout,136,1.8726850911836899
25,complete_rollout,137,1.8727565821564607
25,complete_rollout,138,1.872373507107005
25,complete_rollout,139,1.8723881773269975
25,complete_rollout,140,1.8722323852886549
25,complete_rollout,141,1.8724303278597834
25,complete_rollout,142,1.8727419119364683
25,complete_rollout,143,1.8726007901181183
25,complete_rollout,144,1.872289206041433
25,complete_rollout,145,1.87199229218474
25,complete_rollout,146,1.8721902347558688
25,complete_rollout,147,1.8729545247275892
25,complete_rollout,148,1.8726007901181183
25,complete_rollout,149,1.8726429406509042
25,complete_rollout,150,1.8724724783925693
25,complete_rollout,151,1.8726850911836899
25,complete_rollout,152,1.8727987326892466
25,complete_rollout,153,1.8718218299264051
25,complete_rollout,154,1.8728408832220325
25,complete_rollout,155,1.8725861198981257
25,complete_rollout,156,1.8724871486125616
25,complete_rollout,157,1.8724871486125616
25,complete_rollout,158,1.8727987326892466
25,complete_rollout,159,1.8721755645358766
25,complete_rollout,160,1.8728977039748107
25,complete_rollout,161,1.8721755645358766
25,complete_rollout,162,1.8721334140030905
25,complete_rollout,163,1.8728408832220325
25,complete_rollout,164,1.8722323852886549
25,complete_rollout,165,1.8733504098698464
25,complete_rollout,166,1.8726850911836899
25,complete_rollout,167,1.8721334140030905
25,complete_rollout,168,1.8726429406509042
25,complete_rollout,169,1.8730956465459394
25,complete_rollout,170,1.8722323852886549
25,complete_rollout,171,1.8725861198981257
25,complete_rollout,172,1.8727419119364683
25,complete_rollout,173,1.8727987326892466
25,complete_rollout,174,1.8728977039748107
25,complete_rollout,175,1.872289206041433
25,complete_rollout,176,1.8726576108708965
25,complete_rollout,177,1.8730534960131533
25,complete_rollout,178,1.872855553442025
25,complete_rollout,179,1.87199229218474
25,complete_rollout,180,1.8726997614036824
25,complete_rollout,181,1.8715249160697127
25,complete_rollout,182,1.8731524672987176
25,complete_rollout,183,1.8729966752603753
25,complete_rollout,184,1.8724449980797755
25,complete_rollout,185,1.872855553442025
25,complete_rollout,186,1.8718511703663898
25,complete_rollout,187,1.8731524672987176
25,complete_rollout,188,1.8726997614036824
25,complete_rollout,189,1.8728977039748107
25,complete_rollout,190,1.8723881773269975
25,complete_rollout,191,1.8723881773269975
25,complete_rollout,192,1.8725439693653398
25,complete_rollout,193,1.872373507107005
25,complete_rollout,194,1.8724028475469896
25,complete_rollout,195,1.8727419119364683
25,complete_rollout,196,1.8729545247275892
25,complete_rollout,197,1.8726429406509042
25,complete_rollout,198,1.8727987326892466
25,complete_rollout,199,1.8728408832220325
25,complete_rollout,200,1.8726007901181183
25,complete_rollout,201,1.8726997614036824
25,complete_rollout,202,1.8730534960131533
25,complete_rollout,203,1.8723460267942114
25,complete_rollout,204,1.8724449980797755
25,complete_rollout,205,1.8727840624692542
25,complete_rollout,206,1.8728977039748107
25,complete_rollout,207,1.8725714496781334
25,complete_rollout,208,1.8726576108708965
25,complete_rollout,209,1.8729966752603753
25,complete_rollout,210,1.8726997614036824
25,complete_rollout,211,1.8726850911836899
25,complete_rollout,212,1.8721334140030905
25,complete_rollout,213,1.8727840624692542
25,complete_rollout,214,1.8720491129375185
25,complete_rollout,215,1.873251438584282
25,complete_rollout,216,1.8726007901181183
25,complete_rollout,217,1.8724449980797755
25,complete_rollout,218,1.8728408832220325
25,complete_rollout,219,1.8722745358214408
25,complete_rollout,220,1.8724449980797755
25,complete_rollout,221,1.8722323852886549
25,complete_rollout,222,1.8725586395853322
25,complete_rollout,223,1.8726429406509042
25,complete_rollout,224,1.8723881773269975
25,complete_rollout,225,1.8724028475469896
25,complete_rollout,226,1.8730534960131533
25,complete_rollout,227,1.8725439693653398
25,complete_rollout,228,1.8725018188325542
25,complete_rollout,229,1.8728977039748107
25,complete_rollout,230,1.8727565821564607
25,complete_rollout,231,1.8728977039748107
25,complete_rollout,232,1.872855553442025
25,complete_rollout,233,1.872289206041433
25,complete_rollout,234,1.8728977039748107
25,complete_rollout,235,1.8729398545075966
25,complete_rollout,236,1.8722323852886549
25,complete_rollout,237,1.872204904975861
25,complete_rollout,238,1.8722745358214408
25,complete_rollout,239,1.8724028475469896
25,complete_rollout,240,1.8727419119364683
25,complete_rollout,241,1.8721902347558688
25,complete_rollout,242,1.8729398545075966
25,complete_rollout,243,1.871057539954685
25,complete_rollout,244,1.8726850911836899
25,complete_rollout,245,1.8727419119364683
25,complete_rollout,246,1.8722745358214408
25,complete_rollout,247,1.8728408832220325
25,complete_rollout,248,1.8727987326892466
25,complete_rollout,249,1.8729966752603753
25,complete_rollout,250,1.8726007901181183
25,complete_rollout,251,1.8724871486125616
25,complete_rollout,252,1.8725861198981257
25,complete_rollout,253,1.8724596682997676
25,complete_rollout,254,1.8724871486125616
25,complete_rollout,255,1.8725439693653398
25,complete_rollout,256,1.8726850911836899
25,complete_rollout,257,1.8723460267942114
25,complete_rollout,258,1.8725439693653398
25,complete_rollout,259,1.8725861198981257
25,complete_rollout,260,1.8726429406509042
25,complete_rollout,261,1.8725861198981257
25,complete_rollout,262,1.8727419119364683
25,complete_rollout,263,1.8726576108708965
25,complete_rollout,264,1.8731524672987176
25,complete_rollout,265,1.8725439693653398
25,complete_rollout,266,1.8728408832220325
25,complete_rollout,267,1.8722323852886549
25,complete_rollout,268,1.8731524672987176
25,complete_rollout,269,1.8727987326892466
25,complete_rollout,270,1.8729545247275892
25,complete_rollout,271,1.8726997614036824
25,complete_rollout,272,1.8724871486125616
25,complete_rollout,273,1.8724871486125616
25,complete_rollout,274,1.8728977039748107
25,complete_rollout,275,1.8725861198981257
25,complete_rollout,276,1.8730534960131533
25,complete_rollout,277,1.8728408832220325
25,complete_rollout,278,1.8723881773269975
25,complete_rollout,279,1.8727419119364683
25,complete_rollout,280,1.8724871486125616
25,complete_rollout,281,1.8726007901181183
25,complete_rollout,282,1.8724303278597834
25,complete_rollout,283,1.8726429406509042
25,complete_rollout,284,1.8727987326892466
25,complete_rollout,285,1.8729966752603753
25,complete_rollout,286,1.8729966752603753
25,complete_rollout,287,1.8728408832220325
25,complete_rollout,288,1.8725439693653398
25,complete_rollout,289,1.8730534960131533
25,complete_rollout,290,1.8726429406509042
25,complete_rollout,291,1.8724449980797755
25,complete_rollout,292,1.8728408832220325
25,complete_rollout,293,1.8729545247275892
25,complete_rollout,294,1.8720912634703044
25,complete_rollout,295,1.8723881773269975
25,complete_rollout,296,1.8729545247275892
25,complete_rollout,297,1.8725018188325542
25,complete_rollout,298,1.8727987326892466
25,complete_rollout,299,1.8723881773269975
25,learned_occupancy,0,1.8725014488956433
25,learned_occupancy,1,1.8716769770140789
25,learned_occupancy,2,1.8724036294200277
25,learned_occupancy,3,1.8727342882832618
25,learned_occupancy,4,1.8731450360076514
25,learned_occupancy,5,1.8731450360076514
25,learned_occupancy,6,1.8728217542352545
25,learned_occupancy,7,1.8727342882832618
25,learned_occupancy,8,1.8723235405588725
25,learned_occupancy,9,1.8728217542352545
25,learned_occupancy,10,1.8729396621454566
25,learned_occupancy,11,1.8731450360076514
25,learned_occupancy,12,1.8720394645810021
25,learned_occupancy,13,1.8728217542352545
25,learned_occupancy,14,1.8720877247384684
25,learned_occupancy,15,1.8715286271456675
25,learned_occupancy,16,1.8729396621454566
25,learned_occupancy,17,1.8726163803730598
25,learned_occupancy,18,1.8722056326486702
25,learned_occupancy,19,1.8731450360076514
25,learned_occupancy,20,1.8718823508762736
25,learned_occupancy,21,1.8722056326486702
25,learned_occupancy,22,1.8722930986006632
25,learned_occupancy,23,1.8730271280974498
25,learned_occupancy,24,1.8727342882832618
25,learned_occupancy,25,1.8728217542352545
25,learned_occupancy,26,1.8725833161837766
25,learned_occupancy,27,1.8727342882832618
25,learned_occupancy,28,1.8712357873314798
25,learned_occupancy,29,1.8730271280974498
25,learned_occupancy,30,1.8733504098698464
25,learned_occupancy,31,1.872528914421067
25,learned_occupancy,32,1.871851908918064
25,learned_occupancy,33,1.8728217542352545
25,learned_occupancy,34,1.8726163803730598
25,learned_occupancy,35,1.872411006510865
25,learned_occupancy,36,1.8724984724628577
25,learned_occupancy,37,1.8722056326486702
25,learned_occupancy,38,1.8729396621454566
25,learned_occupancy,39,1.8726163803730598
25,learned_occupancy,40,1.8727342882832618
