budget_per_group,replication,method,panel_mse
25,0,complete_rollout,4.887774097691804e-06
25,0,learned_occupancy,5.646266120290761e-06
25,0,oracle_tail,1.2516534348801908e-06
25,0,tis,4.823064467019999e-06
25,0,tis_anchored,4.517744545257386e-06
25,0,uniform,4.823064467019999e-06
25,1,complete_rollout,1.1985679930490475e-06
25,1,learned_occupancy,5.646533830020827e-06
25,1,oracle_tail,5.938783985893036e-07
25,1,tis,0.0011969096621318503
25,1,tis_anchored,4.155805967583201e-05
25,1,uniform,0.0004194425561526037
25,2,complete_rollout,1.2309228083850212e-06
25,2,learned_occupancy,5.646533830020827e-06
25,2,oracle_tail,1.2307790848078618e-06
25,2,tis,4.823064467019999e-06
25,2,tis_anchored,4.155805967583201e-05
25,2,uniform,4.823064467019999e-06
25,3,complete_rollout,1.2309228083850212e-06
25,3,learned_occupancy,4.878871429129923e-06
25,3,oracle_tail,2.7289807327869555e-06
25,3,tis,4.823064467019999e-06
25,3,tis_anchored,4.827727973348713e-06
25,3,uniform,4.823064467019999e-06
25,4,complete_rollout,1.1874401707690186e-09
25,4,learned_occupancy,4.823064467019999e-06
25,4,oracle_tail,2.707353660664097e-06
25,4,tis,4.823064467019999e-06
25,4,tis_anchored,4.823064467019999e-06
25,4,uniform,4.823064467019999e-06
25,5,complete_rollout,1.2309228083850212e-06
25,5,learned_occupancy,4.823064467019999e-06
25,5,oracle_tail,3.115691204733106e-07
25,5,tis,4.823064467019999e-06
25,5,tis_anchored,4.823064467019999e-06
25,5,uniform,4.823064467019999e-06
25,6,complete_rollout,4.887774097691804e-06
25,6,learned_occupancy,9.24393031895874e-09
25,6,oracle_tail,5.090114198403349e-07
25,6,tis,4.823064467019999e-06
25,6,tis_anchored,4.517983926686146e-06
25,6,uniform,4.823064467019999e-06
25,7,complete_rollout,1.2309228083850212e-06
25,7,learned_occupancy,4.823064467019999e-06
25,7,oracle_tail,2.7062944046007796e-06
25,7,tis,4.823064467019999e-06
25,7,tis_anchored,4.823064467019999e-06
25,7,uniform,4.823064467019999e-06
25,8,complete_rollout,1.2309228083850212e-06
25,8,learned_occupancy,4.823064467019999e-06
25,8,oracle_tail,3.3130206502036874e-07
25,8,tis,4.967746366815214e-06
25,8,tis_anchored,4.909399136706769e-06
25,8,uniform,4.8275949781014216e-06
25,9,complete_rollout,1.1985679930490475e-06
25,9,learned_occupancy,9.24393031895874e-09
25,9,oracle_tail,1.229789948584485e-06
25,9,tis,4.823064467019999e-06
25,9,tis_anchored,4.823064467019999e-06
25,9,uniform,4.823064467019999e-06
25,10,complete_rollout,1.1985679930490475e-06
25,10,learned_occupancy,4.843793161835673e-06
25,10,oracle_tail,3.0632122243550346e-07
25,10,tis,4.823064467019999e-06
25,10,tis_anchored,4.821969588892783e-06
25,10,uniform,4.823064467019999e-06
25,11,complete_rollout,1.2309228083850212e-06
25,11,learned_occupancy,4.823064467019999e-06
25,11,oracle_tail,1.457850657914074e-06
25,11,tis,4.823064467019999e-06
25,11,tis_anchored,4.823064467019999e-06
25,11,uniform,4.823064467019999e-06
25,12,complete_rollout,5.265706588999307e-06
25,12,learned_occupancy,1.607586427129874e-05
25,12,oracle_tail,2.7553377406400742e-06
25,12,tis,0.0015733546909841784
25,12,tis_anchored,9.386557084652724e-05
25,12,uniform,0.0005060250370746796
25,13,complete_rollout,5.330416219671254e-06
25,13,learned_occupancy,9.24393031895874e-09
25,13,oracle_tail,2.0342555214014144e-07
25,13,tis,4.823064467019999e-06
25,13,tis_anchored,4.823064467019999e-06
25,13,uniform,4.823064467019999e-06
25,14,complete_rollout,1.6412101150284967e-06
25,14,learned_occupancy,5.646533830020827e-06
25,14,oracle_tail,2.755894885414106e-06
25,14,tis,4.823064467019999e-06
25,14,tis_anchored,4.823064467019999e-06
25,14,uniform,4.823064467019999e-06
25,15,complete_rollout,1.1985679930490475e-06
25,15,learned_occupancy,8.526506614754354e-05
25,15,oracle_tail,4.887595965026922e-06
25,15,tis,4.823064467019999e-06
25,15,tis_anchored,4.155805967583201e-05
25,15,uniform,4.823064467019999e-06
25,16,complete_rollout,1.1874401707690186e-09
25,16,learned_occupancy,4.823064467019999e-06
25,16,oracle_tail,2.707117058109069e-06
25,16,tis,4.823064467019999e-06
25,16,tis_anchored,4.823064467019999e-06
25,16,uniform,4.823064467019999e-06
25,17,complete_rollout,1.6412101150284967e-06
25,17,learned_occupancy,9.24393031895874e-09
25,17,oracle_tail,2.9536165062489863e-07
25,17,tis,4.823064467019999e-06
25,17,tis_anchored,4.8223818805718295e-06
25,17,uniform,4.823064467019999e-06
25,18,complete_rollout,1.097174130809112e-05
25,18,learned_occupancy,9.24393031895874e-09
25,18,oracle_tail,5.088847404973962e-07
25,18,tis,4.823064467019999e-06
25,18,tis_anchored,4.517983926686146e-06
25,18,uniform,4.823064467019999e-06
25,19,complete_rollout,1.2309228083850212e-06
25,19,learned_occupancy,4.823064467019999e-06
25,19,oracle_tail,2.9552317185163806e-07
25,19,tis,4.823064467019999e-06
25,19,tis_anchored,4.823064467019999e-06
25,19,uniform,4.823064467019999e-06
25,20,complete_rollout,1.1985679930490475e-06
25,20,learned_occupancy,5.646533830020827e-06
25,20,oracle_tail,1.4923648259028252e-05
25,20,tis,4.823064467019999e-06
25,20,tis_anchored,4.155805967583201e-05
25,20,uniform,0.0006049343924038113
25,21,complete_rollout,1.2309228083850212e-06
25,21,learned_occupancy,9.24393031895874e-09
25,21,oracle_tail,3.1193265307060803e-07
25,21,tis,4.823064467019999e-06
25,21,tis_anchored,4.823064467019999e-06
25,21,uniform,4.823064467019999e-06
25,22,complete_rollout,1.1874401707690186e-09
25,22,learned_occupancy,5.667262524836501e-06
25,22,oracle_tail,3.8590594098000225e-10
25,22,tis,4.823064467019999e-06
25,22,tis_anchored,4.867468676900527e-06
25,22,uniform,4.823064467019999e-06
25,23,complete_rollout,1.1874401707690186e-09
25,23,learned_occupancy,9.24393031895874e-09
25,23,oracle_tail,2.7557470298720475e-06
25,23,tis,4.823064467019999e-06
25,23,tis_anchored,4.823064467019999e-06
25,23,uniform,4.823064467019999e-06
25,24,complete_rollout,1.1874401707690186e-09
25,24,learned_occupancy,4.823064467019999e-06
25,24,oracle_tail,3.125569283745229e-07
25,24,tis,4.823064467019999e-06
25,24,tis_anchored,4.823064467019999e-06
25,24,uniform,4.823064467019999e-06
25,25,complete_rollout,1.1874401707690186e-09
25,25,learned_occupancy,9.24393031895874e-09
25,25,oracle_tail,7.854881266142828e-10
25,25,tis,4.823064467019999e-06
25,25,tis_anchored,4.821969588892783e-06
