budget_per_group,method,replications,panel_mse,mcse,normalized_to_uniform
25,complete_rollout,300,2.6542784505777045e-06,2.7576677573460816e-07,0.04311875552832501
25,learned_occupancy,300,5.082598133872442e-06,5.048652316383867e-07,0.0825668107034767
25,oracle_tail,300,1.1394282822476552e-06,9.615677952443785e-08,0.018510013346038596
25,tis,300,9.641668738383752e-05,2.1035087055647377e-05,1.5662891627853799
25,tis_anchored,300,9.343976565097395e-06,1.0525179994173165e-06,0.1517929066881213
25,uniform,300,6.155739928148183e-05,1.0056801572843426e-05,1.0
50,complete_rollout,300,1.2838092891862272e-06,1.0135207723919322e-07,0.045329758410665694
50,learned_occupancy,300,1.7160436575088288e-06,1.527131742115966e-07,0.06059143291161105
50,oracle_tail,300,5.392581722641739e-07,4.661108980530131e-08,0.019040556004394416
50,tis,300,3.773050966267917e-05,6.603797478381901e-06,1.3322188132823514
50,tis_anchored,300,3.609967010349105e-06,3.6412593337612983e-07,0.12746358343716646
50,uniform,300,2.8321555953498267e-05,3.891868029430315e-06,1.0
100,complete_rollout,300,6.811951751171024e-07,5.260518132918338e-08,0.04276514944193033
100,learned_occupancy,300,9.590620526933622e-07,7.021957466224791e-08,0.06020951631148211
100,oracle_tail,300,3.5345173942934606e-07,2.8747756143730114e-08,0.022189553022902358
100,tis,300,1.7416635241789317e-05,2.11483904168709e-06,1.0934091081350799
100,tis_anchored,300,1.41270918809237e-06,1.0879600644247112e-07,0.08868929457166594
100,uniform,300,1.5928745345367715e-05,1.8088913113248012e-06,1.0
200,complete_rollout,300,2.8149137601357336e-07,2.345718644578195e-08,0.041906460419008716
200,learned_occupancy,300,3.6632373695132606e-07,3.051624458131866e-08,0.054535706921102524
200,oracle_tail,300,1.4675838169380239e-07,1.1519672948199048e-08,0.021848357845650472
200,tis,300,7.06529274963796e-06,7.798658229556501e-07,1.051831196942728
200,tis_anchored,300,6.482128492067289e-07,5.9435413712229624e-08,0.09650137952029053
200,uniform,300,6.717135572869553e-06,6.11450539097536e-07,1.0
