budget_per_group,panel_index,method,replications,mse,bias
25,0,complete_rollout,300,0.0,0.0
25,0,learned_occupancy,300,0.0,0.0
25,0,oracle_tail,300,0.0,0.0
25,0,tis,300,0.0,0.0
25,0,tis_anchored,300,0.0,0.0
25,0,uniform,300,0.0,0.0
25,1,complete_rollout,300,0.0,0.0
25,1,learned_occupancy,300,0.0,0.0
25,1,oracle_tail,300,0.0,0.0
25,1,tis,300,0.0,0.0
25,1,tis_anchored,300,0.0,0.0
25,1,uniform,300,0.0,0.0
25,2,complete_rollout,300,1.991184764986151e-24,1.411093464298574e-12
25,2,learned_occupancy,300,1.9918114656715423e-24,1.411315508903499e-12
25,2,oracle_tail,300,1.9918114656715423e-24,1.411315508903499e-12
25,2,tis,300,1.9918114656715423e-24,1.411315508903499e-12
25,2,tis_anchored,300,1.9918114656715423e-24,1.411315508903499e-12
25,2,uniform,300,1.9918114656715423e-24,1.411315508903499e-12
25,3,complete_rollout,300,1.2370550141218614e-06,-2.5856164196156327e-05
25,3,learned_occupancy,300,2.5904813518443976e-06,-0.00027166869988366115
25,3,oracle_tail,300,2.0908304807943616e-07,-2.6269006728001364e-05
25,3,tis,300,1.6517855298947614e-07,0.00016360225781523926
25,3,tis_anchored,300,1.8928569915784556e-06,-7.760922996008649e-05
25,3,uniform,300,1.1569043762997195e-07,0.0001681043302485863
25,4,complete_rollout,300,4.930380657631324e-32,-2.220446049250313e-16
25,4,learned_occupancy,300,0.0,0.0
25,4,oracle_tail,300,0.0,0.0
25,4,tis,300,0.0,0.0
25,4,tis_anchored,300,0.0,0.0
25,4,uniform,300,0.0,0.0
25,5,complete_rollout,300,1.9721522630525295e-31,-4.440892098500626e-16
25,5,learned_occupancy,300,0.0,0.0
25,5,oracle_tail,300,0.0,0.0
25,5,tis,300,0.0,0.0
25,5,tis_anchored,300,0.0,0.0
25,5,uniform,300,0.0,0.0
25,6,complete_rollout,300,0.0,0.0
25,6,learned_occupancy,300,0.0,0.0
25,6,oracle_tail,300,0.0,0.0
25,6,tis,300,0.0,0.0
25,6,tis_anchored,300,0.0,0.0
25,6,uniform,300,0.0,0.0
25,7,complete_rollout,300,4.930380657631324e-32,-2.220446049250313e-16
25,7,learned_occupancy,300,0.0,0.0
25,7,oracle_tail,300,0.0,0.0
25,7,tis,300,0.0,0.0
25,7,tis_anchored,300,0.0,0.0
25,7,uniform,300,0.0,0.0
25,8,complete_rollout,300,4.930380657631324e-32,-2.220446049250313e-16
25,8,learned_occupancy,300,0.0,0.0
25,8,oracle_tail,300,0.0,0.0
25,8,tis,300,0.0,0.0
25,8,tis_anchored,300,0.0,0.0
25,8,uniform,300,0.0,0.0
25,9,complete_rollout,300,8.474869234274638e-18,2.911162866325867e-09
25,9,learned_occupancy,300,8.47486794145863e-18,2.911162644281262e-09
25,9,oracle_tail,300,8.47486794145863e-18,2.911162644281262e-09
25,9,tis,300,8.47486794145863e-18,2.911162644281262e-09
25,9,tis_anchored,300,8.47486794145863e-18,2.911162644281262e-09
25,9,uniform,300,8.47486794145863e-18,2.911162644281262e-09
25,10,complete_rollout,300,8.398493143508031e-19,9.164329295430207e-10
25,10,learned_occupancy,300,8.398489073728769e-19,9.164327074984158e-10
25,10,oracle_tail,300,8.398489073728769e-19,9.164327074984158e-10
25,10,tis,300,8.398489073728769e-19,9.164327074984158e-10
25,10,tis_anchored,300,8.398489073728769e-19,9.164327074984158e-10
25,10,uniform,300,8.398489073728769e-19,9.164327074984158e-10
25,11,complete_rollout,300,1.6585800532271773e-28,1.2878587085651816e-14
25,11,learned_occupancy,300,1.601880675664417e-28,1.2656542480726785e-14
25,11,oracle_tail,300,1.601880675664417e-28,1.2656542480726785e-14
25,11,tis,300,1.601880675664417e-28,1.2656542480726785e-14
25,11,tis_anchored,300,1.601880675664417e-28,1.2656542480726785e-14
25,11,uniform,300,1.601880675664417e-28,1.2656542480726785e-14
25,12,complete_rollout,300,0.0,0.0
25,12,learned_occupancy,300,0.0,0.0
25,12,oracle_tail,300,0.0,0.0
25,12,tis,300,0.0,0.0
25,12,tis_anchored,300,0.0,0.0
25,12,uniform,300,0.0,0.0
25,13,complete_rollout,300,1.9721522630525295e-31,4.440892098500626e-16
25,13,learned_occupancy,300,1.9721522630525295e-31,4.440892098500626e-16
25,13,oracle_tail,300,1.9721522630525295e-31,4.440892098500626e-16
25,13,tis,300,1.9721522630525295e-31,4.440892098500626e-16
25,13,tis_anchored,300,1.9721522630525295e-31,4.440892098500626e-16
25,13,uniform,300,1.9721522630525295e-31,4.440892098500626e-16
25,14,complete_rollout,300,0.0,0.0
25,14,learned_occupancy,300,0.0,0.0
25,14,oracle_tail,300,0.0,0.0
25,14,tis,300,0.0,0.0
25,14,tis_anchored,300,0.0,0.0
25,14,uniform,300,0.0,0.0
25,15,complete_rollout,300,1.9721522630525295e-31,4.440892098500626e-16
25,15,learned_occupancy,300,0.0,0.0
25,15,oracle_tail,300,0.0,0.0
25,15,tis,300,0.0,0.0
25,15,tis_anchored,300,0.0,0.0
25,15,uniform,300,0.0,0.0
25,16,complete_rollout,300,4.800601987353602e-19,6.928637663605741e-10
25,16,learned_occupancy,300,4.800608141222025e-19,6.92864210449784e-10
25,16,oracle_tail,300,4.800608141222025e-19,6.92864210449784e-10
25,16,tis,300,4.800608141222025e-19,6.92864210449784e-10
25,16,tis_anchored,300,4.800608141222025e-19,6.92864210449784e-10
25,16,uniform,300,4.800608141222025e-19,6.92864210449784e-10
25,17,complete_rollout,300,0.0,0.0
25,17,learned_occupancy,300,0.0,0.0
25,17,oracle_tail,300,0.0,0.0
25,17,tis,300,0.0,0.0
25,17,tis_anchored,300,0.0,0.0
25,17,uniform,300,0.0,0.0
25,18,complete_rollout,300,0.0,0.0
25,18,learned_occupancy,300,0.0,0.0
25,18,oracle_tail,300,0.0,0.0
25,18,tis,300,0.0,0.0
25,18,tis_anchored,300,0.0,0.0
25,18,uniform,300,0.0,0.0
25,19,complete_rollout,300,0.0,0.0
25,19,learned_occupancy,300,0.0,0.0
25,19,oracle_tail,300,0.0,0.0
25,19,tis,300,0.0,0.0
25,19,tis_anchored,300,0.0,0.0
