budget_per_group,method,replication,panel_mean_estimate
400,complete_rollout,0,1.8730328033313057
400,complete_rollout,1,1.8730522673319863
400,complete_rollout,2,1.8730584498596372
400,complete_rollout,3,1.8730911953333476
400,complete_rollout,4,1.8730230713309655
400,complete_rollout,5,1.8730584498596372
400,complete_rollout,6,1.8730629157500556
400,complete_rollout,7,1.8729062873268816
400,complete_rollout,8,1.8730619993323265
400,complete_rollout,9,1.8731168418616786
400,complete_rollout,10,1.872941665855553
400,complete_rollout,11,1.872941665855553
400,complete_rollout,12,1.8730487178592967
400,complete_rollout,13,1.873071731332667
400,complete_rollout,14,1.873087645860658
400,complete_rollout,15,1.8730619993323265
400,complete_rollout,16,1.8730584498596372
400,complete_rollout,17,1.8730655488050163
400,complete_rollout,18,1.8730487178592967
400,complete_rollout,19,1.8729354833279026
400,complete_rollout,20,1.8729549473285831
400,complete_rollout,21,1.8730000578575952
400,complete_rollout,22,1.8729195687999114
400,complete_rollout,23,1.8729938753299444
400,complete_rollout,24,1.8730655488050163
400,complete_rollout,25,1.873049634277025
400,complete_rollout,26,1.8730487178592967
400,complete_rollout,27,1.8730292538586157
400,complete_rollout,28,1.8730389858589565
400,complete_rollout,29,1.8729938753299444
400,complete_rollout,30,1.8731071098613383
400,complete_rollout,31,1.8729805938569146
400,complete_rollout,32,1.8729646793289234
400,complete_rollout,33,1.8730779138603177
400,complete_rollout,34,1.8729611298562339
400,complete_rollout,35,1.8729805938569146
400,complete_rollout,36,1.8731531368080792
400,complete_rollout,37,1.8730681818599775
400,complete_rollout,38,1.8729708618565744
400,complete_rollout,39,1.873042535331646
400,complete_rollout,40,1.8730911953333476
400,complete_rollout,41,1.8730522673319863
400,complete_rollout,42,1.8729513978558936
400,complete_rollout,43,1.8730292538586157
400,complete_rollout,44,1.8730292538586157
400,complete_rollout,45,1.8729841433296042
400,complete_rollout,46,1.8730850128056968
400,complete_rollout,47,1.8730328033313057
400,complete_rollout,48,1.8731398553350491
400,complete_rollout,49,1.8731071098613383
400,complete_rollout,50,1.873087645860658
400,complete_rollout,51,1.8729805938569146
400,complete_rollout,52,1.8730487178592967
400,complete_rollout,53,1.8730681818599775
400,complete_rollout,54,1.8731495873353894
400,complete_rollout,55,1.872902737854192
400,complete_rollout,56,1.8730133393306252
400,complete_rollout,57,1.8730195218582757
400,complete_rollout,58,1.873087645860658
400,complete_rollout,59,1.8730328033313057
400,complete_rollout,60,1.8730399022766848
400,complete_rollout,61,1.8729912422749835
400,complete_rollout,62,1.8731593193357299
400,complete_rollout,63,1.8731203913343686
400,complete_rollout,64,1.873042535331646
400,complete_rollout,65,1.8730389858589565
400,complete_rollout,66,1.8729938753299444
400,complete_rollout,67,1.8730779138603177
400,complete_rollout,68,1.873042535331646
400,complete_rollout,69,1.8730779138603177
400,complete_rollout,70,1.873071731332667
400,complete_rollout,71,1.8730655488050163
400,complete_rollout,72,1.873097377860998
400,complete_rollout,73,1.8731071098613383
400,complete_rollout,74,1.8730619993323265
400,complete_rollout,75,1.8730487178592967
400,complete_rollout,76,1.8729452153282429
400,complete_rollout,77,1.8730190369892767
400,complete_rollout,78,1.8730097898579354
400,complete_rollout,79,1.8729452153282429
400,complete_rollout,80,1.8730487178592967
400,complete_rollout,81,1.873071731332667
400,complete_rollout,82,1.8730036073302847
400,complete_rollout,83,1.8730301702763448
400,complete_rollout,84,1.8730389858589565
400,complete_rollout,85,1.873097377860998
400,complete_rollout,86,1.8729841433296042
400,complete_rollout,87,1.8730584498596372
400,complete_rollout,88,1.8730779138603177
400,complete_rollout,89,1.8730850128056968
400,complete_rollout,90,1.8730230713309655
400,complete_rollout,91,1.873071731332667
400,complete_rollout,92,1.872990325857255
400,complete_rollout,93,1.872941665855553
400,complete_rollout,94,1.8729646793289234
400,complete_rollout,95,1.873071731332667
400,complete_rollout,96,1.8730000578575952
400,complete_rollout,97,1.8730460848043358
400,complete_rollout,98,1.8730779138603177
400,complete_rollout,99,1.8729708618565744
