budget_per_group,replication,method,panel_mse
400,0,complete_rollout,1.3956755323039145e-10
400,0,learned_occupancy,4.2528969221405143e-07
400,0,oracle_tail,3.152003305377557e-08
400,0,tis,2.8748870983070624e-06
400,0,tis_anchored,6.045876454967814e-08
400,0,uniform,1.4564303536736851e-06
400,1,complete_rollout,1.7372348618534974e-08
400,1,learned_occupancy,1.443272741533388e-08
400,1,oracle_tail,9.191993765386325e-08
400,1,tis,1.29799291219066e-07
400,1,tis_anchored,8.146179914978971e-07
400,1,uniform,1.0423626283408703e-06
400,2,complete_rollout,1.840488109547323e-08
400,2,learned_occupancy,6.528893458911293e-07
400,2,oracle_tail,6.837811705853868e-09
400,2,tis,4.822115920079369e-06
400,2,tis_anchored,3.1887819181459107e-09
400,2,uniform,4.8227467239196616e-06
400,3,complete_rollout,1.6549210749777686e-07
400,3,learned_occupancy,9.362391319968567e-08
400,3,oracle_tail,5.162831008972104e-09
400,3,tis,9.998301414252649e-08
400,3,tis_anchored,1.2372586737691277e-07
400,3,uniform,1.145099520452183e-06
400,4,complete_rollout,5.729951614158026e-09
400,4,learned_occupancy,9.576040738769593e-08
400,4,oracle_tail,1.298357448947271e-07
400,4,tis,2.4514148967276748e-06
400,4,tis_anchored,1.5125139948186537e-07
400,4,uniform,1.1451979101097387e-06
400,5,complete_rollout,1.840488109547323e-08
400,5,learned_occupancy,6.624675596009587e-07
400,5,oracle_tail,2.04107186984471e-07
400,5,tis,2.6624193231849734e-06
400,5,tis_anchored,1.889289663496172e-06
400,5,uniform,1.2923104362946506e-06
400,6,complete_rollout,1.3409198464367463e-07
400,6,learned_occupancy,1.5615873843750773e-07
400,6,oracle_tail,4.7054108660457947e-08
400,6,tis,3.6754127855201476e-07
400,6,tis_anchored,5.369379078030972e-07
400,6,uniform,5.057962845959505e-07
400,7,complete_rollout,8.115668392113443e-07
400,7,learned_occupancy,6.5494839934966895e-09
400,7,oracle_tail,7.571550874752044e-08
400,7,tis,7.029869108852823e-08
400,7,tis_anchored,7.93444294171952e-08
400,7,uniform,2.9952300756673124e-07
400,8,complete_rollout,4.019551374476326e-08
400,8,learned_occupancy,1.236504207344567e-07
400,8,oracle_tail,2.4136836134877917e-08
400,8,tis,6.550739853137584e-09
400,8,tis_anchored,2.1802594793089224e-08
400,8,uniform,2.997474580984282e-07
400,9,complete_rollout,2.9741161778860097e-07
400,9,learned_occupancy,2.2950464318026503e-08
400,9,oracle_tail,1.3756204350682641e-08
400,9,tis,2.3470895305881876e-08
400,9,tis_anchored,2.0145892258432766e-08
400,9,uniform,1.1105942401985298e-06
400,10,complete_rollout,4.832791784468061e-07
400,10,learned_occupancy,2.1232832021890615e-08
400,10,oracle_tail,2.3159515882217313e-07
400,10,tis,4.822916664138106e-06
400,10,tis_anchored,6.85256559664193e-08
400,10,uniform,4.822908616840413e-06
400,11,complete_rollout,4.832791784468061e-07
400,11,learned_occupancy,1.4521970283254413e-07
400,11,oracle_tail,4.7767354622415844e-08
400,11,tis,2.661650185466531e-06
400,11,tis_anchored,7.221187058625755e-08
400,11,uniform,1.216726608021684e-06
400,12,complete_rollout,5.05289903162881e-09
400,12,learned_occupancy,1.0109817938758347e-07
400,12,oracle_tail,3.3410556117425486e-08
400,12,tis,8.715019751583553e-08
400,12,tis_anchored,8.53339394935881e-07
400,12,uniform,2.9072370419228753e-07
400,13,complete_rollout,7.24898619333754e-08
400,13,learned_occupancy,4.01869330375919e-08
400,13,oracle_tail,2.594642215264825e-08
400,13,tis,2.5507532421569465e-08
400,13,tis_anchored,1.662251677699403e-08
400,13,uniform,3.712388441656792e-05
400,14,complete_rollout,1.152879256613309e-07
400,14,learned_occupancy,1.898588625747741e-07
400,14,oracle_tail,2.54285983614553e-08
400,14,tis,4.8220489098684985e-06
400,14,tis_anchored,6.308109997959892e-07
400,14,uniform,4.822840016488302e-06
400,15,complete_rollout,4.019551374476326e-08
400,15,learned_occupancy,1.4365976517496087e-07
400,15,oracle_tail,1.0164538033442512e-07
400,15,tis,9.335465649570494e-08
400,15,tis_anchored,7.27961637608051e-08
400,15,uniform,2.994445937010229e-07
400,16,complete_rollout,1.840488109547323e-08
400,16,learned_occupancy,1.3233238044790803e-07
400,16,oracle_tail,6.85918741362615e-08
400,16,tis,2.451129724617063e-06
400,16,tis_anchored,7.091019515786022e-08
400,16,uniform,1.1912281757662395e-06
400,17,complete_rollout,7.527969427145031e-08
400,17,learned_occupancy,2.962803691401046e-09
400,17,oracle_tail,2.307841792283569e-07
400,17,tis,7.980055580092832e-08
400,17,tis_anchored,5.906234200182539e-08
400,17,uniform,2.896480353902236e-07
400,18,complete_rollout,5.05289903162881e-09
400,18,learned_occupancy,9.850527244289753e-07
400,18,oracle_tail,5.080660779083027e-07
400,18,tis,4.822779182098794e-06
400,18,tis_anchored,7.773875361055642e-07
400,18,uniform,4.822709558783518e-06
400,19,complete_rollout,4.822466459698679e-07
400,19,learned_occupancy,4.0505031894243515e-07
400,19,oracle_tail,5.293380265420839e-08
400,19,tis,2.931800184204817e-05
400,19,tis_anchored,1.1153018134479934e-06
400,19,uniform,3.712411975073391e-05
400,20,complete_rollout,3.100557657874697e-07
400,20,learned_occupancy,1.5123111461499252e-08
400,20,oracle_tail,3.453834583950581e-09
400,20,tis,2.451457907578012e-06
400,20,tis_anchored,5.996841163101507e-08
400,20,uniform,1.1451827945154159e-06
400,21,complete_rollout,8.036073464820004e-08
400,21,learned_occupancy,2.298103318144121e-07
400,21,oracle_tail,5.957558969595394e-07
400,21,tis,2.4515237723905394e-06
400,21,tis_anchored,3.656744213609283e-07
400,21,uniform,1.1811116714054095e-06
400,22,complete_rollout,5.853386929926698e-07
400,22,learned_occupancy,7.9928027912914e-08
400,22,oracle_tail,7.780915537319979e-09
400,22,tis,7.62413709507916e-09
400,22,tis_anchored,6.946270913180264e-08
400,22,uniform,7.71451448600441e-06
400,23,complete_rollout,7.932820217126178e-08
400,23,learned_occupancy,9.405706039866912e-08
400,23,oracle_tail,5.3210169605421015e-09
400,23,tis,2.5905746064611673e-06
400,23,tis_anchored,6.320193652706442e-08
400,23,uniform,7.576445460790662e-06
400,24,complete_rollout,7.527969427145031e-08
400,24,learned_occupancy,1.8517159851422048e-08
400,24,oracle_tail,2.066225948092477e-07
400,24,tis,2.316976778111485e-06
400,24,tis_anchored,3.8717629425777304e-07
400,24,uniform,1.1104685539693612e-06
400,25,complete_rollout,4.9597543235932374e-08
400,25,learned_occupancy,4.838039805116236e-07
400,25,oracle_tail,5.384531405766824e-08
400,25,tis,3.569947782081308e-08
400,25,tis_anchored,7.814665740887414e-08
400,25,uniform,3.7123559209034016e-05
400,26,complete_rollout,5.05289903162881e-09
400,26,learned_occupancy,1.1130041401211813e-07
400,26,oracle_tail,1.1734619673246185e-08
400,26,tis,1.2952462505399873e-07
400,26,tis_anchored,2.3146561066481496e-07
400,26,uniform,3.461152793637934e-07
400,27,complete_rollout,6.762484091096281e-09
400,27,learned_occupancy,4.953191080851631e-08
400,27,oracle_tail,6.822316692539004e-08
