budget_per_group,method,replications,panel_mse,mcse,normalized_to_uniform
400,complete_rollout,300,1.5215895884198663e-07,1.207507156577552e-08,0.04623464130025868
400,learned_occupancy,300,1.7414276861458448e-07,1.3111923391679664e-08,0.052914586845264046
400,oracle_tail,300,7.806018205329593e-08,6.089380936234398e-09,0.023719172006263358
400,tis,300,2.7295629716691778e-06,2.1997051352930815e-07,0.829398188986352
400,tis_anchored,300,2.4595235208487716e-07,2.4304299677188872e-08,0.07473446757353454
400,uniform,300,3.2910163151008443e-06,3.029348557716193e-07,1.0
800,complete_rollout,300,7.366442814592262e-08,6.4978368987552725e-09,0.03636373535838839
800,learned_occupancy,300,9.385264484456698e-08,7.158320475432547e-09,0.04632945406230715
800,oracle_tail,300,3.826924600694106e-08,2.7868191524300278e-09,0.01889124465073979
800,tis,300,1.4066259715828905e-06,1.4427477551436718e-07,0.6943673611034117
800,tis_anchored,300,1.5572632387241043e-07,1.3246722174273717e-08,0.07687279969666679
800,uniform,300,2.0257662591565887e-06,1.8409679468330858e-07,1.0
