budget_per_group,replication,method,panel_mse
100,0,complete_rollout,6.938726019747198e-07
100,0,learned_mean,1.1466488060954532e-07
100,0,learned_occupancy,1.9324390322411817e-06
100,0,occ_plus_mean,1.6215613537651864e-07
100,0,occ_plus_uniform,8.397825606264646e-06
100,0,oracle_tail,1.0227628005250341e-07
100,0,tis,0.00020546620873077866
100,0,tis_anchored,8.397825606264646e-06
100,0,uniform,0.000119535498150157
100,1,complete_rollout,8.050410225255384e-08
100,1,learned_mean,3.683498438352684e-05
100,1,learned_occupancy,3.5191010631085134e-07
100,1,occ_plus_mean,2.0812976140426607e-06
100,1,occ_plus_uniform,2.0812976140426607e-06
100,1,oracle_tail,4.022679489879891e-08
100,1,tis,3.683498438352684e-05
100,1,tis_anchored,2.0812976140426607e-06
100,1,uniform,1.9086231146853346e-05
100,2,complete_rollout,1.174961892004581e-09
100,2,learned_mean,3.653444109351817e-07
100,2,learned_occupancy,1.940534514326209e-06
100,2,occ_plus_mean,1.0623521110260308e-06
100,2,occ_plus_uniform,7.801065580871719e-07
100,2,oracle_tail,1.021102462803771e-07
100,2,tis,4.822077175399243e-06
100,2,tis_anchored,7.801065580871719e-07
100,2,uniform,4.822095257452368e-06
100,3,complete_rollout,8.050410225255384e-08
100,3,learned_mean,9.917277729681503e-07
100,3,learned_occupancy,1.0071600501893548e-06
100,3,occ_plus_mean,6.356995302941246e-07
100,3,occ_plus_uniform,2.0587788289656815e-06
100,3,oracle_tail,9.332049622012363e-07
100,3,tis,4.822038410655604e-06
100,3,tis_anchored,2.0587788289656815e-06
100,3,uniform,4.82210634689836e-06
100,4,complete_rollout,6.914171124063374e-07
100,4,learned_mean,1.0564872505095715e-08
100,4,learned_occupancy,7.751705804403931e-07
100,4,occ_plus_mean,1.4482177363257278e-07
100,4,occ_plus_uniform,5.493192883128513e-07
100,4,oracle_tail,1.0296681769835019e-07
100,4,tis,4.822077175399243e-06
100,4,tis_anchored,5.493192883128513e-07
100,4,uniform,4.8219315826849015e-06
100,5,complete_rollout,2.708171652735966e-06
100,5,learned_mean,4.823064467019999e-06
100,5,learned_occupancy,2.2215013405738543e-06
100,5,occ_plus_mean,7.212158878126179e-07
100,5,occ_plus_uniform,7.212158878126179e-07
100,5,oracle_tail,7.853145515269153e-08
100,5,tis,4.823064467019999e-06
100,5,tis_anchored,7.212158878126179e-07
100,5,uniform,4.823064467019999e-06
100,6,complete_rollout,6.190468986743339e-06
100,6,learned_mean,2.145112428800459e-07
100,6,learned_occupancy,1.9583448542611206e-06
100,6,occ_plus_mean,1.0281178379012069e-09
100,6,occ_plus_uniform,4.548367780638165e-07
100,6,oracle_tail,1.599848215350887e-07
100,6,tis,3.683452170898064e-05
100,6,tis_anchored,4.548367780638165e-07
100,6,uniform,1.9085628022912196e-05
100,7,complete_rollout,8.050410225255384e-08
100,7,learned_mean,3.6633170255593796e-07
100,7,learned_occupancy,3.530327819679907e-07
100,7,occ_plus_mean,6.432913074599077e-07
100,7,occ_plus_uniform,7.212158878126179e-07
100,7,oracle_tail,1.0233152699455093e-07
100,7,tis,4.823064467019999e-06
100,7,tis_anchored,7.212158878126179e-07
100,7,uniform,4.823064467019999e-06
100,8,complete_rollout,3.1603603376583767e-07
100,8,learned_mean,1.0430296204229291e-07
100,8,learned_occupancy,4.2616989238786354e-08
100,8,occ_plus_mean,9.266073821717869e-08
100,8,occ_plus_uniform,4.544416093598251e-07
100,8,oracle_tail,5.262498907736995e-08
100,8,tis,1.0430296204229291e-07
100,8,tis_anchored,9.266073821717869e-08
100,8,uniform,4.822652396674354e-06
100,9,complete_rollout,6.938726019747198e-07
100,9,learned_mean,3.5607772012337886e-07
100,9,learned_occupancy,1.0300615808847584e-06
100,9,occ_plus_mean,1.5881549865520965e-07
100,9,occ_plus_uniform,4.880908354542539e-07
100,9,oracle_tail,3.5663327879512303e-07
100,9,tis,3.5607772012337886e-07
100,9,tis_anchored,1.5877771926182612e-07
100,9,uniform,4.823064467019999e-06
100,10,complete_rollout,8.050410225255384e-08
100,10,learned_mean,1.2954693995919428e-06
100,10,learned_occupancy,3.9068115328970097e-08
100,10,occ_plus_mean,6.431065802322047e-07
100,10,occ_plus_uniform,2.5920610736819287e-06
100,10,oracle_tail,1.8846476636218155e-06
100,10,tis,4.823064467019999e-06
100,10,tis_anchored,2.5920610736819287e-06
100,10,uniform,4.823064467019999e-06
100,11,complete_rollout,8.050410225255384e-08
100,11,learned_mean,3.6633170255593796e-07
100,11,learned_occupancy,9.833883134986593e-07
100,11,occ_plus_mean,1.6190110827782838e-07
100,11,occ_plus_uniform,8.397570579165956e-06
100,11,oracle_tail,3.1176499252253757e-07
100,11,tis,4.823064467019999e-06
100,11,tis_anchored,8.397570579165956e-06
100,11,uniform,4.823064467019999e-06
100,12,complete_rollout,1.878080355094417e-06
100,12,learned_mean,4.756390875965843e-06
100,12,learned_occupancy,9.906534897288147e-07
