budget_per_group,method,replications,panel_mse,mcse,normalized_to_uniform
100,complete_rollout,300,6.811951751171024e-07,5.260518132918338e-08,0.04276514944193033
100,learned_mean,300,8.213726061178573e-06,1.5341280506673107e-06,0.5156543018981234
100,learned_occupancy,300,9.590620526933622e-07,7.021957466224791e-08,0.06020951631148211
100,occ_plus_mean,300,9.169748386357402e-07,8.63903466820959e-08,0.05756729853819958
100,occ_plus_uniform,300,1.4500120564080386e-06,1.0903337063538435e-07,0.09103115311148602
100,oracle_tail,300,3.5345173942934606e-07,2.8747756143730114e-08,0.022189553022902358
100,tis,300,1.7416635241789317e-05,2.11483904168709e-06,1.0934091081350799
100,tis_anchored,300,1.41270918809237e-06,1.0879600644247112e-07,0.08868929457166594
100,uniform,300,1.5928745345367715e-05,1.8088913113248012e-06,1.0
200,complete_rollout,300,2.8149137601357336e-07,2.345718644578195e-08,0.041906460419008716
200,learned_mean,300,9.455038296725598e-06,5.884583861498114e-06,1.407599741609267
200,learned_occupancy,300,3.6632373695132606e-07,3.051624458131866e-08,0.054535706921102524
200,occ_plus_mean,300,4.865534689862204e-07,5.537513717539239e-08,0.07243466559636003
200,occ_plus_uniform,300,7.082878957402131e-07,6.22362640719553e-08,0.10544493081261917
200,oracle_tail,300,1.4675838169380239e-07,1.1519672948199048e-08,0.021848357845650472
200,tis,300,7.06529274963796e-06,7.798658229556501e-07,1.051831196942728
200,tis_anchored,300,6.482128492067289e-07,5.9435413712229624e-08,0.09650137952029053
200,uniform,300,6.717135572869553e-06,6.11450539097536e-07,1.0
400,complete_rollout,300,1.5215895884198663e-07,1.207507156577552e-08,0.04623464130025868
400,learned_mean,300,1.5227433648231513e-06,1.9404305897444477e-07,0.4626969966195658
400,learned_occupancy,300,1.7414276861458448e-07,1.3111923391679664e-08,0.052914586845264046
400,occ_plus_mean,300,1.78526589954486e-07,2.108317393444774e-08,0.054246643851419356
400,occ_plus_uniform,300,2.9003803150448374e-07,2.549029972478503e-08,0.08813023204219403
400,oracle_tail,300,7.806018205329593e-08,6.089380936234398e-09,0.023719172006263358
400,tis,300,2.7295629716691778e-06,2.1997051352930815e-07,0.829398188986352
400,tis_anchored,300,2.4595235208487716e-07,2.4304299677188872e-08,0.07473446757353454
400,uniform,300,3.2910163151008443e-06,3.029348557716193e-07,1.0
800,complete_rollout,300,7.366442814592262e-08,6.4978368987552725e-09,0.03636373535838839
800,learned_mean,300,6.687809912758557e-07,9.958002392383628e-08,0.33013729409941756
800,learned_occupancy,300,9.385264484456698e-08,7.158320475432547e-09,0.04632945406230715
800,occ_plus_mean,300,1.0431081224913234e-07,1.0586906790070586e-08,0.05149202765997361
800,occ_plus_uniform,300,1.8589104302887462e-07,1.4059872747962867e-08,0.09176332273708065
800,oracle_tail,300,3.826924600694106e-08,2.7868191524300278e-09,0.01889124465073979
800,tis,300,1.4066259715828905e-06,1.4427477551436718e-07,0.6943673611034117
800,tis_anchored,300,1.5572632387241043e-07,1.3246722174273717e-08,0.07687279969666679
800,uniform,300,2.0257662591565887e-06,1.8409679468330858e-07,1.0
