budget_per_group,panel_index,method,replications,mse,bias
100,0,complete_rollout,300,0.0,0.0
100,0,learned_mean,300,0.0,0.0
100,0,learned_occupancy,300,0.0,0.0
100,0,occ_plus_mean,300,0.0,0.0
100,0,occ_plus_uniform,300,0.0,0.0
100,0,oracle_tail,300,0.0,0.0
100,0,tis,300,0.0,0.0
100,0,tis_anchored,300,0.0,0.0
100,0,uniform,300,0.0,0.0
100,1,complete_rollout,300,0.0,0.0
100,1,learned_mean,300,0.0,0.0
100,1,learned_occupancy,300,0.0,0.0
100,1,occ_plus_mean,300,0.0,0.0
100,1,occ_plus_uniform,300,0.0,0.0
100,1,oracle_tail,300,0.0,0.0
100,1,tis,300,0.0,0.0
100,1,tis_anchored,300,0.0,0.0
100,1,uniform,300,0.0,0.0
100,2,complete_rollout,300,1.9918114656715423e-24,1.411315508903499e-12
100,2,learned_mean,300,1.9918114656715423e-24,1.411315508903499e-12
100,2,learned_occupancy,300,1.9918114656715423e-24,1.411315508903499e-12
100,2,occ_plus_mean,300,1.9918114656715423e-24,1.411315508903499e-12
100,2,occ_plus_uniform,300,1.9918114656715423e-24,1.411315508903499e-12
100,2,oracle_tail,300,1.9918114656715423e-24,1.411315508903499e-12
100,2,tis,300,1.9918114656715423e-24,1.411315508903499e-12
100,2,tis_anchored,300,1.9918114656715423e-24,1.411315508903499e-12
100,2,uniform,300,1.9918114656715423e-24,1.411315508903499e-12
100,3,complete_rollout,300,2.5733392844905076e-07,2.7839724395818018e-05
100,3,learned_mean,300,9.249502730823571e-06,-0.00041688078534576716
100,3,learned_occupancy,300,3.108522826609565e-07,-0.00010521114186827034
100,3,occ_plus_mean,300,2.776783911324324e-07,-3.6015765974954186e-05
100,3,occ_plus_uniform,300,2.858646995221375e-07,-2.4352676250030864e-05
100,3,oracle_tail,300,4.773921230960986e-08,-4.131400402470249e-06
100,3,tis,300,9.244741482191515e-06,-0.0003995608823145861
100,3,tis_anchored,300,2.84667863558108e-07,-3.404732696214034e-05
100,3,uniform,300,7.500442223797037e-06,-0.0003742889297612824
100,4,complete_rollout,300,0.0,0.0
100,4,learned_mean,300,0.0,0.0
100,4,learned_occupancy,300,0.0,0.0
100,4,occ_plus_mean,300,0.0,0.0
