budget_per_group,replication,method,panel_mse
25,0,complete_rollout,8.705966811969341e-05
25,0,learned_occupancy,0.0002978126007155994
25,0,oracle_tail,4.90719775863053e-05
25,0,tis,0.0008227929691606798
25,0,tis_anchored,0.00019862461673468998
25,0,uniform,0.0005868392613259221
25,1,complete_rollout,7.962271411578525e-05
25,1,learned_occupancy,8.515241042581536e-05
25,1,oracle_tail,4.783458905846986e-05
25,1,tis,0.0008908663484078469
25,1,tis_anchored,9.395089832674582e-05
25,1,uniform,0.0006292827245678841
25,2,complete_rollout,0.000149042161335768
25,2,learned_occupancy,9.648800309969489e-05
25,2,oracle_tail,4.073857571459414e-05
25,2,tis,0.00017640257815976603
25,2,tis_anchored,0.00021762299185273682
25,2,uniform,0.0001874480610976402
25,3,complete_rollout,0.00011463631348577356
25,3,learned_occupancy,0.0002572040734867293
25,3,oracle_tail,4.7631979756661366e-05
25,3,tis,0.00024918079188330805
25,3,tis_anchored,0.00028027051450512963
25,3,uniform,0.0003080594115429394
25,4,complete_rollout,7.064023767124912e-05
25,4,learned_occupancy,0.00038382410834396754
25,4,oracle_tail,2.5892768477634645e-05
25,4,tis,0.0011208269554484251
25,4,tis_anchored,0.00021252996115521766
25,4,uniform,0.00027217288541537285
25,5,complete_rollout,0.00010575824897202662
25,5,learned_occupancy,0.00016084654990515516
25,5,oracle_tail,4.4092956762533014e-05
25,5,tis,0.0005066044222279363
25,5,tis_anchored,0.00041430248984368896
25,5,uniform,0.0007461644900485217
25,6,complete_rollout,0.00023422140249316486
25,6,learned_occupancy,0.0001965978965666129
25,6,oracle_tail,2.2993409943405456e-05
25,6,tis,0.0007741062636779874
25,6,tis_anchored,0.00016468817237247344
25,6,uniform,0.00038369512841166333
25,7,complete_rollout,7.758494506249152e-05
25,7,learned_occupancy,0.00025568071677435736
25,7,oracle_tail,8.686158184049041e-05
25,7,tis,0.0008190759625046235
25,7,tis_anchored,0.00023551960205273536
25,7,uniform,0.00039590906115681416
25,8,complete_rollout,0.00011005109666153688
25,8,learned_occupancy,0.0002454370829749138
25,8,oracle_tail,6.78155673204321e-05
25,8,tis,0.0007610743604042202
25,8,tis_anchored,0.00020263577852252187
25,8,uniform,0.00016387154873705702
25,9,complete_rollout,0.00016564734855698684
25,9,learned_occupancy,0.0005243909462046378
25,9,oracle_tail,0.00010938001898143487
25,9,tis,0.0006446378546063115
25,9,tis_anchored,0.0003130446391818251
25,9,uniform,0.0005963898070390243
25,10,complete_rollout,0.00010454545459492966
25,10,learned_occupancy,0.0002809383505232544
25,10,oracle_tail,8.09223639352805e-05
25,10,tis,0.0009786309937622017
25,10,tis_anchored,0.00022590858133586335
25,10,uniform,0.0003998718465815634
25,11,complete_rollout,8.8531459921453e-05
25,11,learned_occupancy,0.00012656252654787983
25,11,oracle_tail,3.324994574073072e-05
25,11,tis,0.0006699663969070899
25,11,tis_anchored,0.0001537292218556248
25,11,uniform,0.0002879539588191083
25,12,complete_rollout,7.544738958518907e-05
25,12,learned_occupancy,0.0002899926627907168
25,12,oracle_tail,0.00011169755217433493
25,12,tis,0.0005272289042248395
25,12,tis_anchored,0.0002529166617261304
25,12,uniform,0.0004077712345912123
25,13,complete_rollout,7.432281418312913e-05
25,13,learned_occupancy,0.00025445478748358977
25,13,oracle_tail,3.570917506521833e-05
25,13,tis,0.0012896994687739273
25,13,tis_anchored,0.0003088930613932272
25,13,uniform,0.0003284803632377579
25,14,complete_rollout,0.0001327851823880205
25,14,learned_occupancy,0.00023916541967244857
25,14,oracle_tail,5.86188517685346e-05
25,14,tis,0.00043670710088861294
25,14,tis_anchored,0.0002717205017015965
25,14,uniform,0.0004917747768052958
25,15,complete_rollout,9.756913629152783e-05
25,15,learned_occupancy,0.00012999252771040323
25,15,oracle_tail,4.029911645419562e-05
