budget_per_group,method,replications,panel_mse,mcse,normalized_to_uniform
25,complete_rollout,300,0.00010742271023182226,3.1895294155353454e-06,0.27560433892389763
25,learned_occupancy,300,0.0001915923478171186,5.805140011379576e-06,0.49155045752487614
25,oracle_tail,300,5.739432821339264e-05,2.023238153525283e-06,0.14725122696213094
25,tis,300,0.0006020224582177807,2.424056075868765e-05,1.5445523693862275
25,tis_anchored,300,0.00021046412483143506,6.226560738862866e-06,0.5399679999339778
25,uniform,300,0.00038977147693413055,1.0563190456819895e-05,1.0
50,complete_rollout,300,5.777897906979765e-05,1.6470779223241748e-06,0.2888562172503755
50,learned_occupancy,300,8.362513469621616e-05,2.6526016465380066e-06,0.4180696935856525
50,oracle_tail,300,2.634747864068845e-05,8.154190193450586e-07,0.13171975581362563
50,tis,300,0.00028295476401330317,9.762166133355314e-06,1.4145844059847574
50,tis_anchored,300,8.614397791233518e-05,2.7590332633011535e-06,0.4306622235155424
50,uniform,300,0.00020002678017387398,5.474373186310902e-06,1.0
100,complete_rollout,300,2.9774563870553345e-05,9.509333180405135e-07,0.2576813344573557
100,learned_occupancy,300,3.5241298889259226e-05,1.1805513017640102e-06,0.30499271006202244
100,oracle_tail,300,1.3390320237210897e-05,3.8195913939277634e-07,0.1158853443676559
100,tis,300,0.00013771474210371717,6.112306548653602e-06,1.191840077793117
100,tis_anchored,300,3.260729402337424e-05,1.1145360451830238e-06,0.2821969474856419
100,uniform,300,0.00011554800402308847,3.0400443287958713e-06,1.0
200,complete_rollout,300,1.52593734278373e-05,4.503037861130689e-07,0.2580670900390233
200,learned_occupancy,300,1.4571159309974997e-05,4.160816865294313e-07,0.2464279873222304
200,oracle_tail,300,6.381901852751109e-06,1.9033180290326827e-07,0.10793096111335891
200,tis,300,5.529237654329208e-05,2.896581498302249e-06,0.9351067252760515
200,tis_anchored,300,1.275455704975543e-05,3.4041239635808394e-07,0.21570554244137138
200,uniform,300,5.9129482281254364e-05,1.549674067404005e-06,1.0
