budget_per_group,panel_index,method,replications,mse,bias
25,0,complete_rollout,300,1.3328555650700151e-05,-0.00020361707607053394
25,0,learned_occupancy,300,2.268346801158823e-05,2.8459389149770865e-05
25,0,oracle_tail,300,4.7200140951852195e-06,0.00014612125581359454
25,0,tis,300,6.521813972212842e-05,0.00012914373874428397
25,0,tis_anchored,300,2.070625369014538e-05,-1.72239375332639e-05
25,0,uniform,300,3.1932256926542106e-05,-0.00021192848964026066
25,1,complete_rollout,300,0.00010868753150458418,-4.443846206453624e-05
25,1,learned_occupancy,300,0.00019691457346291818,0.0005154958140403099
25,1,oracle_tail,300,4.2093155055711575e-05,6.364730575073066e-05
25,1,tis,300,0.0018516281151349319,-0.0010141583222478912
25,1,tis_anchored,300,0.00032296733472303066,0.0001513779197771877
25,1,uniform,300,0.0005543398779662038,-0.00015209749868344558
25,2,complete_rollout,300,4.733713482224371e-12,2.123466375395881e-07
25,2,learned_occupancy,300,1.380968577088163e-11,-4.3554890489054066e-08
25,2,oracle_tail,300,4.1252443563745995e-12,8.002583126535493e-09
25,2,tis,300,2.6798571561052676e-11,2.3030688319325422e-07
25,2,tis_anchored,300,1.3605932048050789e-11,-1.403266293934872e-07
25,2,uniform,300,2.8603916312442133e-11,-5.018115126098621e-08
25,3,complete_rollout,300,1.0190091314353293e-06,6.191551147689101e-05
25,3,learned_occupancy,300,2.528706034708385e-06,-3.5566854052364594e-05
25,3,oracle_tail,300,3.9778557466820354e-07,1.9792411506491805e-06
25,3,tis,300,1.5805752597410815e-06,0.00011475174465618817
25,3,tis_anchored,300,3.3209819440934546e-06,-2.025941362880035e-05
25,3,uniform,300,5.080034665996566e-06,-2.0828706029230777e-05
25,4,complete_rollout,300,0.0003706502630802173,0.0007385553328979692
25,4,learned_occupancy,300,0.0006573066447892865,0.0019360629208654615
25,4,oracle_tail,300,0.00022441137324895392,-0.0005465728195559238
25,4,tis,300,0.0013460639503181688,0.006777145847946168
25,4,tis_anchored,300,0.0005972624055495757,0.0016119593721929607
25,4,uniform,300,0.0012585921408217711,0.007839279630041551
25,5,complete_rollout,300,0.00010441334638429713,-0.0008428200886261558
25,5,learned_occupancy,300,0.00019338662904339784,-5.2272486950034986e-05
25,5,oracle_tail,300,3.625718500053537e-05,0.0001659513838454951
25,5,tis,300,0.0010639662163604222,0.0002537415350256089
25,5,tis_anchored,300,0.00023355144284135292,-0.0003023427382184899
25,5,uniform,300,0.0004679057946105659,-0.001533472343961991
25,6,complete_rollout,300,0.001117055999724714,0.0006929448564534376
