budget_per_group,replication,method,panel_mse
400,0,complete_rollout,7.644237332001753e-06
400,0,learned_occupancy,3.284823207673801e-06
400,0,oracle_tail,4.451447155738029e-06
400,0,tis,1.2273752246733502e-05
400,0,tis_anchored,2.7201433421341005e-06
400,0,uniform,2.475898325529089e-05
400,1,complete_rollout,7.641223165548336e-06
400,1,learned_occupancy,5.573263218137775e-06
400,1,oracle_tail,5.566995026105296e-06
400,1,tis,1.7793999947598242e-05
400,1,tis_anchored,5.209993351959118e-06
400,1,uniform,1.783186410515031e-05
400,2,complete_rollout,1.3145170069783162e-05
400,2,learned_occupancy,5.307271852281932e-06
400,2,oracle_tail,3.7971876367800956e-06
400,2,tis,1.3444448749025622e-05
400,2,tis_anchored,5.98224628747706e-06
400,2,uniform,8.464976875301309e-05
400,3,complete_rollout,7.20528122668358e-06
400,3,learned_occupancy,7.213668769920587e-06
400,3,oracle_tail,2.0917347896401703e-06
400,3,tis,1.2321207618215542e-05
400,3,tis_anchored,3.3165890590507724e-06
400,3,uniform,1.299631592627648e-05
400,4,complete_rollout,8.8813927515969e-06
400,4,learned_occupancy,1.0371135877465901e-05
400,4,oracle_tail,2.593614982722076e-06
400,4,tis,1.4580901467751505e-05
400,4,tis_anchored,5.401807145565689e-06
400,4,uniform,2.5717620740875884e-05
400,5,complete_rollout,5.000331141296058e-06
400,5,learned_occupancy,2.607856219552327e-06
400,5,oracle_tail,1.0535869763052556e-06
400,5,tis,4.491487049011077e-06
400,5,tis_anchored,2.8231426595425123e-06
400,5,uniform,4.2704920995197685e-05
400,6,complete_rollout,8.869707768034446e-06
400,6,learned_occupancy,1.8964961425657297e-06
400,6,oracle_tail,1.0512408534894705e-06
400,6,tis,2.310696285362977e-05
400,6,tis_anchored,1.4712747790115718e-06
400,6,uniform,1.4528033252068781e-05
400,7,complete_rollout,9.114079572084218e-06
400,7,learned_occupancy,5.11407870926605e-06
400,7,oracle_tail,5.347683438790514e-06
400,7,tis,4.344942727897061e-05
400,7,tis_anchored,7.531354983155878e-06
400,7,uniform,1.4141273321709262e-05
400,8,complete_rollout,7.975050624630307e-06
400,8,learned_occupancy,7.93680002868436e-06
400,8,oracle_tail,2.0824443566781055e-06
400,8,tis,1.0227843521891515e-05
400,8,tis_anchored,4.583525692079133e-06
400,8,uniform,1.4005704187724163e-05
400,9,complete_rollout,1.4759300628067955e-05
400,9,learned_occupancy,7.852410054991702e-06
400,9,oracle_tail,3.4796194720075636e-06
400,9,tis,1.1580715126418599e-05
400,9,tis_anchored,4.496960028129373e-06
400,9,uniform,2.3288411349679804e-05
400,10,complete_rollout,4.10843492725393e-06
400,10,learned_occupancy,7.730190018441466e-06
400,10,oracle_tail,6.699544747205582e-06
400,10,tis,1.1321670550217395e-05
400,10,tis_anchored,6.257677348821886e-06
400,10,uniform,1.1752605199886593e-05
400,11,complete_rollout,3.2347939937365503e-06
400,11,learned_occupancy,4.796941066415958e-06
400,11,oracle_tail,1.8415541289196916e-06
400,11,tis,3.353486651469887e-05
400,11,tis_anchored,4.557511275767268e-06
400,11,uniform,3.516086233456169e-05
400,12,complete_rollout,5.259289531793663e-06
400,12,learned_occupancy,1.1234449212726546e-05
400,12,oracle_tail,4.196487293238091e-06
400,12,tis,2.2722891182475628e-05
400,12,tis_anchored,1.4401631144070378e-05
400,12,uniform,3.154099828451631e-05
400,13,complete_rollout,5.990172594427417e-06
400,13,learned_occupancy,4.17219202388254e-06
400,13,oracle_tail,1.2216642997204956e-06
400,13,tis,7.697654069504656e-06
400,13,tis_anchored,5.7717690357906154e-06
400,13,uniform,4.421396158642955e-05
400,14,complete_rollout,1.929879786665481e-06
400,14,learned_occupancy,4.522325589171197e-06
400,14,oracle_tail,2.0629803333823275e-06
400,14,tis,5.574256784070264e-05
400,14,tis_anchored,4.0186116631334284e-06
400,14,uniform,4.251339431938683e-05
400,15,complete_rollout,2.9013868887519693e-06
400,15,learned_occupancy,5.471305413880695e-06
400,15,oracle_tail,3.653325184059839e-06
400,15,tis,1.2342997703631918e-05
400,15,tis_anchored,6.459825020654738e-06
400,15,uniform,4.406091883333195e-05
400,16,complete_rollout,6.229083173302488e-06
400,16,learned_occupancy,8.753709783529918e-06
400,16,oracle_tail,2.458497298186763e-06
400,16,tis,1.1141833165132286e-05
400,16,tis_anchored,4.179770811756123e-06
400,16,uniform,3.34717167026371e-05
400,17,complete_rollout,5.413089706270105e-06
400,17,learned_occupancy,2.9664832436113615e-06
400,17,oracle_tail,4.042348371448195e-06
400,17,tis,6.3665738983563325e-06
400,17,tis_anchored,1.2221522325580665e-06
400,17,uniform,4.2678144666674826e-05
400,18,complete_rollout,1.1162529934481301e-05
400,18,learned_occupancy,4.206863247849274e-06
400,18,oracle_tail,2.0078061716181986e-06
400,18,tis,3.4966785611713416e-05
400,18,tis_anchored,3.238497643362799e-06
400,18,uniform,3.976985368712675e-05
400,19,complete_rollout,5.647200682777229e-06
400,19,learned_occupancy,4.881626262015336e-06
400,19,oracle_tail,2.639502739056248e-06
400,19,tis,6.424816314521012e-05
400,19,tis_anchored,1.9197053823071636e-06
400,19,uniform,1.6763014871356234e-05
400,20,complete_rollout,1.0600853948168151e-05
400,20,learned_occupancy,4.416153173703984e-06
400,20,oracle_tail,1.934515114900904e-06
400,20,tis,3.5247644132251885e-06
400,20,tis_anchored,3.0380915248505574e-06
400,20,uniform,3.697604922318505e-05
400,21,complete_rollout,5.93989884412052e-06
400,21,learned_occupancy,4.3781553341341605e-06
400,21,oracle_tail,2.1461634324040396e-06
400,21,tis,9.969941136693606e-06
400,21,tis_anchored,7.61801337130489e-06
400,21,uniform,4.088444555987015e-05
400,22,complete_rollout,7.314569418296753e-06
400,22,learned_occupancy,4.742308310279811e-06
400,22,oracle_tail,3.915714024111924e-06
400,22,tis,4.853269100145617e-06
400,22,tis_anchored,4.3111806960609734e-06
400,22,uniform,2.6331815201999464e-05
400,23,complete_rollout,5.558411339489068e-06
400,23,learned_occupancy,8.289403908071057e-06
400,23,oracle_tail,7.72565359079155e-06
400,23,tis,4.897525700006232e-05
400,23,tis_anchored,2.4804145541566854e-05
400,23,uniform,4.128320207379547e-05
400,24,complete_rollout,1.2448969176770195e-05
400,24,learned_occupancy,2.0976237859968903e-06
400,24,oracle_tail,2.5966348101548564e-06
400,24,tis,2.918777951075548e-06
400,24,tis_anchored,2.62180483492493e-06
400,24,uniform,2.4103799896352198e-05
400,25,complete_rollout,7.0831732800886994e-06
400,25,learned_occupancy,4.576065227162325e-06
400,25,oracle_tail,9.940059674912288e-07
400,25,tis,5.888683301367398e-05
400,25,tis_anchored,3.859992917300423e-06
400,25,uniform,3.2442124167804374e-05
400,26,complete_rollout,7.018996626778499e-06
400,26,learned_occupancy,1.1551462116101805e-05
400,26,oracle_tail,9.334484691190011e-06
400,26,tis,1.0710561638666055e-05
400,26,tis_anchored,1.1205471354681542e-05
400,26,uniform,4.587470750674228e-05
400,27,complete_rollout,6.51065040914533e-06
400,27,learned_occupancy,2.298203470223705e-06
400,27,oracle_tail,1.2921896825000117e-06
400,27,tis,1.9159358128063548e-05
400,27,tis_anchored,3.1586677723901153e-06
400,27,uniform,2.5271324285667766e-05
400,28,complete_rollout,1.0443339065962944e-05
400,28,learned_occupancy,6.855504067925232e-06
400,28,oracle_tail,2.3733323865290527e-06
400,28,tis,2.7844301866969924e-05
400,28,tis_anchored,3.7426649158991577e-06
400,28,uniform,2.390063860088856e-05
400,29,complete_rollout,3.310722519740266e-06
400,29,learned_occupancy,9.656986905644047e-06
400,29,oracle_tail,6.791474496424265e-06
400,29,tis,1.6951446013986643e-05
400,29,tis_anchored,9.01463110862879e-06
400,29,uniform,3.266418105486818e-05
400,30,complete_rollout,2.7062906571976476e-06
400,30,learned_occupancy,4.073362738744699e-06
400,30,oracle_tail,2.2166531412308297e-06
400,30,tis,2.7668213562896144e-05
400,30,tis_anchored,5.160128600446958e-06
400,30,uniform,3.8859094186863016e-05
400,31,complete_rollout,5.373457787595056e-06
400,31,learned_occupancy,6.829452124823301e-06
400,31,oracle_tail,1.18816397748486e-06
400,31,tis,1.2432343480332617e-05
400,31,tis_anchored,5.447952561412577e-06
400,31,uniform,3.584613167535958e-05
400,32,complete_rollout,1.698983197596323e-05
400,32,learned_occupancy,7.098369856567483e-06
400,32,oracle_tail,4.455609031895184e-06
400,32,tis,2.87082637462872e-05
400,32,tis_anchored,5.434179042727886e-06
400,32,uniform,4.668369639841728e-05
400,33,complete_rollout,6.817676194528044e-06
400,33,learned_occupancy,1.0143422362850587e-05
400,33,oracle_tail,6.1754547253983905e-06
400,33,tis,1.3776177354721141e-05
400,33,tis_anchored,6.828511555732777e-06
400,33,uniform,2.6578677229059055e-05
400,34,complete_rollout,1.3306335126245306e-05
400,34,learned_occupancy,9.179655382080996e-06
400,34,oracle_tail,1.966710343207645e-06
400,34,tis,1.877722653351562e-05
400,34,tis_anchored,4.57197522001178e-06
400,34,uniform,2.4589456250413035e-05
400,35,complete_rollout,5.029631738915405e-06
400,35,learned_occupancy,3.072949137870878e-06
400,35,oracle_tail,2.281181680122813e-06
400,35,tis,9.392852473244788e-06
400,35,tis_anchored,3.047460635761731e-06
400,35,uniform,1.250846826780562e-05
400,36,complete_rollout,7.177694640200976e-06
400,36,learned_occupancy,3.903828776120806e-06
400,36,oracle_tail,3.1561917875760666e-06
400,36,tis,1.8472856056781193e-05
400,36,tis_anchored,5.459690155947924e-06
400,36,uniform,4.758964529400357e-05
400,37,complete_rollout,6.794541468220318e-06
400,37,learned_occupancy,8.863473564910715e-06
400,37,oracle_tail,5.486990005014548e-06
400,37,tis,2.8342242375707453e-05
400,37,tis_anchored,7.643780186048786e-06
400,37,uniform,6.497105276836428e-05
400,38,complete_rollout,5.135283544264468e-06
400,38,learned_occupancy,7.531870844133916e-06
400,38,oracle_tail,3.673837119126898e-06
400,38,tis,3.947388611164528e-05
400,38,tis_anchored,1.1124086676500216e-05
400,38,uniform,2.489970109633893e-05
400,39,complete_rollout,1.0811937240368042e-05
400,39,learned_occupancy,3.999563871583529e-06
400,39,oracle_tail,3.1214923906182907e-06
400,39,tis,6.366243972028984e-05
400,39,tis_anchored,2.759052469519341e-06
400,39,uniform,2.3609092641438714e-05
400,40,complete_rollout,6.435325369370764e-06
400,40,learned_occupancy,7.470202491101595e-06
400,40,oracle_tail,1.4570823488485082e-06
400,40,tis,6.038760821259353e-06
400,40,tis_anchored,4.0567174075989215e-06
400,40,uniform,2.6023539643445918e-05
400,41,complete_rollout,1.0799725786095499e-05
400,41,learned_occupancy,1.8286831396964844e-06
400,41,oracle_tail,4.618287255594619e-06
400,41,tis,3.0673801436544305e-06
400,41,tis_anchored,2.9804129157717387e-06
400,41,uniform,2.6843950258107052e-05
400,42,complete_rollout,1.703815180026143e-05
400,42,learned_occupancy,1.509582596007792e-05
400,42,oracle_tail,2.2765199143084417e-06
400,42,tis,2.251866667259301e-05
400,42,tis_anchored,7.567297855705212e-06
400,42,uniform,5.151395412605388e-05
400,43,complete_rollout,9.03694579514015e-06
400,43,learned_occupancy,8.433975187682344e-06
400,43,oracle_tail,2.5650890607486983e-06
400,43,tis,5.468726628406179e-05
400,43,tis_anchored,4.5370266676717185e-06
400,43,uniform,3.2216665349786765e-05
400,44,complete_rollout,7.58151001201491e-06
400,44,learned_occupancy,4.485452994484827e-06
400,44,oracle_tail,2.423499276197368e-06
400,44,tis,1.680996936698675e-05
400,44,tis_anchored,5.167500480661495e-06
400,44,uniform,2.2779391007733116e-05
400,45,complete_rollout,7.310742809413886e-06
400,45,learned_occupancy,2.8011322454256884e-06
400,45,oracle_tail,2.6059913990072014e-06
400,45,tis,5.4403151244448315e-05
400,45,tis_anchored,3.1568384807893515e-06
400,45,uniform,2.1072046490132898e-05
400,46,complete_rollout,6.349356990868501e-06
400,46,learned_occupancy,2.064121179902891e-06
400,46,oracle_tail,1.0247307496453018e-06
400,46,tis,8.725501786418938e-06
400,46,tis_anchored,2.6781801218380284e-06
400,46,uniform,3.165438181991018e-05
400,47,complete_rollout,6.965380678356573e-06
400,47,learned_occupancy,6.927775282722817e-06
400,47,oracle_tail,3.6304726107651488e-06
400,47,tis,2.4806979008938075e-05
400,47,tis_anchored,6.790830052986551e-06
400,47,uniform,3.8884578619930285e-05
400,48,complete_rollout,8.418519164266944e-06
400,48,learned_occupancy,4.025168209008127e-06
400,48,oracle_tail,1.998094070997797e-06
400,48,tis,1.011216980431044e-05
400,48,tis_anchored,1.6550515020673403e-06
400,48,uniform,1.7924826230496933e-05
400,49,complete_rollout,4.297985173348889e-06
400,49,learned_occupancy,7.035655823747569e-06
400,49,oracle_tail,5.63187155778236e-06
400,49,tis,9.399875381048664e-05
400,49,tis_anchored,5.529318124857534e-06
400,49,uniform,1.6582141582291123e-05
400,50,complete_rollout,6.389900615181986e-06
400,50,learned_occupancy,9.773539821725492e-06
400,50,oracle_tail,3.805348330712263e-06
400,50,tis,4.571082899529644e-06
400,50,tis_anchored,7.854780991080163e-06
400,50,uniform,3.33835137038168e-05
400,51,complete_rollout,8.232063663014988e-06
400,51,learned_occupancy,3.391432232503414e-06
400,51,oracle_tail,3.336305674945872e-06
400,51,tis,1.0608857762065942e-05
