budget_per_group,method,replications,panel_mse,mcse,normalized_to_uniform
400,complete_rollout,300,7.958896215300417e-06,2.650908394990719e-07,0.25724144863514736
400,learned_occupancy,300,7.085128491527676e-06,2.1942277641262149e-07,0.2290001864106404
400,oracle_tail,300,3.3797621112675376e-06,9.842079050190422e-08,0.10923812524069063
400,tis,300,2.0384488478250972e-05,1.1428320051023125e-06,0.6588520824974498
400,tis_anchored,300,6.122904938345075e-06,2.1790678746323333e-07,0.1978999214950477
400,uniform,300,3.09394005418961e-05,8.261276090765102e-07,1.0
800,complete_rollout,300,4.018719538686354e-06,1.205466391507641e-07,0.27086181645071655
800,learned_occupancy,300,3.331092757803086e-06,1.0363324505281753e-07,0.22451575096462317
800,oracle_tail,300,1.6650912485442762e-06,4.7890276143263066e-08,0.11222719968269322
800,tis,300,6.705592094996678e-06,3.8319034966812384e-07,0.4519571066713648
800,tis_anchored,300,2.731481110667958e-06,8.881062764207921e-08,0.18410190811130567
800,uniform,300,1.4836788704093925e-05,4.3945095154868665e-07,1.0
