budget_per_group,replication,method,panel_mse
100,0,complete_rollout,1.5944262066802417e-05
100,0,learned_mean,0.00011326189150157926
100,0,learned_occupancy,8.871268836123669e-05
100,0,occ_plus_mean,5.169983074211484e-05
100,0,occ_plus_uniform,7.22107904013898e-05
100,0,oracle_tail,1.8565764234113905e-05
100,0,tis,0.00017465073685866977
100,0,tis_anchored,4.206637695793483e-05
100,0,uniform,0.00011438127871164255
100,1,complete_rollout,1.8780602906148247e-05
100,1,learned_mean,5.632461165366015e-05
100,1,learned_occupancy,2.674840579600105e-05
100,1,occ_plus_mean,5.24210763230896e-05
100,1,occ_plus_uniform,2.4723816236098554e-05
100,1,oracle_tail,1.8130949355655464e-05
100,1,tis,0.00012089540885535214
100,1,tis_anchored,4.9109404475876654e-05
100,1,uniform,0.00012880375132758276
100,2,complete_rollout,3.5280554623229167e-05
100,2,learned_mean,7.036990274336612e-05
100,2,learned_occupancy,3.575156488968953e-05
100,2,occ_plus_mean,5.11278991863598e-05
100,2,occ_plus_uniform,7.875681890371792e-05
100,2,oracle_tail,7.378141427306451e-06
100,2,tis,0.00013458452911183983
100,2,tis_anchored,5.5656587104644384e-05
100,2,uniform,0.00017358589713351575
100,3,complete_rollout,3.0727488494578676e-05
100,3,learned_mean,6.387036220035459e-05
100,3,learned_occupancy,2.865444202513098e-05
100,3,occ_plus_mean,3.7401892541616905e-05
100,3,occ_plus_uniform,1.1804526992558982e-05
100,3,oracle_tail,8.878299604742481e-06
100,3,tis,5.192994893659681e-05
100,3,tis_anchored,3.740388599433883e-05
100,3,uniform,4.795699870137086e-05
100,4,complete_rollout,2.4164144760882343e-05
100,4,learned_mean,0.00024172108795477638
100,4,learned_occupancy,3.274663819229603e-05
100,4,occ_plus_mean,2.2980440521977796e-05
100,4,occ_plus_uniform,5.2148430007647846e-05
100,4,oracle_tail,1.4142921268550833e-05
100,4,tis,5.284503040567633e-05
100,4,tis_anchored,2.2311416149121873e-05
100,4,uniform,8.131535724832218e-05
