budget_per_group,method,replications,panel_mse,mcse,normalized_to_uniform
100,complete_rollout,300,2.9774563870553345e-05,9.509333180405135e-07,0.2576813344573557
100,learned_mean,300,0.0001168734299130308,5.5663279682781785e-06,1.011470781353155
100,learned_occupancy,300,3.524129888925923e-05,1.1805513017640106e-06,0.3049927100620225
100,occ_plus_mean,300,3.0409145203369656e-05,9.194897819133445e-07,0.26317326258005624
100,occ_plus_uniform,300,4.230667854898413e-05,1.3109299866016843e-06,0.3661394145807186
100,oracle_tail,300,1.3390320237210897e-05,3.819591393927765e-07,0.1158853443676559
100,tis,300,0.00013771474210371717,6.1123065486536015e-06,1.191840077793117
100,tis_anchored,300,3.260729402337423e-05,1.1145360451830236e-06,0.28219694748564184
100,uniform,300,0.00011554800402308847,3.0400443287958717e-06,1.0
200,complete_rollout,300,1.52593734278373e-05,4.503037861130689e-07,0.2580670900390233
200,learned_mean,300,4.645033523437603e-05,2.7764215849088017e-06,0.7855697943274913
200,learned_occupancy,300,1.4571173520999718e-05,4.1608163294129093e-07,0.24642822765960817
200,occ_plus_mean,300,1.2413349376076038e-05,3.4941085447143337e-07,0.20993502559401578
200,occ_plus_uniform,300,1.859848062404413e-05,5.442048563267927e-07,0.31453819493258695
200,oracle_tail,300,6.381901852751109e-06,1.903318029032684e-07,0.10793096111335891
200,tis,300,5.529237654329213e-05,2.8965814983022476e-06,0.9351067252760523
200,tis_anchored,300,1.2754558184702681e-05,3.4041252693587365e-07,0.21570556163564145
200,uniform,300,5.9129482281254364e-05,1.549674067404005e-06,1.0
400,complete_rollout,300,7.958896215300417e-06,2.650908394990719e-07,0.25724144863514736
400,learned_mean,300,1.700184103514484e-05,9.964356695036365e-07,0.5495206997343748
400,learned_occupancy,300,7.085128491527676e-06,2.1942277641262149e-07,0.2290001864106404
400,occ_plus_mean,300,5.598991542442548e-06,1.6478336576306705e-07,0.1809663873371031
400,occ_plus_uniform,300,9.574847579930278e-06,2.9815393565882724e-07,0.3094710114685205
400,oracle_tail,300,3.3797621112675376e-06,9.842079050190422e-08,0.10923812524069063
400,tis,300,2.0384488478250972e-05,1.1428320051023125e-06,0.6588520824974498
400,tis_anchored,300,6.122904938345075e-06,2.1790678746323333e-07,0.1978999214950477
400,uniform,300,3.09394005418961e-05,8.261276090765102e-07,1.0
800,complete_rollout,300,4.018719538686354e-06,1.205466391507641e-07,0.27086181645071655
800,learned_mean,300,5.568979197726756e-06,3.6089936149991463e-07,0.37534936358499893
800,learned_occupancy,300,3.331092757803086e-06,1.0363324505281753e-07,0.22451575096462317
800,occ_plus_mean,300,2.481113280476682e-06,7.268776857824998e-08,0.16722710890882111
800,occ_plus_uniform,300,4.390078591055445e-06,1.1948312972561724e-07,0.2958914276270638
800,oracle_tail,300,1.6650912485442762e-06,4.7890276143263066e-08,0.11222719968269322
800,tis,300,6.705592094996678e-06,3.8319034966812384e-07,0.4519571066713648
800,tis_anchored,300,2.731481110667958e-06,8.881062764207921e-08,0.18410190811130567
800,uniform,300,1.4836788704093925e-05,4.3945095154868665e-07,1.0
