budget_per_group,panel_index,method,replications,mse,bias
100,0,complete_rollout,300,3.3206261044131164e-06,-1.891004323208397e-05
100,0,learned_mean,300,4.788028643576049e-05,0.00010446893117372087
100,0,learned_occupancy,300,2.715222302944414e-06,0.00016538734156992178
100,0,occ_plus_mean,300,3.46050992261637e-06,0.0002166569909720358
100,0,occ_plus_uniform,300,2.828189122798594e-06,0.0002710647567305761
100,0,oracle_tail,300,9.6189638519338e-07,0.00013552701285202435
100,0,tis,300,4.6605657666518126e-05,1.5829817133730848e-05
100,0,tis_anchored,300,3.1957657384988605e-06,0.00025466832484515755
100,0,uniform,300,5.216745244660528e-06,0.0002956614105103202
100,1,complete_rollout,300,2.324026730322165e-05,3.773238037968474e-05
100,1,learned_mean,300,0.0006199197757879156,0.000231971664959989
100,1,learned_occupancy,300,3.5501544840778455e-05,-0.00015260822243778004
100,1,occ_plus_mean,300,5.0991937722607714e-05,4.041751880638748e-05
100,1,occ_plus_uniform,300,4.397375864550729e-05,0.0002020713623128878
100,1,oracle_tail,300,9.207311750660096e-06,-5.1268374818428754e-05
100,1,tis,300,0.0006115364518729711,-0.00027404969741566515
100,1,tis_anchored,300,4.9962842223566144e-05,6.932205117548662e-05
100,1,uniform,300,0.00011549448220278804,-0.0003854780473118772
100,2,complete_rollout,300,1.269820939519516e-12,-2.0897475515220993e-08
100,2,learned_mean,300,4.0624202372243e-12,-1.5538673900916677e-07
100,2,learned_occupancy,300,2.2678291426160797e-12,-8.169167562114647e-08
100,2,occ_plus_mean,300,2.400073433003361e-12,-1.8105183053377752e-07
100,2,occ_plus_uniform,300,2.209995755992085e-12,-3.1595747204497354e-08
100,2,oracle_tail,300,8.977970016421977e-13,-3.5952474408684763e-08
100,2,tis,300,4.567345297466359e-12,-9.95056386103125e-08
100,2,tis_anchored,300,1.7596751527889617e-12,-4.5018711674800945e-08
100,2,uniform,300,8.41372917432684e-12,-4.735629063853016e-08
100,3,complete_rollout,300,3.1797145327977584e-07,1.253834523712971e-05
100,3,learned_mean,300,3.3569753358174654e-06,3.220660523075791e-05
100,3,learned_occupancy,300,3.128835501947013e-07,2.2125364566688194e-05
100,3,occ_plus_mean,300,4.85934894344344e-07,3.8287812598420214e-05
100,3,occ_plus_uniform,300,3.882710795906503e-07,3.091203237154024e-05
