budget_per_group,method,replications,panel_mse,mcse,normalized_to_uniform
25,complete_rollout,300,0.0001199524954942773,3.291617291468436e-06,0.21883644572835756
25,learned_occupancy,300,0.00024224680410755983,7.804103348867625e-06,0.44194519990191616
25,oracle_tail,300,0.00013426892828513316,9.58768017664331e-06,0.24495476243823605
25,tis,300,0.0009858090415425372,4.355279971651095e-05,1.7984698519951987
25,tis_anchored,300,0.00027727509028871385,8.706099453221038e-06,0.5058493781039044
25,uniform,300,0.0005481376518204593,1.643507842205393e-05,1.0
50,complete_rollout,300,6.151177927490935e-05,1.6518553098405898e-06,0.23305439777060544
50,learned_occupancy,300,9.622878173516201e-05,2.896081615641673e-06,0.3645893687330713
50,oracle_tail,300,6.289285786134569e-05,5.803554534529893e-06,0.2382869961774457
50,tis,300,0.00044395286568380573,1.877943263180577e-05,1.6820382855138327
50,tis_anchored,300,0.00010204596226036718,3.0548287174578288e-06,0.38662936692537825
50,uniform,300,0.0002639374320473247,8.112975322998794e-06,1.0
100,complete_rollout,300,3.287406929953755e-05,1.0030708734370558e-06,0.23528669739002103
100,learned_occupancy,300,4.1516100744728396e-05,1.360012542676762e-06,0.29713955226333816
100,oracle_tail,300,2.4366912428435477e-05,2.3483947505940022e-06,0.17439916849475923
100,tis,300,0.0002407454009013174,1.8570504412210656e-05,1.7230659756108868
100,tis_anchored,300,3.9831199690264336e-05,1.257700059730411e-06,0.2850803574943051
100,uniform,300,0.00013971920072066005,4.074486336951062e-06,1.0
200,complete_rollout,300,1.7234915792725858e-05,4.694048535153325e-07,0.2548498857397718
200,learned_occupancy,300,1.6667828150988637e-05,4.283621661559399e-07,0.24646445337449363
200,oracle_tail,300,9.634523087509383e-06,7.829661067716484e-07,0.1424641197867218
200,tis,300,9.767490555364894e-05,6.778359478340622e-06,1.4443028802320288
200,tis_anchored,300,1.525917425925091e-05,3.808174833003094e-07,0.2256349182799409
200,uniform,300,6.762771638173107e-05,1.8810931890042092e-06,1.0
