budget_per_group,panel_index,method,replications,mse,bias
25,0,complete_rollout,300,1.3328555650700151e-05,-0.00020361707607053394
25,0,learned_occupancy,300,2.268346801158823e-05,2.8459389149770865e-05
25,0,oracle_tail,300,4.7200140951852195e-06,0.00014612125581359454
25,0,tis,300,6.521813972212842e-05,0.00012914373874428397
25,0,tis_anchored,300,2.070625369014538e-05,-1.72239375332639e-05
25,0,uniform,300,3.1932256926542106e-05,-0.00021192848964026066
25,1,complete_rollout,300,0.00019194133107640522,-5.9054556033285944e-05
25,1,learned_occupancy,300,0.000347749597544415,0.0006850456793712804
25,1,oracle_tail,300,7.433618280545852e-05,8.458131108063594e-05
25,1,tis,300,0.0032699607779987554,-0.001347721471119804
25,1,tis_anchored,300,0.0005703577886330287,0.00020116708433140246
25,1,uniform,300,0.000978959891467197,-0.00020212333733556762
25,2,complete_rollout,300,4.733713482224371e-12,2.123466375395881e-07
25,2,learned_occupancy,300,1.380968577088163e-11,-4.3554890489054066e-08
25,2,oracle_tail,300,4.1252443563745995e-12,8.002583126535493e-09
25,2,tis,300,2.6798571561052676e-11,2.3030688319325422e-07
25,2,tis_anchored,300,1.3605932048050789e-11,-1.403266293934872e-07
25,2,uniform,300,2.8603916312442133e-11,-5.018115126098621e-08
25,3,complete_rollout,300,1.0192103199997856e-06,6.192162333477154e-05
25,3,learned_occupancy,300,2.5292052910168607e-06,-3.5570364958721345e-05
25,3,oracle_tail,300,3.9786411165701437e-07,1.979436527169328e-06
25,3,tis,300,1.5808873213878234e-06,0.00011476307213036459
25,3,tis_anchored,300,3.3216376237822043e-06,-2.0261413493754727e-05
25,3,uniform,300,5.081037645116839e-06,-2.083076209067262e-05
25,4,complete_rollout,300,0.0004529030973944517,0.0002483518164438769
25,4,learned_occupancy,300,0.0012455845918618671,-0.004840849341230837
25,4,oracle_tail,300,0.00027212820259553004,-0.0011280252140562586
25,4,tis,300,0.004229290754269109,-0.0008709442550881737
25,4,tis_anchored,300,0.001289590106520764,-0.003557968933965969
25,4,uniform,300,0.0029610429405992305,-0.002622240682203833
25,5,complete_rollout,300,0.00018068725819921013,-0.001352380037933069
25,5,learned_occupancy,300,0.00035277627274288856,-2.274863270268046e-05
25,5,oracle_tail,300,6.750435495957077e-05,9.242915312025257e-05
25,5,tis,300,0.0018242628765231406,0.000632000892648316
25,5,tis_anchored,300,0.00041644943873063103,-0.00012212844549105577
25,5,uniform,300,0.0008472237736859014,-0.0016629110225019146
25,6,complete_rollout,300,0.001117055999724714,0.0006929448564534376
25,6,learned_occupancy,300,0.001850806233618277,-0.0011964468139146393
