budget_per_group,replication,method,panel_mse
25,0,complete_rollout,5.357111848170977e-06
25,0,learned_occupancy,6.188478917537867e-06
25,0,oracle_tail,1.3697728943931261e-06
25,0,tis,5.2861871792189255e-06
25,0,tis_anchored,4.951565741200813e-06
25,0,uniform,5.2861871792189255e-06
25,1,complete_rollout,1.3135758404605289e-06
25,1,learned_occupancy,6.188746680123333e-06
25,1,oracle_tail,6.508583182136027e-07
25,1,tis,0.0013118667753172426
25,1,tis_anchored,4.554939602595762e-05
25,1,uniform,0.0004597278194911977
25,2,complete_rollout,1.3490381749366252e-06
25,2,learned_occupancy,6.188746680123333e-06
25,2,oracle_tail,1.348894422983323e-06
25,2,tis,5.2861871792189255e-06
25,2,tis_anchored,4.554939602595762e-05
25,2,uniform,5.2861871792189255e-06
25,3,complete_rollout,1.3490381749366252e-06
25,3,learned_occupancy,5.3420051596036e-06
25,3,oracle_tail,2.988911216085496e-06
25,3,tis,5.2861871792189255e-06
25,3,tis_anchored,5.290851606289283e-06
25,3,uniform,5.2861871792189255e-06
25,4,complete_rollout,1.1928390332150374e-09
25,4,learned_occupancy,5.2861871792189255e-06
25,4,oracle_tail,2.9672798740111173e-06
25,4,tis,5.2861871792189255e-06
25,4,tis_anchored,5.2861871792189255e-06
25,4,uniform,5.2861871792189255e-06
25,5,complete_rollout,1.3490381749366252e-06
25,5,learned_occupancy,5.2861871792189255e-06
25,5,oracle_tail,3.4149023465983535e-07
25,5,tis,5.2861871792189255e-06
25,5,tis_anchored,5.2861871792189255e-06
25,5,uniform,5.2861871792189255e-06
25,6,complete_rollout,5.357111848170977e-06
25,6,learned_occupancy,1.0023115002065803e-08
25,6,oracle_tail,5.57814281583034e-07
25,6,tis,5.2861871792189255e-06
25,6,tis_anchored,4.9518051698919615e-06
25,6,uniform,5.2861871792189255e-06
25,7,complete_rollout,1.3490381749366252e-06
25,7,learned_occupancy,5.2861871792189255e-06
25,7,oracle_tail,2.9662204088130614e-06
25,7,tis,5.2861871792189255e-06
25,7,tis_anchored,5.2861871792189255e-06
25,7,uniform,5.2861871792189255e-06
25,8,complete_rollout,1.3490381749366252e-06
25,8,learned_occupancy,5.2861871792189255e-06
25,8,oracle_tail,3.5967650961476496e-07
25,8,tis,5.430897644355555e-06
25,8,tis_anchored,5.37253889443328e-06
25,8,uniform,5.290718584784014e-06
25,9,complete_rollout,1.3135758404605289e-06
25,9,learned_occupancy,1.0023115002065803e-08
25,9,oracle_tail,1.347905091469353e-06
25,9,tis,5.2861871792189255e-06
25,9,tis_anchored,5.2861871792189255e-06
25,9,uniform,5.2861871792189255e-06
25,10,complete_rollout,1.3135758404605289e-06
25,10,learned_occupancy,5.3069199666145645e-06
25,10,oracle_tail,3.3469073492506316e-07
25,10,tis,5.2861871792189255e-06
25,10,tis_anchored,5.285092084923912e-06
25,10,uniform,5.2861871792189255e-06
25,11,complete_rollout,1.3490381749366252e-06
25,11,learned_occupancy,5.2861871792189255e-06
25,11,oracle_tail,1.597815954688956e-06
25,11,tis,5.2861871792189255e-06
25,11,tis_anchored,5.2861871792189255e-06
25,11,uniform,5.2861871792189255e-06
25,12,complete_rollout,5.728916694461299e-06
25,12,learned_occupancy,1.7619871091934582e-05
25,12,oracle_tail,3.0199251244742785e-06
25,12,tis,0.0017244674774499573
25,12,tis_anchored,0.0001028808244807781
25,12,uniform,0.0005546261172048183
25,13,complete_rollout,5.799841363413493e-06
25,13,learned_occupancy,1.0023115002065803e-08
25,13,oracle_tail,2.2285932124109993e-07
25,13,tis,5.2861871792189255e-06
25,13,tis_anchored,5.2861871792189255e-06
25,13,uniform,5.2861871792189255e-06
25,14,complete_rollout,1.7563053557030455e-06
25,14,learned_occupancy,6.188746680123333e-06
25,14,oracle_tail,3.0204823792484613e-06
25,14,tis,5.2861871792189255e-06
25,14,tis_anchored,5.2861871792189255e-06
25,14,uniform,5.2861871792189255e-06
25,15,complete_rollout,1.3135758404605289e-06
25,15,learned_occupancy,9.345424315151623e-05
25,15,oracle_tail,5.356933680336228e-06
25,15,tis,5.2861871792189255e-06
25,15,tis_anchored,4.554939602595762e-05
25,15,uniform,5.2861871792189255e-06
25,16,complete_rollout,1.1928390332150374e-09
25,16,learned_occupancy,5.2861871792189255e-06
25,16,oracle_tail,2.9670432247423475e-06
25,16,tis,5.2861871792189255e-06
25,16,tis_anchored,5.2861871792189255e-06
25,16,uniform,5.2861871792189255e-06
25,17,complete_rollout,1.7563053557030455e-06
25,17,learned_occupancy,1.0023115002065803e-08
25,17,oracle_tail,3.2372899930605865e-07
25,17,tis,5.2861871792189255e-06
25,17,tis_anchored,5.285504458003968e-06
25,17,uniform,5.2861871792189255e-06
25,18,complete_rollout,1.2025413858735835e-05
25,18,learned_occupancy,1.0023115002065803e-08
25,18,oracle_tail,5.576875772290983e-07
25,18,tis,5.2861871792189255e-06
25,18,tis_anchored,4.9518051698919615e-06
25,18,uniform,5.2861871792189255e-06
25,19,complete_rollout,1.3490381749366252e-06
25,19,learned_occupancy,5.2861871792189255e-06
25,19,oracle_tail,3.238905524228205e-07
25,19,tis,5.2861871792189255e-06
25,19,tis_anchored,5.2861871792189255e-06
25,19,uniform,5.2861871792189255e-06
25,20,complete_rollout,1.3135758404605289e-06
25,20,learned_occupancy,6.188746680123333e-06
25,20,oracle_tail,1.635690531744884e-05
25,20,tis,5.2861871792189255e-06
25,20,tis_anchored,4.554939602595762e-05
25,20,uniform,0.0006630353289963465
25,21,complete_rollout,1.3490381749366252e-06
25,21,learned_occupancy,1.0023115002065803e-08
25,21,oracle_tail,3.418538390313682e-07
25,21,tis,5.2861871792189255e-06
25,21,tis_anchored,5.2861871792189255e-06
25,21,uniform,5.2861871792189255e-06
25,22,complete_rollout,1.1928390332150374e-09
25,22,learned_occupancy,6.209479467518972e-06
25,22,oracle_tail,3.911465521190634e-10
25,22,tis,5.2861871792189255e-06
25,22,tis_anchored,5.330600156066276e-06
25,22,uniform,5.2861871792189255e-06
25,23,complete_rollout,1.1928390332150374e-09
25,23,learned_occupancy,1.0023115002065803e-08
25,23,oracle_tail,3.020334494514471e-06
25,23,tis,5.2861871792189255e-06
25,23,tis_anchored,5.2861871792189255e-06
25,23,uniform,5.2861871792189255e-06
25,24,complete_rollout,1.1928390332150374e-09
25,24,learned_occupancy,5.2861871792189255e-06
25,24,oracle_tail,3.424782375893823e-07
25,24,tis,5.2861871792189255e-06
25,24,tis_anchored,5.2861871792189255e-06
25,24,uniform,5.2861871792189255e-06
25,25,complete_rollout,1.1928390332150374e-09
25,25,learned_occupancy,1.0023115002065803e-08
25,25,oracle_tail,7.908076294574166e-10
25,25,tis,5.2861871792189255e-06
25,25,tis_anchored,5.285092084923912e-06
25,25,uniform,5.2861871792189255e-06
25,26,complete_rollout,1.3135758404605289e-06
25,26,learned_occupancy,2.20649039038194e-08
25,26,oracle_tail,3.4214084402299754e-07
25,26,tis,5.2861871792189255e-06
25,26,tis_anchored,5.2861871792189255e-06
25,26,uniform,5.2861871792189255e-06
25,27,complete_rollout,1.1928390332150374e-09
25,27,learned_occupancy,5.2861871792189255e-06
25,27,oracle_tail,3.2454605464952764e-07
25,27,tis,5.2861871792189255e-06
25,27,tis_anchored,5.2861871792189255e-06
25,27,uniform,5.2861871792189255e-06
25,28,complete_rollout,1.1928390332150374e-09
25,28,learned_occupancy,5.291085669838027e-05
25,28,oracle_tail,1.1018524821351428e-09
25,28,tis,5.2861871792189255e-06
25,28,tis_anchored,4.554939602595762e-05
25,28,uniform,5.2861871792189255e-06
25,29,complete_rollout,5.799841363413493e-06
25,29,learned_occupancy,1.0023115002065803e-08
25,29,oracle_tail,8.133660364947021e-10
25,29,tis,5.2861871792189255e-06
25,29,tis_anchored,4.9518051698919615e-06
25,29,uniform,5.2861871792189255e-06
25,30,complete_rollout,1.1928390332150374e-09
25,30,learned_occupancy,5.2861871792189255e-06
25,30,oracle_tail,2.966836408772339e-06
25,30,tis,5.2861871792189255e-06
25,30,tis_anchored,5.2861871792189255e-06
25,30,uniform,5.2861871792189255e-06
25,31,complete_rollout,1.7917676901791418e-06
25,31,learned_occupancy,5.2861871792189255e-06
25,31,oracle_tail,2.966950936269639e-06
25,31,tis,5.2861871792189255e-06
25,31,tis_anchored,5.2861871792189255e-06
25,31,uniform,5.285094864047729e-06
25,32,complete_rollout,1.3135758404605289e-06
25,32,learned_occupancy,5.2912983492314346e-05
25,32,oracle_tail,3.0200367830597713e-06
25,32,tis,5.2861871792189255e-06
25,32,tis_anchored,0.0002495451607613366
25,32,uniform,5.2861871792189255e-06
25,33,complete_rollout,1.1928390332150374e-09
25,33,learned_occupancy,1.2149908936141447e-08
25,33,oracle_tail,3.911465521190634e-10
25,33,tis,5.2861871792189255e-06
25,33,tis_anchored,4.9518051698919615e-06
25,33,uniform,5.2861871792189255e-06
25,34,complete_rollout,1.2025413858735835e-05
25,34,learned_occupancy,1.0023115002065803e-08
25,34,oracle_tail,1.1197453709356383e-09
25,34,tis,5.2861871792189255e-06
25,34,tis_anchored,5.2861871792189255e-06
