budget_per_group,method,replications,panel_mse,mcse,normalized_to_uniform
25,complete_rollout,300,2.9068373197360947e-06,3.0223459381408814e-07,0.043083749826035286
25,learned_occupancy,300,5.565790581525087e-06,5.53278780408308e-07,0.08249348092871629
25,oracle_tail,300,1.2484638975583605e-06,1.0539588779469689e-07,0.018504133638316125
25,tis,300,0.00010567671416590393,2.305540560263956e-05,1.5662896181526238
25,tis_anchored,300,1.0237790535165636e-05,1.153633496000762e-06,0.15173962546637218
25,uniform,300,6.746945963323527e-05,1.1022709339944962e-05,1.0
50,complete_rollout,300,1.405931516930925e-06,1.1106760526024422e-07,0.04531941718992478
50,learned_occupancy,300,1.879460005095481e-06,1.6737858518499455e-07,0.06058334352489308
50,oracle_tail,300,5.908942689836807e-07,5.108869662806263e-08,0.01904714672707827
50,tis,300,4.133644760787252e-05,7.2381124838506225e-06,1.3324573008933283
50,tis_anchored,300,3.955341281862069e-06,3.991227114510492e-07,0.12749821703445452
50,uniform,300,3.102271838666729e-05,4.265799339593857e-06,1.0
100,complete_rollout,300,7.461272842770927e-07,5.765113182770371e-08,0.04277211887525594
100,learned_occupancy,300,1.0505793017409683e-06,7.697048880226811e-08,0.060224982692443904
100,oracle_tail,300,3.873073732440925e-07,3.15087322792419e-08,0.02220258843061859
100,tis,300,1.9071694730570182e-05,2.3179953546610118e-06,1.0932944168619845
100,tis_anchored,300,1.5478471830548104e-06,1.1924763272956507e-07,0.08873111211647322
100,uniform,300,1.7444244145424697e-05,1.9826815211505032e-06,1.0
200,complete_rollout,300,3.081949408455109e-07,2.5711161778939224e-08,0.04187188122934526
200,learned_occupancy,300,4.012960655280955e-07,3.3447209313015075e-08,0.05452075607567753
200,oracle_tail,300,1.608091401733565e-07,1.2626060069577119e-08,0.02184779931643058
200,tis,300,7.742063253743441e-06,8.547738913671292e-07,1.051849690139213
200,tis_anchored,300,7.102171090147393e-07,6.514531411235883e-08,0.09649128682686901
200,uniform,300,7.3604273750546766e-06,6.701942372401505e-07,1.0
