budget_per_group,method,replications,panel_mse,mcse,normalized_to_uniform
25,complete_rollout,300,0.00011600605556580592,3.0446586564074163e-06,0.18046701591026515
25,learned_occupancy,300,0.00017911896648503702,5.35249442871977e-06,0.27864981027778
25,oracle_tail,300,0.0001299794857130491,7.4725128084610315e-06,0.20220504698462596
25,tis,300,0.0009181412296411346,3.344500455151552e-05,1.4283237809385294
25,tis_anchored,300,0.0002056748188942668,5.767140585552609e-06,0.3199619246831228
25,uniform,300,0.0006428102940622036,2.3330569255602466e-05,1.0
50,complete_rollout,300,5.823954699995346e-05,1.357346767660111e-06,0.17717487352430794
50,learned_occupancy,300,6.787008646694513e-05,1.840922883142191e-06,0.2064726565588578
50,oracle_tail,300,5.1390517711258264e-05,3.1067095227867855e-06,0.1563389302435365
50,tis,300,0.00041672537099164675,2.1119083060604204e-05,1.2677513597397028
50,tis_anchored,300,7.297699101406282e-05,2.042920364758662e-06,0.22200875211325852
50,uniform,300,0.0003287122256190754,1.2711525278092853e-05,1.0
100,complete_rollout,300,2.9018345947388936e-05,6.996291535968739e-07,0.1770624310035682
100,learned_occupancy,300,3.0112513252016248e-05,7.627534462807263e-07,0.18373875649893523
100,oracle_tail,300,1.9951529524980097e-05,1.3775035889546155e-06,0.12173906556690943
100,tis,300,0.00015160250741016692,1.0964166000247403e-05,0.9250392340400074
100,tis_anchored,300,2.871360960006876e-05,7.129267326374944e-07,0.17520300874120062
100,uniform,300,0.00016388765128162142,5.541318103538256e-06,1.0
200,complete_rollout,300,1.5153022284082852e-05,3.804712344070302e-07,0.18642994093013476
200,learned_occupancy,300,1.3612278865955972e-05,3.3869666464958793e-07,0.16747394000538104
200,oracle_tail,300,8.952545837680058e-06,4.864142917853032e-07,0.11014453489230355
200,tis,300,4.780042472806456e-05,3.898943352599929e-06,0.5880959053197748
200,tis_anchored,300,1.1805556916615364e-05,3.264002067681755e-07,0.14524556470321048
200,uniform,300,8.127998222003138e-05,2.6150919920596505e-06,1.0
