budget_per_group,method,replications,panel_mse,mcse,normalized_to_uniform
25,complete_rollout,300,4.851591907834698e-06,3.7535672034922963e-07,0.04587201127361166
25,learned_occupancy,300,8.833002021601766e-06,5.672008005593664e-07,0.08351641605725842
25,oracle_tail,300,2.055014936437978e-06,1.491720169427481e-07,0.01943025508379901
25,tis,300,0.00016148472194753917,2.3127198892227446e-05,1.526845028686603
25,tis_anchored,300,1.739869425677101e-05,1.2449906363193776e-06,0.16450540652520093
25,uniform,300,0.00010576366226666032,1.1631972734842639e-05,1.0
50,complete_rollout,300,2.158262204438788e-06,1.2969916903606442e-07,0.03771640109865231
50,learned_occupancy,300,3.5246332817703985e-06,2.1858141332344608e-07,0.06159422256828104
50,oracle_tail,300,9.738766086388966e-07,6.195495911137258e-08,0.01701884076757534
50,tis,300,7.151319391937777e-05,7.90556136596535e-06,1.2497185467834815
50,tis_anchored,300,6.680723637855301e-06,4.800732935243701e-07,0.11674802618346299
50,uniform,300,5.722343971243606e-05,5.050420967765119e-06,1.0
100,complete_rollout,300,1.1605548910531699e-06,6.410658047851818e-08,0.04129825356945872
100,learned_occupancy,300,1.6537571957082654e-06,9.432831149144166e-08,0.0588488183860904
100,oracle_tail,300,5.573515967472461e-07,3.407796277331506e-08,0.01983331227782137
100,tis,300,3.070101405863146e-05,2.65763647753069e-06,1.092493145483449
100,tis_anchored,300,2.6494302124100587e-06,1.4328119711004623e-07,0.0942797635598286
100,uniform,300,2.8101791014025698e-05,2.2198142935386172e-06,1.0
200,complete_rollout,300,5.430828177912114e-07,3.22141713679715e-08,0.044252992364533034
200,learned_occupancy,300,7.621669342393937e-07,4.310974746632193e-08,0.06210501679757112
200,oracle_tail,300,2.564861629444805e-07,1.50186688624301e-08,0.020899722544258606
200,tis,300,1.2481063630400692e-05,9.341990210867869e-07,1.0170169179421806
200,tis_anchored,300,1.2255336786724632e-06,7.545800682611791e-08,0.09986236122392057
200,uniform,300,1.227222813132226e-05,7.677206605909573e-07,1.0
