budget_per_group,panel_index,method,replications,mse,bias
25,0,complete_rollout,300,0.0,0.0
25,0,learned_occupancy,300,0.0,0.0
25,0,oracle_tail,300,0.0,0.0
25,0,tis,300,0.0,0.0
25,0,tis_anchored,300,0.0,0.0
25,0,uniform,300,0.0,0.0
25,1,complete_rollout,300,0.0,0.0
25,1,learned_occupancy,300,0.0,0.0
25,1,oracle_tail,300,0.0,0.0
25,1,tis,300,0.0,0.0
25,1,tis_anchored,300,0.0,0.0
25,1,uniform,300,0.0,0.0
25,2,complete_rollout,300,1.9899316594382073e-24,1.410649375088724e-12
25,2,learned_occupancy,300,1.9905581629083725e-24,1.410871419693649e-12
25,2,oracle_tail,300,1.9905581629083725e-24,1.410871419693649e-12
25,2,tis,300,1.9905581629083725e-24,1.410871419693649e-12
25,2,tis_anchored,300,1.9905581629083725e-24,1.410871419693649e-12
25,2,uniform,300,1.9905581629083725e-24,1.410871419693649e-12
25,3,complete_rollout,300,0.00010665130651740624,-0.0004249493614933593
25,3,learned_occupancy,300,0.00018543539494131196,-0.00022328788119877337
25,3,oracle_tail,300,3.794168937430307e-05,3.0932836972747214e-05
25,3,tis,300,0.0031288698645484713,0.0025118711593554942
25,3,tis_anchored,300,0.00039656502528442547,-0.000798822154834243
25,3,uniform,300,0.002148221581440624,0.0008950731657497047
25,4,complete_rollout,300,4.930380657631324e-32,-2.220446049250313e-16
25,4,learned_occupancy,300,0.0,0.0
25,4,oracle_tail,300,0.0,0.0
25,4,tis,300,0.0,0.0
25,4,tis_anchored,300,0.0,0.0
25,4,uniform,300,0.0,0.0
25,5,complete_rollout,300,1.9721522630525295e-31,-4.440892098500626e-16
25,5,learned_occupancy,300,0.0,0.0
25,5,oracle_tail,300,0.0,0.0
25,5,tis,300,0.0,0.0
25,5,tis_anchored,300,0.0,0.0
25,5,uniform,300,0.0,0.0
25,6,complete_rollout,300,0.0,0.0
25,6,learned_occupancy,300,0.0,0.0
25,6,oracle_tail,300,0.0,0.0
25,6,tis,300,0.0,0.0
25,6,tis_anchored,300,0.0,0.0
25,6,uniform,300,0.0,0.0
25,7,complete_rollout,300,4.930380657631324e-32,-2.220446049250313e-16
25,7,learned_occupancy,300,0.0,0.0
25,7,oracle_tail,300,0.0,0.0
25,7,tis,300,0.0,0.0
25,7,tis_anchored,300,0.0,0.0
25,7,uniform,300,0.0,0.0
25,8,complete_rollout,300,4.930380657631324e-32,-2.220446049250313e-16
25,8,learned_occupancy,300,0.0,0.0
25,8,oracle_tail,300,0.0,0.0
25,8,tis,300,0.0,0.0
25,8,tis_anchored,300,0.0,0.0
25,8,uniform,300,0.0,0.0
25,9,complete_rollout,300,2.00457527861755e-17,4.477248349843421e-09
25,9,learned_occupancy,300,2.0045750797878123e-17,4.477248127798816e-09
25,9,oracle_tail,300,2.0045750797878123e-17,4.477248127798816e-09
25,9,tis,300,2.0045750797878123e-17,4.477248127798816e-09
25,9,tis_anchored,300,2.0045750797878123e-17,4.477248127798816e-09
25,9,uniform,300,2.0045750797878123e-17,4.477248127798816e-09
25,10,complete_rollout,300,1.133948656492355e-15,3.367415413180197e-08
25,10,learned_occupancy,300,1.1339486415380262e-15,3.3674153909757365e-08
25,10,oracle_tail,300,1.1339486415380262e-15,3.3674153909757365e-08
25,10,tis,300,1.1339486415380262e-15,3.3674153909757365e-08
25,10,tis_anchored,300,1.1339486415380262e-15,3.3674153909757365e-08
25,10,uniform,300,1.1339486415380262e-15,3.3674153909757365e-08
25,11,complete_rollout,300,4.437342591868191e-31,6.661338147750939e-16
25,11,learned_occupancy,300,1.9721522630525295e-31,4.440892098500626e-16
25,11,oracle_tail,300,1.9721522630525295e-31,4.440892098500626e-16
25,11,tis,300,1.9721522630525295e-31,4.440892098500626e-16
25,11,tis_anchored,300,1.9721522630525295e-31,4.440892098500626e-16
25,11,uniform,300,1.9721522630525295e-31,4.440892098500626e-16
25,12,complete_rollout,300,0.0,0.0
25,12,learned_occupancy,300,0.0,0.0
25,12,oracle_tail,300,0.0,0.0
25,12,tis,300,0.0,0.0
25,12,tis_anchored,300,0.0,0.0
25,12,uniform,300,0.0,0.0
25,13,complete_rollout,300,0.0,0.0
25,13,learned_occupancy,300,0.0,0.0
25,13,oracle_tail,300,0.0,0.0
25,13,tis,300,0.0,0.0
25,13,tis_anchored,300,0.0,0.0
25,13,uniform,300,0.0,0.0
25,14,complete_rollout,300,0.0,0.0
25,14,learned_occupancy,300,0.0,0.0
25,14,oracle_tail,300,0.0,0.0
25,14,tis,300,0.0,0.0
25,14,tis_anchored,300,0.0,0.0
25,14,uniform,300,0.0,0.0
25,15,complete_rollout,300,1.9721522630525295e-31,4.440892098500626e-16
25,15,learned_occupancy,300,0.0,0.0
25,15,oracle_tail,300,0.0,0.0
25,15,tis,300,0.0,0.0
25,15,tis_anchored,300,0.0,0.0
25,15,uniform,300,0.0,0.0
25,16,complete_rollout,300,4.1711693069628307e-22,2.0423440716399455e-11
25,16,learned_occupancy,300,4.1713507055279863e-22,2.0423884805609305e-11
25,16,oracle_tail,300,4.1713507055279863e-22,2.0423884805609305e-11
25,16,tis,300,4.1713507055279863e-22,2.0423884805609305e-11
25,16,tis_anchored,300,4.1713507055279863e-22,2.0423884805609305e-11
25,16,uniform,300,4.1713507055279863e-22,2.0423884805609305e-11
25,17,complete_rollout,300,0.0,0.0
25,17,learned_occupancy,300,0.0,0.0
25,17,oracle_tail,300,0.0,0.0
25,17,tis,300,0.0,0.0
25,17,tis_anchored,300,0.0,0.0
25,17,uniform,300,0.0,0.0
25,18,complete_rollout,300,0.0,0.0
25,18,learned_occupancy,300,0.0,0.0
25,18,oracle_tail,300,0.0,0.0
25,18,tis,300,0.0,0.0
25,18,tis_anchored,300,0.0,0.0
25,18,uniform,300,0.0,0.0
25,19,complete_rollout,300,0.0,0.0
25,19,learned_occupancy,300,0.0,0.0
25,19,oracle_tail,300,0.0,0.0
25,19,tis,300,0.0,0.0
25,19,tis_anchored,300,0.0,0.0
25,19,uniform,300,0.0,0.0
25,20,complete_rollout,300,1.9721522630525295e-31,4.440892098500626e-16
25,20,learned_occupancy,300,0.0,0.0
