budget_per_group,method,replication,panel_mean_estimate
400,complete_rollout,0,1.8725841118677742
400,complete_rollout,1,1.8725823952305425
400,complete_rollout,2,1.8727210438938158
400,complete_rollout,3,1.872747606839876
400,complete_rollout,4,1.8726141080882983
400,complete_rollout,5,1.872746690422147
400,complete_rollout,6,1.8726425038698162
400,complete_rollout,7,1.8725565163057596
400,complete_rollout,8,1.8726283059790572
400,complete_rollout,9,1.8726531522878853
400,complete_rollout,10,1.8725362520855757
400,complete_rollout,11,1.872552166613567
400,complete_rollout,12,1.8726468535620089
400,complete_rollout,13,1.8726575019800782
400,complete_rollout,14,1.8727007796736321
400,complete_rollout,15,1.8726415874520874
400,complete_rollout,16,1.8726442205070484
400,complete_rollout,17,1.8726513194524275
400,complete_rollout,18,1.87265921861731
400,complete_rollout,19,1.8726263569453736
400,complete_rollout,20,1.872503622810091
400,complete_rollout,21,1.8725858285050063
400,complete_rollout,22,1.8725265200852355
400,complete_rollout,23,1.8724859916448682
400,complete_rollout,24,1.872719327256584
400,complete_rollout,25,1.8726689506176504
400,complete_rollout,26,1.8726273895613283
400,complete_rollout,27,1.8726114750333378
400,complete_rollout,28,1.8726433040893193
400,complete_rollout,29,1.8725822790323168
400,complete_rollout,30,1.8727608883129059
400,complete_rollout,31,1.872588461559967
400,complete_rollout,32,1.8725124383927025
400,complete_rollout,33,1.8726265893418252
400,complete_rollout,34,1.872552166613567
400,complete_rollout,35,1.8725416343937231
400,complete_rollout,36,1.8726806316516744
400,complete_rollout,37,1.872718410838855
400,complete_rollout,38,1.872618457780491
400,complete_rollout,39,1.8726406710343584
400,complete_rollout,40,1.8726646009254577
400,complete_rollout,41,1.8726530360896596
400,complete_rollout,42,1.8724258830055942
400,complete_rollout,43,1.87251782070085
400,complete_rollout,44,1.8726547527268915
400,complete_rollout,45,1.8724674440619165
400,complete_rollout,46,1.8726460533425058
400,complete_rollout,47,1.8726803992552228
400,complete_rollout,48,1.8727803523135866
400,complete_rollout,49,1.872729975674653
400,complete_rollout,50,1.8727131447289336
400,complete_rollout,51,1.8726617354740451
400,complete_rollout,52,1.8726654011449608
400,complete_rollout,53,1.8726494866169698
400,complete_rollout,54,1.8728095483146077
400,complete_rollout,55,1.872463778391001
400,complete_rollout,56,1.8725558322844822
400,complete_rollout,57,1.8725893779776959
400,complete_rollout,58,1.8727043291463221
400,complete_rollout,59,1.872618573978717
400,complete_rollout,60,1.8726380379793974
400,complete_rollout,61,1.8726017430329973
400,complete_rollout,62,1.8726947133442073
400,complete_rollout,63,1.872718527037081
400,complete_rollout,64,1.8727545895870295
