budget_per_group,replication,method,panel_mse
400,0,complete_rollout,6.802139125488113e-08
400,0,learned_occupancy,1.069218412426318e-06
400,0,oracle_tail,2.0110273878262332e-07
400,0,tis,3.147805240452664e-06
400,0,tis_anchored,6.562497920242528e-07
400,0,uniform,3.0402011372355238e-06
400,1,complete_rollout,2.5937539055488296e-07
400,1,learned_occupancy,3.5134864819252704e-07
400,1,oracle_tail,1.746761113167452e-07
400,1,tis,8.443738626819935e-06
400,1,tis_anchored,1.4441703025783424e-06
400,1,uniform,9.570890045961134e-06
400,2,complete_rollout,3.3826414954883386e-07
400,2,learned_occupancy,8.933829460884011e-07
400,2,oracle_tail,2.831207037464962e-08
400,2,tis,5.04685108017599e-06
400,2,tis_anchored,2.0694982238192205e-08
400,2,uniform,5.104756912383185e-06
400,3,complete_rollout,3.810847934056327e-07
400,3,learned_occupancy,1.3474828373794588e-07
400,3,oracle_tail,3.9643851239992085e-08
400,3,tis,7.078341879802005e-07
400,3,tis_anchored,2.719430242400881e-07
400,3,uniform,1.3141759170176334e-06
400,4,complete_rollout,3.6258048996275495e-08
400,4,learned_occupancy,4.7655792756018765e-07
400,4,oracle_tail,2.565514966667734e-07
400,4,tis,3.1941365135663934e-06
400,4,tis_anchored,1.3436490499253762e-06
400,4,uniform,3.0944653344565296e-06
400,5,complete_rollout,4.3876279781146495e-07
400,5,learned_occupancy,8.134197476981905e-07
400,5,oracle_tail,2.2685267569024496e-07
400,5,tis,1.0930040973171847e-05
400,5,tis_anchored,2.3652728946872217e-06
400,5,uniform,9.570890051712882e-06
400,6,complete_rollout,2.1387097652054544e-07
400,6,learned_occupancy,1.953468294570671e-07
400,6,oracle_tail,6.376071491158983e-08
400,6,tis,6.969588674701737e-07
400,6,tis_anchored,6.904311303239225e-07
400,6,uniform,4.0641373588043637e-07
400,7,complete_rollout,1.0485038562066182e-06
400,7,learned_occupancy,1.1360827598183681e-07
400,7,oracle_tail,8.250167326398572e-08
400,7,tis,2.8596167051871397e-06
400,7,tis_anchored,5.3486625046850065e-08
400,7,uniform,3.6509141347606833e-06
400,8,complete_rollout,1.8716129739200232e-08
400,8,learned_occupancy,1.3842842488448562e-07
400,8,oracle_tail,5.925208238014526e-08
400,8,tis,8.357727188095997e-06
400,8,tis_anchored,1.6224940231011945e-07
400,8,uniform,8.664684823831922e-06
400,9,complete_rollout,4.998193643192261e-07
400,9,learned_occupancy,1.0100371440767004e-06
400,9,oracle_tail,1.6264082900962875e-07
400,9,tis,1.1256929133078744e-07
400,9,tis_anchored,2.417556169779553e-07
400,9,uniform,9.570890051712882e-06
400,10,complete_rollout,5.237171158004707e-07
400,10,learned_occupancy,4.86573361665728e-08
400,10,oracle_tail,3.075613436375415e-07
400,10,tis,7.8091322940747e-06
400,10,tis_anchored,4.32872604579414e-07
400,10,uniform,8.361981528628028e-06
400,11,complete_rollout,4.394716986072367e-07
400,11,learned_occupancy,1.8631242963547146e-07
400,11,oracle_tail,1.7749437248822215e-07
400,11,tis,6.42933515144672e-06
400,11,tis_anchored,5.923498130911482e-08
400,11,uniform,6.816143297587736e-06
400,12,complete_rollout,1.3823167030838391e-08
400,12,learned_occupancy,2.7269284544208533e-07
400,12,oracle_tail,6.498570548800718e-08
400,12,tis,8.443738632578905e-06
400,12,tis_anchored,9.041164506799369e-07
400,12,uniform,8.664684810452142e-06
400,13,complete_rollout,1.0584769696559709e-07
