budget_per_group,method,replications,panel_mse,mcse,normalized_to_uniform
400,complete_rollout,300,2.9077781987507497e-07,1.6432696061743125e-08,0.042102965612316044
400,learned_occupancy,300,3.3754700796338684e-07,1.9362933189226725e-08,0.048874876615170794
400,oracle_tail,300,1.3018198719987693e-07,7.488495055157247e-09,0.018849607348917375
400,tis,300,5.8621982369735334e-06,4.146927909011361e-07,0.8488127838977347
400,tis_anchored,300,5.059643635238142e-07,3.562725576713848e-08,0.0732607466678601
400,uniform,300,6.906350078817632e-06,4.0955234521296017e-07,1.0
800,complete_rollout,300,1.402788706004778e-07,8.695342992306422e-09,0.03858235006115289
800,learned_occupancy,300,1.6945615329905595e-07,9.921490253201252e-09,0.04660728018848404
800,oracle_tail,300,5.999467678815586e-08,3.3126844219663014e-09,0.01650095707028361
800,tis,300,2.580940484925875e-06,1.907928267430208e-07,0.7098627815447541
800,tis_anchored,300,2.6502570675905447e-07,1.750828314625697e-08,0.07289276388961366
800,uniform,300,3.6358301238295816e-06,2.1740396504979202e-07,1.0
