budget_per_group,replication,method,panel_mse
100,0,complete_rollout,6.868434926374173e-07
100,0,learned_mean,6.323135345440766e-06
100,0,learned_occupancy,1.9364229131450046e-06
100,0,occ_plus_mean,1.272634182798399e-07
100,0,occ_plus_uniform,9.528048949394276e-06
100,0,oracle_tail,1.0126632763355168e-06
100,0,tis,0.0002227815857821567
100,0,tis_anchored,9.528048949394276e-06
100,0,uniform,0.0001262914778879572
100,1,complete_rollout,2.274381790043726e-06
100,1,learned_mean,4.724593545642153e-05
100,1,learned_occupancy,3.224992670754322e-07
100,1,occ_plus_mean,3.407328582225097e-06
100,1,occ_plus_uniform,3.407328582225097e-06
100,1,oracle_tail,1.2285134483117125e-07
100,1,tis,4.724593545642153e-05
100,1,tis_anchored,3.407328582225097e-06
100,1,uniform,2.8206126406510805e-05
100,2,complete_rollout,2.445692490548372e-07
100,2,learned_mean,6.550231994626907e-06
100,2,learned_occupancy,2.2380106026012538e-06
100,2,occ_plus_mean,1.873553182500717e-06
100,2,occ_plus_uniform,1.6051009211333092e-06
100,2,oracle_tail,2.88148267436184e-07
100,2,tis,1.1260093490338544e-05
100,2,tis_anchored,1.6051009211333092e-06
100,2,uniform,6.889663476027246e-06
100,3,complete_rollout,1.2324563143937854e-07
100,3,learned_mean,0.00017184809407288758
100,3,learned_occupancy,1.1044670659404321e-06
100,3,occ_plus_mean,2.5826658657114526e-06
100,3,occ_plus_uniform,4.063381418449441e-06
100,3,oracle_tail,1.0719604071478e-06
100,3,tis,0.00017578688845253828
100,3,tis_anchored,4.063381418449441e-06
100,3,uniform,0.00010011071688358983
100,4,complete_rollout,3.544711756160417e-07
100,4,learned_mean,6.323135345440766e-06
100,4,learned_occupancy,4.298732752610368e-07
100,4,occ_plus_mean,9.128305460728382e-07
100,4,occ_plus_uniform,1.4277237832580487e-06
100,4,oracle_tail,2.88148267436184e-07
100,4,tis,1.1260093490338544e-05
100,4,tis_anchored,1.4277237832580487e-06
100,4,uniform,6.889663476027246e-06
100,5,complete_rollout,3.472592487863176e-06
100,5,learned_mean,6.717325372325512e-05
100,5,learned_occupancy,1.811398145090221e-06
100,5,occ_plus_mean,5.5608554935589755e-06
100,5,occ_plus_uniform,5.5608554935589755e-06
100,5,oracle_tail,7.125851037074874e-07
100,5,tis,6.717325372325512e-05
100,5,tis_anchored,5.5608554935589755e-06
100,5,uniform,3.662299335424215e-05
100,6,complete_rollout,6.571955650364046e-06
100,6,learned_mean,6.49530420235343e-06
100,6,learned_occupancy,2.1079005177284664e-06
100,6,occ_plus_mean,2.4798779851971326e-07
100,6,occ_plus_uniform,7.628810357049235e-07
100,6,oracle_tail,8.036775128512652e-07
100,6,tis,4.513994075347648e-05
100,6,tis_anchored,7.628810357049235e-07
100,6,uniform,2.1729701689254452e-05
100,7,complete_rollout,2.496552218428302e-07
100,7,learned_mean,8.65622669757196e-06
100,7,learned_occupancy,1.5472847003629114e-06
100,7,occ_plus_mean,4.263885110901619e-06
100,7,occ_plus_uniform,4.33754033910126e-06
100,7,oracle_tail,8.060161296735664e-07
100,7,tis,1.3366088193283597e-05
100,7,tis_anchored,4.33754033910126e-06
100,7,uniform,1.3366088193283597e-05
100,8,complete_rollout,5.410339775484015e-07
100,8,learned_mean,6.295671449304028e-06
100,8,learned_occupancy,2.0628738026183025e-06
100,8,occ_plus_mean,2.199838563642436e-06
100,8,occ_plus_uniform,2.6575757421058042e-06
100,8,oracle_tail,9.452494870734328e-07
100,8,tis,6.295671449304028e-06
100,8,tis_anchored,2.199838563642436e-06
100,8,uniform,6.889663476027246e-06
100,9,complete_rollout,9.977814958580648e-07
100,9,learned_mean,4.7122997886163155e-07
100,9,learned_occupancy,1.8785474850828084e-06
100,9,occ_plus_mean,7.612061590085071e-07
100,9,occ_plus_uniform,5.168577999709326e-07
100,9,oracle_tail,2.1522937009920335e-07
100,9,tis,4.7122997886163155e-07
100,9,tis_anchored,7.612061590085071e-07
100,9,uniform,1.3366088193283597e-05
100,10,complete_rollout,4.3418363466002606e-07
100,10,learned_mean,9.537149398179854e-06
100,10,learned_occupancy,2.656243267971313e-06
100,10,occ_plus_mean,2.639516938855534e-06
100,10,occ_plus_uniform,4.515399828146963e-06
100,10,oracle_tail,2.014771809260807e-06
100,10,tis,1.3366088193283597e-05
100,10,tis_anchored,4.515399828146963e-06
100,10,uniform,1.3366088193283597e-05
100,11,complete_rollout,1.2324563143937854e-07
100,11,learned_mean,8.65622669757196e-06
100,11,learned_occupancy,9.179596385912604e-07
100,11,occ_plus_mean,3.488776674642245e-07
100,11,occ_plus_uniform,9.74966319857866e-06
100,11,oracle_tail,3.465911817972278e-07
100,11,tis,1.3366088193283597e-05
100,11,tis_anchored,9.74966319857866e-06
100,11,uniform,1.3366088193283597e-05
100,12,complete_rollout,2.0099805883247094e-06
100,12,learned_mean,6.262928196127143e-06
100,12,learned_occupancy,9.179596385912604e-07
100,12,occ_plus_mean,2.154575911272859e-06
100,12,occ_plus_uniform,4.3203353059089684e-06
100,12,oracle_tail,3.6824598658755885e-08
100,12,tis,1.1260093490338544e-05
100,12,tis_anchored,4.3203353059089684e-06
100,12,uniform,6.889663476027246e-06
100,13,complete_rollout,9.977814958580648e-07
100,13,learned_mean,4.724593545642153e-05
100,13,learned_occupancy,2.181379999802513e-06
100,13,occ_plus_mean,8.915458884098649e-07
100,13,occ_plus_uniform,8.915458884098649e-07
100,13,oracle_tail,1.128660422471371e-06
100,13,tis,4.724593545642153e-05
100,13,tis_anchored,8.915458884098649e-07
100,13,uniform,2.8206126406510805e-05
100,14,complete_rollout,1.2781304342595478e-06
100,14,learned_mean,9.16745391126983e-06
100,14,learned_occupancy,1.9382864764610707e-06
100,14,occ_plus_mean,4.105008554349972e-06
100,14,occ_plus_uniform,4.208875486396318e-06
100,14,oracle_tail,1.7959481901821146e-06
100,14,tis,1.3366088193283597e-05
100,14,tis_anchored,4.208875486396318e-06
100,14,uniform,1.3366088193283597e-05
100,15,complete_rollout,6.266902811085089e-07
100,15,learned_mean,3.9152189846828905e-05
100,15,learned_occupancy,1.4069805862781596e-07
100,15,occ_plus_mean,6.608289517422816e-07
100,15,occ_plus_uniform,9.054365836516917e-07
100,15,oracle_tail,2.1286185796567127e-07
100,15,tis,3.9152189846828905e-05
100,15,tis_anchored,6.608289517422816e-07
100,15,uniform,2.8206126406510805e-05
100,16,complete_rollout,7.13410133348688e-07
100,16,learned_mean,4.513994075347648e-05
100,16,learned_occupancy,9.179596385912604e-07
100,16,occ_plus_mean,2.4478031577321084e-06
100,16,occ_plus_uniform,2.4478031577321084e-06
100,16,oracle_tail,3.128977444627264e-07
100,16,tis,4.513994075347648e-05
100,16,tis_anchored,2.4478031577321084e-06
100,16,uniform,5.1463031567469354e-05
100,17,complete_rollout,6.798824535636623e-07
100,17,learned_mean,1.3366088193283597e-05
100,17,learned_occupancy,5.806671199891707e-07
100,17,occ_plus_mean,2.190473452322228e-06
100,17,occ_plus_uniform,2.190473452322228e-06
100,17,oracle_tail,8.737915745239291e-07
100,17,tis,1.3366088193283597e-05
100,17,tis_anchored,2.190473452322228e-06
100,17,uniform,1.3366088193283597e-05
100,18,complete_rollout,1.729557525695552e-06
100,18,learned_mean,1.3366088193283597e-05
100,18,learned_occupancy,2.1427450718787395e-06
100,18,occ_plus_mean,3.6939095011689987e-06
100,18,occ_plus_uniform,3.6939095011689987e-06
100,18,oracle_tail,1.7661672808446524e-07
100,18,tis,1.3366088193283597e-05
100,18,tis_anchored,3.6939095011689987e-06
100,18,uniform,1.3366088193283597e-05
100,19,complete_rollout,1.2324563143937854e-07
100,19,learned_mean,1.3366088193283597e-05
100,19,learned_occupancy,1.5004179859751046e-07
100,19,occ_plus_mean,2.5845073143502334e-06
100,19,occ_plus_uniform,2.5845073143502334e-06
100,19,oracle_tail,2.7594689990812824e-06
100,19,tis,1.3366088193283597e-05
100,19,tis_anchored,2.5845073143502334e-06
100,19,uniform,1.3366088193283597e-05
100,20,complete_rollout,2.691063140093119e-07
100,20,learned_mean,8.401666152249081e-06
100,20,learned_occupancy,2.2473682418968514e-06
100,20,occ_plus_mean,4.421526256211902e-07
100,20,occ_plus_uniform,7.628810357049235e-07
100,20,oracle_tail,1.2817219617526632e-08
100,20,tis,1.3366088193283597e-05
100,20,tis_anchored,7.628810357049235e-07
100,20,uniform,6.889663476027246e-06
100,21,complete_rollout,2.381071803074265e-06
100,21,learned_mean,8.9431747924264e-06
100,21,learned_occupancy,1.9382864764610707e-06
100,21,occ_plus_mean,6.493675555045315e-06
100,21,occ_plus_uniform,6.300828299396454e-06
100,21,oracle_tail,4.589508394648324e-07
100,21,tis,1.3366088193283597e-05
100,21,tis_anchored,6.300828299396454e-06
100,21,uniform,1.3366088193283597e-05
100,22,complete_rollout,1.8597732295096065e-06
100,22,learned_mean,8.42913004838582e-06
100,22,learned_occupancy,5.833701083771502e-07
100,22,occ_plus_mean,2.0923107281009733e-06
100,22,occ_plus_uniform,2.5845073143502334e-06
100,22,oracle_tail,9.657319249999162e-08
100,22,tis,1.3366088193283597e-05
100,22,tis_anchored,2.5845073143502334e-06
100,22,uniform,1.3366088193283597e-05
100,23,complete_rollout,1.262972151121907e-07
100,23,learned_mean,6.054611036720772e-06
100,23,learned_occupancy,3.4118674524159398e-06
100,23,occ_plus_mean,1.3493657032329526e-06
100,23,occ_plus_uniform,5.302883899357144e-07
100,23,oracle_tail,2.7696130651679914e-07
100,23,tis,1.0597583032559875e-05
100,23,tis_anchored,5.302883899357144e-07
100,23,uniform,0.0001259589187001108
100,24,complete_rollout,5.984424095300592e-06
100,24,learned_mean,6.041803979339511e-06
100,24,learned_occupancy,7.279302513044125e-08
100,24,occ_plus_mean,1.961822338516455e-07
100,24,occ_plus_uniform,6.455754966403202e-07
100,24,oracle_tail,1.413479290832137e-07
100,24,tis,1.092419003560913e-05
100,24,tis_anchored,6.455754966403202e-07
100,24,uniform,3.567347116164212e-05
100,25,complete_rollout,6.266902811085089e-07
100,25,learned_mean,8.9431747924264e-06
100,25,learned_occupancy,2.1079005177284664e-06
100,25,occ_plus_mean,2.0790167206165286e-06
100,25,occ_plus_uniform,5.169106439353788e-07
100,25,oracle_tail,7.61339513505707e-07
100,25,tis,1.3366088193283597e-05
100,25,tis_anchored,5.169106439353788e-07
100,25,uniform,1.3366088193283597e-05
100,26,complete_rollout,7.13410133348688e-07
100,26,learned_mean,6.648461754157594e-06
100,26,learned_occupancy,3.7679678386521097e-06
100,26,occ_plus_mean,2.3006309698009133e-06
100,26,occ_plus_uniform,5.244247333052993e-06
100,26,oracle_tail,8.606705170805094e-07
100,26,tis,1.1260093490338544e-05
100,26,tis_anchored,5.244247333052993e-06
100,26,uniform,6.889663476027246e-06
100,27,complete_rollout,2.5657605457492976e-06
100,27,learned_mean,4.752279846394402e-06
100,27,learned_occupancy,5.806051518869147e-07
100,27,occ_plus_mean,6.176816044328623e-09
100,27,occ_plus_uniform,1.7337032562332878e-07
100,27,oracle_tail,3.731590917353516e-08
100,27,tis,4.752279846394402e-06
100,27,tis_anchored,6.176816044328623e-09
100,27,uniform,6.3874430823711455e-06
100,28,complete_rollout,1.262972151121907e-07
100,28,learned_mean,1.0420178221839737e-05
100,28,learned_occupancy,1.4662396356468053e-06
100,28,occ_plus_mean,5.234709246408895e-06
100,28,occ_plus_uniform,5.882438294783168e-06
100,28,oracle_tail,2.662077436822155e-06
100,28,tis,1.3366088193283597e-05
100,28,tis_anchored,5.882438294783168e-06
100,28,uniform,1.3366088193283597e-05
100,29,complete_rollout,2.0099805883247094e-06
100,29,learned_mean,8.685264921852944e-07
100,29,learned_occupancy,1.268406087737885e-06
100,29,occ_plus_mean,6.940930032853512e-07
100,29,occ_plus_uniform,2.7131721670551745e-06
100,29,oracle_tail,1.0717083689725708e-06
100,29,tis,3.908889546777016e-05
100,29,tis_anchored,7.67748231484992e-07
100,29,uniform,2.1729701689254452e-05
100,30,complete_rollout,1.4880508735658193e-06
100,30,learned_mean,3.732132224738139e-07
100,30,learned_occupancy,2.112880244693689e-06
100,30,occ_plus_mean,1.241901415948403e-07
100,30,occ_plus_uniform,6.319440781306096e-06
100,30,oracle_tail,1.2578642942029368e-07
100,30,tis,0.00021690560275657174
100,30,tis_anchored,5.5308003768280985e-06
100,30,uniform,0.0003270514167893909
100,31,complete_rollout,1.1990491164097155e-06
100,31,learned_mean,8.601298905298483e-06
100,31,learned_occupancy,2.9107285010594743e-06
100,31,occ_plus_mean,1.62057103890691e-06
100,31,occ_plus_uniform,5.933446223191278e-06
100,31,oracle_tail,7.002778272963003e-07
100,31,tis,1.3366088193283597e-05
100,31,tis_anchored,5.933446223191278e-06
100,31,uniform,1.3366088193283597e-05
100,32,complete_rollout,1.689796459155544e-07
100,32,learned_mean,1.0511068210683863e-06
100,32,learned_occupancy,1.020604018885995e-07
100,32,occ_plus_mean,1.0472025685767688e-06
100,32,occ_plus_uniform,8.492377471295988e-07
100,32,oracle_tail,1.995074828475386e-06
100,32,tis,3.9952765744211725e-05
100,32,tis_anchored,1.596610775357095e-06
100,32,uniform,2.8206126406510805e-05
100,33,complete_rollout,8.179423687203254e-07
100,33,learned_mean,8.839660772787618e-06
100,33,learned_occupancy,9.066335180315116e-07
100,33,occ_plus_mean,8.721453462929901e-07
100,33,occ_plus_uniform,2.669417406916493e-06
100,33,oracle_tail,1.2578642942029368e-07
100,33,tis,1.3366088193283597e-05
100,33,tis_anchored,2.669417406916493e-06
100,33,uniform,1.3366088193283597e-05
100,34,complete_rollout,1.1990491164097155e-06
100,34,learned_mean,4.724593545642153e-05
100,34,learned_occupancy,1.3712729544336803e-06
100,34,occ_plus_mean,8.239831317719252e-07
100,34,occ_plus_uniform,8.239831317719252e-07
100,34,oracle_tail,2.0916612914721168e-07
100,34,tis,4.724593545642153e-05
100,34,tis_anchored,8.239831317719252e-07
100,34,uniform,2.8206126406510805e-05
100,35,complete_rollout,3.2884559487961646e-06
100,35,learned_mean,6.323135345440766e-06
100,35,learned_occupancy,3.1576540689811743e-06
100,35,occ_plus_mean,3.9166528310815394e-06
100,35,occ_plus_uniform,6.237192570533809e-06
100,35,oracle_tail,9.007706695963247e-08
100,35,tis,1.1260093490338544e-05
100,35,tis_anchored,6.237192570533809e-06
100,35,uniform,2.1729701689254452e-05
100,36,complete_rollout,4.05008756729662e-06
100,36,learned_mean,8.261982383057652e-07
100,36,learned_occupancy,3.379850857824318e-06
100,36,occ_plus_mean,3.097452378605682e-07
100,36,occ_plus_uniform,4.229673479764358e-06
100,36,oracle_tail,4.435862330843653e-07
100,36,tis,3.947083478942881e-05
