budget_per_group,method,replications,panel_mse,mcse,normalized_to_uniform
100,complete_rollout,300,1.1605548910531699e-06,6.410658047851818e-08,0.04129825356945872
100,learned_mean,300,2.112833314054007e-05,2.239169338257697e-06,0.7518500557489324
100,learned_occupancy,300,1.6537571957082654e-06,9.432831149144166e-08,0.0588488183860904
100,occ_plus_mean,300,2.1397884920240617e-06,1.3070465265185015e-07,0.07614420344084426
100,occ_plus_uniform,300,2.7378254103116877e-06,1.4812638710758934e-07,0.09742529965243958
100,oracle_tail,300,5.573515967472461e-07,3.407796277331506e-08,0.01983331227782137
100,tis,300,3.070101405863146e-05,2.65763647753069e-06,1.092493145483449
100,tis_anchored,300,2.6494302124100587e-06,1.4328119711004623e-07,0.0942797635598286
100,uniform,300,2.8101791014025698e-05,2.2198142935386172e-06,1.0
200,complete_rollout,300,5.430828177912114e-07,3.22141713679715e-08,0.044252992364533034
200,learned_mean,300,1.6205127946304188e-05,7.699361771069909e-06,1.3204715372707287
200,learned_occupancy,300,7.621669342393937e-07,4.310974746632193e-08,0.06210501679757112
200,occ_plus_mean,300,1.048798722672836e-06,7.215853709988334e-08,0.08546114947097501
200,occ_plus_uniform,300,1.36974121107676e-06,7.782886598594324e-08,0.11161308251602543
200,oracle_tail,300,2.564861629444805e-07,1.50186688624301e-08,0.020899722544258606
200,tis,300,1.2481063630400692e-05,9.341990210867869e-07,1.0170169179421806
200,tis_anchored,300,1.2255336786724632e-06,7.545800682611791e-08,0.09986236122392057
200,uniform,300,1.227222813132226e-05,7.677206605909573e-07,1.0
400,complete_rollout,300,2.9077781987507497e-07,1.6432696061743125e-08,0.042102965612316044
400,learned_mean,300,4.4509120401289714e-06,3.70177083302081e-07,0.6444666125136489
400,learned_occupancy,300,3.3754700796338684e-07,1.9362933189226725e-08,0.048874876615170794
400,occ_plus_mean,300,4.263627239128573e-07,3.292180568770265e-08,0.06173488442477719
400,occ_plus_uniform,300,6.138232700331702e-07,3.6983858366822325e-08,0.08887809957908431
400,oracle_tail,300,1.3018198719987693e-07,7.488495055157247e-09,0.018849607348917375
400,tis,300,5.8621982369735334e-06,4.146927909011361e-07,0.8488127838977347
400,tis_anchored,300,5.059643635238142e-07,3.562725576713848e-08,0.0732607466678601
400,uniform,300,6.906350078817632e-06,4.0955234521296017e-07,1.0
800,complete_rollout,300,1.402788706004778e-07,8.695342992306422e-09,0.03858235006115289
800,learned_mean,300,1.7260886044229136e-06,1.4920395516951592e-07,0.47474401873452843
800,learned_occupancy,300,1.6945615329905595e-07,9.921490253201252e-09,0.04660728018848404
800,occ_plus_mean,300,2.0083567812387945e-07,1.5133558342923605e-08,0.055237915767181484
800,occ_plus_uniform,300,3.3399960413416885e-07,1.8957085815780756e-08,0.09186336895805533
800,oracle_tail,300,5.999467678815586e-08,3.3126844219663014e-09,0.01650095707028361
800,tis,300,2.580940484925875e-06,1.907928267430208e-07,0.7098627815447541
800,tis_anchored,300,2.6502570675905447e-07,1.750828314625697e-08,0.07289276388961366
800,uniform,300,3.6358301238295816e-06,2.1740396504979202e-07,1.0
