budget_per_group,panel_index,method,replications,mse,bias
100,0,complete_rollout,300,0.0,0.0
100,0,learned_mean,300,0.0,0.0
100,0,learned_occupancy,300,0.0,0.0
100,0,occ_plus_mean,300,0.0,0.0
100,0,occ_plus_uniform,300,0.0,0.0
100,0,oracle_tail,300,0.0,0.0
100,0,tis,300,0.0,0.0
100,0,tis_anchored,300,0.0,0.0
100,0,uniform,300,0.0,0.0
100,1,complete_rollout,300,0.0,0.0
100,1,learned_mean,300,0.0,0.0
100,1,learned_occupancy,300,0.0,0.0
100,1,occ_plus_mean,300,0.0,0.0
100,1,occ_plus_uniform,300,0.0,0.0
100,1,oracle_tail,300,0.0,0.0
100,1,tis,300,0.0,0.0
100,1,tis_anchored,300,0.0,0.0
100,1,uniform,300,0.0,0.0
100,2,complete_rollout,300,1.9905581629083725e-24,1.410871419693649e-12
100,2,learned_mean,300,1.9905581629083725e-24,1.410871419693649e-12
100,2,learned_occupancy,300,1.9905581629083725e-24,1.410871419693649e-12
100,2,occ_plus_mean,300,1.9905581629083725e-24,1.410871419693649e-12
100,2,occ_plus_uniform,300,1.9905581629083725e-24,1.410871419693649e-12
100,2,oracle_tail,300,1.9905581629083725e-24,1.410871419693649e-12
100,2,tis,300,1.9905581629083725e-24,1.410871419693649e-12
100,2,tis_anchored,300,1.9905581629083725e-24,1.410871419693649e-12
100,2,uniform,300,1.9905581629083725e-24,1.410871419693649e-12
100,3,complete_rollout,300,2.332059987365411e-05,0.00024315766444454434
100,3,learned_mean,300,0.0006441562142774212,-0.0006383175991282442
100,3,learned_occupancy,300,3.543352260468772e-05,-5.483878978711424e-05
100,3,occ_plus_mean,300,5.844741376481062e-05,0.00048332068240585
100,3,occ_plus_uniform,300,6.083050721652984e-05,0.0004854467196722726
100,3,oracle_tail,300,1.0329163981416925e-05,-3.926949712540928e-05
100,3,tis,300,0.0006441562142774212,-0.0006383175991282442
100,3,tis_anchored,300,5.844741376481062e-05,0.00048332068240585
100,3,uniform,300,0.0005862024254688104,0.0008725277708215673
100,4,complete_rollout,300,0.0,0.0
100,4,learned_mean,300,0.0,0.0
100,4,learned_occupancy,300,0.0,0.0
100,4,occ_plus_mean,300,0.0,0.0
100,4,occ_plus_uniform,300,0.0,0.0
