budget_per_group,replication,method,panel_mse
25,0,complete_rollout,6.021260709966839e-05
25,0,learned_occupancy,0.0002234493692987144
25,0,oracle_tail,8.932593217248817e-05
25,0,tis,0.0002168591531129201
25,0,tis_anchored,0.00011996525260428616
25,0,uniform,0.00024943599804555766
25,1,complete_rollout,6.450998553313613e-05
25,1,learned_occupancy,8.691735764385086e-05
25,1,oracle_tail,8.64954204647303e-05
25,1,tis,0.0008126304738787667
25,1,tis_anchored,5.967670232381465e-05
25,1,uniform,0.0006844514764210393
25,2,complete_rollout,0.00019428859886166935
25,2,learned_occupancy,0.0003164753735777784
25,2,oracle_tail,3.592222118432306e-05
25,2,tis,0.00035558712078379256
25,2,tis_anchored,0.0001411655488614586
25,2,uniform,0.0003642506560142091
25,3,complete_rollout,3.2792773753575135e-05
25,3,learned_occupancy,0.00029725797810062
25,3,oracle_tail,0.0001301631347617892
25,3,tis,0.0019064304930860806
25,3,tis_anchored,0.0003931547837126439
25,3,uniform,0.00043478106566807495
25,4,complete_rollout,7.903877054954183e-05
25,4,learned_occupancy,0.00011337088941276736
25,4,oracle_tail,4.901248883261474e-05
25,4,tis,0.0007885037178431384
25,4,tis_anchored,0.0003716368109445092
25,4,uniform,0.0003001658053213781
25,5,complete_rollout,0.00020097390367230332
25,5,learned_occupancy,0.000325288894361226
25,5,oracle_tail,8.491870260458568e-05
25,5,tis,0.0006109692205099745
25,5,tis_anchored,0.00021358142419503312
25,5,uniform,0.0007514028485703514
25,6,complete_rollout,0.0002201273314817078
25,6,learned_occupancy,0.00021694572862517651
25,6,oracle_tail,6.225248363569127e-05
25,6,tis,0.00031427167720874977
25,6,tis_anchored,0.0002814541729089615
25,6,uniform,0.00034426537662732873
25,7,complete_rollout,0.00014192133023285163
25,7,learned_occupancy,0.00014795417929398003
25,7,oracle_tail,7.407924170665631e-05
25,7,tis,0.00026612769539608713
25,7,tis_anchored,0.0002170070185649429
25,7,uniform,0.0007550716552662852
25,8,complete_rollout,0.00011019301030010645
25,8,learned_occupancy,0.0002597933539952582
25,8,oracle_tail,2.51664820986588e-05
25,8,tis,0.00030843884407822096
25,8,tis_anchored,0.0003180729580818469
25,8,uniform,0.0006174192834875515
25,9,complete_rollout,0.00010861426357637851
25,9,learned_occupancy,0.00023361522413512044
25,9,oracle_tail,8.089768348121742e-05
25,9,tis,0.0007690249567486668
25,9,tis_anchored,0.0004591548539183806
25,9,uniform,0.0006314488961280779
25,10,complete_rollout,8.589319435845371e-05
25,10,learned_occupancy,0.00030662615593741045
25,10,oracle_tail,4.4492734021698383e-05
25,10,tis,0.00024922096842524573
25,10,tis_anchored,0.00025929724481714477
25,10,uniform,0.0004584616505328543
25,11,complete_rollout,0.0001770112223608949
25,11,learned_occupancy,0.00019363963541261945
25,11,oracle_tail,6.656843785016028e-05
25,11,tis,0.0006034824412744202
25,11,tis_anchored,0.00013646518898764276
25,11,uniform,0.0006538906786708891
25,12,complete_rollout,9.5578474194146e-05
25,12,learned_occupancy,9.081718820404379e-05
25,12,oracle_tail,3.060500269248531e-05
25,12,tis,0.0006793633107335449
25,12,tis_anchored,0.0002012924491836689
25,12,uniform,0.0003868168108114639
25,13,complete_rollout,0.00013681233674254158
25,13,learned_occupancy,0.0003523837497330699
25,13,oracle_tail,0.000166134825083954
25,13,tis,0.0004439365237509742
25,13,tis_anchored,0.0003781296080191294
25,13,uniform,0.00031124616345019516
25,14,complete_rollout,0.0001413208213532029
25,14,learned_occupancy,0.00016455591765144164
25,14,oracle_tail,4.7228934961813756e-05
25,14,tis,0.00022614380586165363
25,14,tis_anchored,0.00010058276534215102
25,14,uniform,0.0003596452066010868
25,15,complete_rollout,0.00012624928738160654
25,15,learned_occupancy,0.0005065523798473034
25,15,oracle_tail,6.262373676504222e-05
25,15,tis,0.0003091272610445314
25,15,tis_anchored,0.0003572698666542141
25,15,uniform,0.0004267106803401175
25,16,complete_rollout,6.0686101819489534e-05
