budget_per_group,method,replications,panel_mse,mcse,normalized_to_uniform
400,complete_rollout,300,7.824081059458636e-06,2.1752852523181257e-07,0.22436696726143862
400,learned_occupancy,300,8.51249946636127e-06,2.4181506080617134e-07,0.24410837190562595
400,oracle_tail,300,4.117933575043097e-06,1.2269331030713043e-07,0.1180877678279578
400,tis,300,2.0261257917325482e-05,1.166553954054285e-06,0.5810212032908916
400,tis_anchored,300,6.877416501187142e-06,1.8332729271543114e-07,0.19721997653637563
400,uniform,300,3.4871804682111693e-05,9.557008695963788e-07,1.0
800,complete_rollout,300,3.7187263922748424e-06,1.0223256000730675e-07,0.19236507886260423
800,learned_occupancy,300,3.7859515231691e-06,1.0247353173888923e-07,0.1958425510511704
800,oracle_tail,300,2.0120564101486185e-06,6.552407643342113e-08,0.10408116897717747
800,tis,300,6.558778623656968e-06,3.4376795717448806e-07,0.33927743912623076
800,tis_anchored,300,3.132413108369227e-06,9.74834995766271e-08,0.1620358238437369
800,uniform,300,1.9331608492885153e-05,6.188624678828965e-07,1.0
