budget_per_group,replication,method,panel_mse
100,0,complete_rollout,1.9197527696664634e-05
100,0,learned_mean,0.000177742000346687
100,0,learned_occupancy,7.141817940345628e-05
100,0,occ_plus_mean,4.3671464961146004e-05
100,0,occ_plus_uniform,8.540970556107947e-05
100,0,oracle_tail,1.2678685509447509e-05
100,0,tis,0.00020543330959661726
100,0,tis_anchored,3.5130251776876526e-05
100,0,uniform,0.00019633397819758777
100,1,complete_rollout,2.734716110481309e-05
100,1,learned_mean,0.0001407801844009931
100,1,learned_occupancy,6.133841945391091e-05
100,1,occ_plus_mean,8.340937444473004e-05
100,1,occ_plus_uniform,2.628152281472974e-05
100,1,oracle_tail,2.3778302768582417e-05
100,1,tis,0.0001498412704839386
100,1,tis_anchored,8.737652531212455e-05
100,1,uniform,0.0001632203762829604
100,2,complete_rollout,4.738988933048372e-05
100,2,learned_mean,0.00011281782144080474
100,2,learned_occupancy,1.9908339905354405e-05
100,2,occ_plus_mean,2.1965667921652655e-05
100,2,occ_plus_uniform,3.2442602475873476e-05
100,2,oracle_tail,2.600734727646141e-05
100,2,tis,0.00010307979592992171
100,2,tis_anchored,1.7405148685280993e-05
100,2,uniform,9.933532525936161e-05
100,3,complete_rollout,3.1079542997825846e-05
100,3,learned_mean,0.0002856668415080238
100,3,learned_occupancy,3.0656872056752866e-05
100,3,occ_plus_mean,2.6839534797483616e-05
100,3,occ_plus_uniform,3.997095199646774e-05
100,3,oracle_tail,2.289274549725578e-05
100,3,tis,0.0002775806837338908
100,3,tis_anchored,2.18444827543072e-05
100,3,uniform,0.00012218381616795488
100,4,complete_rollout,3.42494039152424e-05
100,4,learned_mean,8.451790666370239e-05
100,4,learned_occupancy,2.548766725070048e-05
100,4,occ_plus_mean,4.2458480247933264e-05
100,4,occ_plus_uniform,2.5831611628183983e-05
100,4,oracle_tail,1.4779985901348682e-05
100,4,tis,8.060648727323777e-05
100,4,tis_anchored,5.000407912714043e-05
100,4,uniform,7.45635978651495e-05
100,5,complete_rollout,1.242682674823182e-05
100,5,learned_mean,5.480874220014968e-05
100,5,learned_occupancy,2.511710523011877e-05
100,5,occ_plus_mean,2.4389592740410736e-05
100,5,occ_plus_uniform,4.8283804413002577e-05
100,5,oracle_tail,2.0812760244580176e-05
100,5,tis,6.312585463513717e-05
100,5,tis_anchored,3.613467217282789e-05
100,5,uniform,9.168596394638207e-05
100,6,complete_rollout,2.7464562356571903e-05
100,6,learned_mean,6.802603323556578e-05
100,6,learned_occupancy,4.263872439048863e-05
100,6,occ_plus_mean,5.3264503938758355e-05
100,6,occ_plus_uniform,2.679285022101254e-05
100,6,oracle_tail,1.1726181365726986e-05
100,6,tis,8.828975288343933e-05
100,6,tis_anchored,6.305301586320316e-05
100,6,uniform,0.0001500409497451753
100,7,complete_rollout,1.3408899124820124e-05
100,7,learned_mean,5.976664534799891e-05
100,7,learned_occupancy,4.238860260835555e-05
100,7,occ_plus_mean,3.02472017875891e-05
100,7,occ_plus_uniform,6.671928206093933e-05
100,7,oracle_tail,1.6520420570215424e-05
100,7,tis,6.028677192845245e-05
100,7,tis_anchored,3.068773979095932e-05
100,7,uniform,6.256185118610417e-05
100,8,complete_rollout,4.379689268578968e-05
100,8,learned_mean,0.00015829498642072983
100,8,learned_occupancy,5.549063796705166e-05
100,8,occ_plus_mean,4.564960935095393e-05
100,8,occ_plus_uniform,7.434022347686987e-05
100,8,oracle_tail,1.1040977380877327e-05
100,8,tis,0.0001471261721083031
100,8,tis_anchored,3.184905046892424e-05
100,8,uniform,0.0003489897929090809
100,9,complete_rollout,2.2280535198942886e-05
100,9,learned_mean,7.758452733342681e-05
100,9,learned_occupancy,2.4666035550442155e-05
100,9,occ_plus_mean,2.4912554120190963e-05
100,9,occ_plus_uniform,1.0032736922177072e-05
100,9,oracle_tail,1.0412491620631834e-05
100,9,tis,0.00013828711152285964
100,9,tis_anchored,3.054189856621753e-05
100,9,uniform,7.945558086996003e-05
100,10,complete_rollout,2.7012132837355575e-05
100,10,learned_mean,0.0002646399307041686
100,10,learned_occupancy,3.1710949066260266e-05
100,10,occ_plus_mean,3.81003274179165e-05
100,10,occ_plus_uniform,4.542368714768393e-05
100,10,oracle_tail,1.0884738646715434e-05
100,10,tis,0.00022913217570149055
100,10,tis_anchored,3.594814103270046e-05
100,10,uniform,6.473118491540555e-05
100,11,complete_rollout,2.571211223920533e-05
100,11,learned_mean,6.308786814234416e-05
100,11,learned_occupancy,8.378107670647723e-05
100,11,occ_plus_mean,3.9407267717982444e-05
100,11,occ_plus_uniform,4.658985768892657e-05
100,11,oracle_tail,6.93375497806801e-06
100,11,tis,0.0003654068199925241
100,11,tis_anchored,5.436042133889914e-05
100,11,uniform,9.256040355552992e-05
100,12,complete_rollout,2.9992365297761943e-05
100,12,learned_mean,8.137873336913756e-05
100,12,learned_occupancy,3.687481795272501e-05
100,12,occ_plus_mean,5.831410995168964e-05
100,12,occ_plus_uniform,5.151628157618964e-05
100,12,oracle_tail,2.7538543312336025e-05
100,12,tis,8.333927080044844e-05
100,12,tis_anchored,5.754453928846432e-05
100,12,uniform,0.00011678563367721865
100,13,complete_rollout,4.615718327020717e-05
100,13,learned_mean,0.00013830367177408901
100,13,learned_occupancy,9.923551808822187e-05
100,13,occ_plus_mean,6.459499482723833e-05
100,13,occ_plus_uniform,4.773900220351884e-05
100,13,oracle_tail,1.4630782473913778e-05
100,13,tis,0.0001441284787881074
100,13,tis_anchored,6.36391088205576e-05
100,13,uniform,0.00010765573769005463
100,14,complete_rollout,4.022616926375844e-05
100,14,learned_mean,0.0001246923875467337
100,14,learned_occupancy,4.660815773288587e-05
100,14,occ_plus_mean,6.564831037506548e-05
100,14,occ_plus_uniform,4.01582110087692e-05
100,14,oracle_tail,1.8732025750049357e-05
100,14,tis,0.00011330637464558095
100,14,tis_anchored,6.527008375599182e-05
100,14,uniform,0.0002072260788360363
100,15,complete_rollout,3.0247885637584526e-05
100,15,learned_mean,8.519410166772838e-05
