budget_per_group,panel_index,method,replications,mse,bias
100,0,complete_rollout,300,1.941243326153611e-06,1.4608671301754583e-05
100,0,learned_mean,300,3.5614801036730404e-05,-1.5121693123245627e-05
100,0,learned_occupancy,300,1.8585329393954242e-06,1.7734769565752225e-05
100,0,occ_plus_mean,300,3.284925271522942e-06,-3.5750642036767774e-05
100,0,occ_plus_uniform,300,2.415307807992848e-06,2.209512330063168e-05
100,0,oracle_tail,300,6.865370869589014e-07,-0.00010163828998194235
100,0,tis,300,1.2004210629453272e-05,8.08843202295817e-05
100,0,tis_anchored,300,2.987898921365542e-06,-5.705191728303453e-05
100,0,uniform,300,3.818372360388961e-06,-9.690535568963746e-05
100,1,complete_rollout,300,1.2219250509536667e-05,0.00015318257852714234
100,1,learned_mean,300,0.00017507180623166843,0.001177948762262724
100,1,learned_occupancy,300,1.7946922683668955e-05,4.327030518512798e-05
100,1,occ_plus_mean,300,2.550750999303613e-05,-4.2148347009848635e-05
100,1,occ_plus_uniform,300,1.8054050983801098e-05,-0.0001136633300222097
100,1,oracle_tail,300,5.605005873246165e-06,0.0001629239531641291
100,1,tis,300,0.00015538412816750214,0.000888107660453883
100,1,tis_anchored,300,2.456303826813428e-05,-3.269796194096619e-05
100,1,uniform,300,4.015708008480932e-05,0.0002696142701571021
100,2,complete_rollout,300,9.247120967361753e-13,3.725583465434094e-08
100,2,learned_mean,300,4.253886310106097e-12,-2.779914576941008e-07
100,2,learned_occupancy,300,2.2386746283673582e-12,-1.8212334223388638e-07
100,2,occ_plus_mean,300,2.4624600267960567e-12,-2.1745875305863767e-07
100,2,occ_plus_uniform,300,2.1763058292214226e-12,-1.1997914987441996e-07
100,2,oracle_tail,300,6.278856093512764e-13,-2.1894052451750432e-08
100,2,tis,300,7.444642298156113e-12,-1.0836208164925292e-07
100,2,tis_anchored,300,1.6894041216949871e-12,-1.4762592086251894e-07
100,2,uniform,300,8.654133716108144e-12,-2.542651806303198e-07
100,3,complete_rollout,300,1.1429133471543098e-07,1.321150275712298e-05
100,3,learned_mean,300,2.1354914460203957e-07,2.7199974752576406e-05
100,3,learned_occupancy,300,8.655848840952932e-08,-9.706910458073814e-06
100,3,occ_plus_mean,300,9.237463975046355e-08,3.915051941602391e-06
100,3,occ_plus_uniform,300,5.8821124412176616e-08,1.8363726094529446e-05
