budget_per_group,method,replications,panel_mse,mcse,normalized_to_uniform
25,complete_rollout,300,0.00010893519302800886,3.4854851092162767e-06,0.18601203088511506
25,learned_occupancy,300,0.00025465497469037127,8.539011120630637e-06,0.4348354989830907
25,oracle_tail,300,9.16818707947262e-05,4.27167808148921e-06,0.15655116136333386
25,tis,300,0.0007131128353094059,3.085074999747787e-05,1.2176741332072503
25,tis_anchored,300,0.0002650067530157913,9.26393854917222e-06,0.4525116535485745
25,uniform,300,0.0005856352006354338,1.9983866134314337e-05,1.0
50,complete_rollout,300,5.561741182205766e-05,1.8631699000482505e-06,0.17533450052255484
50,learned_occupancy,300,0.00011126516101450522,4.916714601222317e-06,0.3507646399378632
50,oracle_tail,300,4.482042231318466e-05,2.278779443032148e-06,0.1412968727245867
50,tis,300,0.0003491036995526623,1.7600482997840912e-05,1.1005532401881106
50,tis_anchored,300,0.00010664468977815357,4.713370746160725e-06,0.3361985537093909
50,uniform,300,0.0003172074614881804,1.2191294972774837e-05,1.0
100,complete_rollout,300,2.6338542954197838e-05,7.556657900918457e-07,0.16951485792515453
100,learned_occupancy,300,4.4377242874229414e-05,1.5596436245279452e-06,0.28561192750930525
100,oracle_tail,300,2.0503704831947252e-05,8.579883838087939e-07,0.13196184077346196
100,tis,300,0.0001898242682990734,1.4240992951195634e-05,1.2217089581386773
100,tis_anchored,300,4.31701698571774e-05,1.4923911803623925e-06,0.27784320577907573
100,uniform,300,0.000155376014094452,5.369315972187921e-06,1.0
200,complete_rollout,300,1.3610458404970712e-05,3.9016543393088837e-07,0.1615538319026392
200,learned_occupancy,300,1.8309557421284702e-05,5.821625637337514e-07,0.21733133990326567
200,oracle_tail,300,9.673333812818779e-06,5.056535990701102e-07,0.11482083102825542
200,tis,300,6.168060676973199e-05,3.8661034075696715e-06,0.732138336655202
200,tis_anchored,300,1.5647787695990107e-05,4.7223394192935824e-07,0.18573658490172004
200,uniform,300,8.42472025867705e-05,3.3520183994191223e-06,1.0
