budget_per_group,panel_index,method,replications,mse,bias
25,0,complete_rollout,300,7.86480508948945e-06,-7.320697151932325e-05
25,0,learned_occupancy,300,1.0526204767086649e-05,-0.00010008721680576574
25,0,oracle_tail,300,3.232886985331587e-06,4.652103383193366e-05
25,0,tis,300,2.4409354282365468e-05,0.00015905251714728674
25,0,tis_anchored,300,1.3135115474353394e-05,9.040839776019994e-06
25,0,uniform,300,1.873132057206968e-05,-4.9111745384479526e-05
25,1,complete_rollout,300,8.544868881488401e-05,-0.00023726179776515217
25,1,learned_occupancy,300,0.00020159909129981935,-0.0007220994213696108
25,1,oracle_tail,300,3.967748121495026e-05,-0.0001146467500815455
25,1,tis,300,0.000577035659339208,0.00033802531321265833
25,1,tis_anchored,300,0.00024848837202121385,-0.0010848280838907905
25,1,uniform,300,0.0003713516305007807,-0.0004513870064463525
25,2,complete_rollout,300,3.6213398394880756e-12,1.1698843013441263e-07
25,2,learned_occupancy,300,1.3577831279703721e-11,-1.9897410233301234e-07
25,2,oracle_tail,300,2.613047816895139e-12,-8.000799679293754e-08
25,2,tis,300,2.5445471140484975e-11,-7.603890913291759e-08
25,2,tis_anchored,300,1.3109092584552496e-11,-2.303915695504403e-07
25,2,uniform,300,3.6586538011767185e-11,-4.095394228786908e-07
25,3,complete_rollout,300,7.147357869335542e-07,-4.456343451702871e-05
25,3,learned_occupancy,300,2.1522777143689215e-07,1.1799391752012056e-05
25,3,oracle_tail,300,9.826709780067919e-08,1.5959978726384586e-05
25,3,tis,300,1.4129438313060285e-06,-3.077310519687293e-05
25,3,tis_anchored,300,4.845554334691704e-07,1.7802038455398221e-06
25,3,uniform,300,9.131563360408528e-07,-1.4206076829562283e-05
25,4,complete_rollout,300,0.00043522113572727763,-0.00017924577192625005
25,4,learned_occupancy,300,0.0012856662347804169,-0.0025502929963312484
25,4,oracle_tail,300,0.0004044001991345325,0.0007756965928244457
25,4,tis,300,0.004199664126255588,0.0036728455095598567
25,4,tis_anchored,300,0.0016083782068814837,-0.0030446953708388545
25,4,uniform,300,0.003803717456999254,-0.0017620810371260997
25,5,complete_rollout,300,0.0004956665824467796,0.0014791357087510634
25,5,learned_occupancy,300,0.0009826170168015357,-0.0014640442197781111
25,5,oracle_tail,300,0.00025429392277004776,-0.0015038561535122138
25,5,tis,300,0.0016498345714238264,0.002873195784997272
25,5,tis_anchored,300,0.0009309012658125015,-0.0005354520594421142
25,5,uniform,300,0.0018096173532507168,0.0012882085532186526
25,6,complete_rollout,300,0.0010851590385242988,0.0013403275978356214
25,6,learned_occupancy,300,0.0023763018817922897,-0.006034548912891836
25,6,oracle_tail,300,0.0008288902211080163,-0.001462036483909092
25,6,tis,300,0.005152045822882365,0.013897743788390926
25,6,tis_anchored,300,0.0021967676614808754,-0.0025364842536145823
25,6,uniform,300,0.005232757644021884,0.01231217292512713
25,7,complete_rollout,300,0.0004563619119927371,0.006099336009855034
25,7,learned_occupancy,300,0.0013901336549684985,0.01587246859034038
25,7,oracle_tail,300,0.00047202862733693147,0.0058430554768142875
25,7,tis,300,0.0035355376333705496,0.031308303723551076
25,7,tis_anchored,300,0.0014211827606515034,0.017581261866272752
25,7,uniform,300,0.0021457749890092296,0.020133551483235788
25,8,complete_rollout,300,0.0,0.0
25,8,learned_occupancy,300,0.0,0.0
25,8,oracle_tail,300,1.9562939974318898e-05,0.00046669489040279455
25,8,tis,300,0.00014153628902887906,0.001693570254078057
25,8,tis_anchored,300,0.0,0.0
25,8,uniform,300,1.9562939974318898e-05,0.00046669489040279455
25,9,complete_rollout,300,0.0006664407117914049,-0.0011519154887048954
25,9,learned_occupancy,300,0.0011835191965853947,0.0029035535867784697
25,9,oracle_tail,300,0.0003366545822708338,0.0020383248252470415
25,9,tis,300,0.002452386387285026,0.007132002309620373
25,9,tis_anchored,300,0.0012430328200197418,0.0013288255562376539
25,9,uniform,300,0.0014995186579995553,0.0021140986694972376
25,10,complete_rollout,300,1.473991366689954e-05,0.0010923188067583753
25,10,learned_occupancy,300,3.304008954675021e-05,0.0019719168939056164
25,10,oracle_tail,300,8.580225312254477e-06,0.0003986471561447439
25,10,tis,300,0.0001154021707277905,0.004298980454393325
25,10,tis_anchored,300,3.7638128719723575e-05,0.0022643684531048094
25,10,uniform,300,0.0001778611970173813,0.00697474922661366
25,11,complete_rollout,300,4.1480653364335626e-17,3.1161894109565937e-09
25,11,learned_occupancy,300,9.194182890109034e-17,4.6373172131926786e-09
25,11,oracle_tail,300,2.128458402164329e-17,1.985569800429706e-09
25,11,tis,300,1.7677631810382718e-16,6.685994697885889e-09
25,11,tis_anchored,300,9.707015651443892e-17,4.877256076044982e-09
25,11,uniform,300,1.3564837951459724e-16,5.828997684531601e-09
25,12,complete_rollout,300,4.930380657631324e-32,2.220446049250313e-16
25,12,learned_occupancy,300,1.3147681753683531e-33,5.921189464667502e-18
25,12,oracle_tail,300,0.0,0.0
25,12,tis,300,1.150422153447309e-33,5.181040781584064e-18
25,12,tis_anchored,300,9.860761315262648e-34,4.440892098500626e-18
25,12,uniform,300,6.902532920683854e-33,2.960594732333751e-17
25,13,complete_rollout,300,2.518715455093288e-10,1.5516323549924494e-06
25,13,learned_occupancy,300,2.2792333375506435e-09,7.83958379661535e-06
25,13,oracle_tail,300,4.5100939768520754e-08,7.230689525934049e-05
25,13,tis,300,2.0387213153128745e-07,0.00020804911248144468
25,13,tis_anchored,300,3.2042035381468853e-09,1.0821077569379925e-05
25,13,uniform,300,4.5100939768520754e-08,7.230689525934049e-05
25,14,complete_rollout,300,1.2713550452760256e-07,3.085631222680944e-05
25,14,learned_occupancy,300,1.4121809141567896e-07,2.388015460405975e-05
25,14,oracle_tail,300,1.0380190380161333e-07,-6.2674373307388304e-06
25,14,tis,300,1.1541353345820316e-08,5.087365673749345e-05
25,14,tis_anchored,300,2.5262892868872327e-07,2.1323773391325556e-05
25,14,uniform,300,8.575810788295528e-09,5.282623683040407e-05
25,15,complete_rollout,300,2.3546492511603165e-07,6.0082364205118475e-05
25,15,learned_occupancy,300,4.301653183201902e-07,-8.25625174379696e-05
25,15,oracle_tail,300,7.311601050547236e-08,-3.136350643835328e-05
25,15,tis,300,4.78602238432382e-06,0.00014931796552847783
25,15,tis_anchored,300,3.9277675285616356e-07,-4.757340393576781e-05
25,15,uniform,300,7.080237963245562e-07,-7.813335359810511e-05
25,16,complete_rollout,300,9.045291600366807e-07,1.1955292707715633e-05
25,16,learned_occupancy,300,2.502922708460264e-06,-6.52779478954398e-05
25,16,oracle_tail,300,4.863916037198626e-07,4.111875391891099e-05
25,16,tis,300,6.847985104358375e-06,7.445846411589334e-05
25,16,tis_anchored,300,2.501367818746338e-06,-2.6377069463677423e-05
25,16,uniform,300,3.972944246473549e-06,1.4123474929150782e-06
25,17,complete_rollout,300,1.282002341527548e-06,-3.542973792500348e-05
25,17,learned_occupancy,300,1.9745194457241683e-06,-0.0002156460975591782
25,17,oracle_tail,300,3.147978531040724e-07,1.8294710614727243e-05
25,17,tis,300,5.76393271439795e-06,-7.02390136639508e-05
25,17,tis_anchored,300,1.356792069046365e-06,-6.758361027455232e-05
25,17,uniform,300,2.8324002283654136e-06,-4.0478658447779354e-05
25,18,complete_rollout,300,1.9721522630525295e-31,4.440892098500626e-16
25,18,learned_occupancy,300,0.0,0.0
25,18,oracle_tail,300,0.0,0.0
25,18,tis,300,0.0,0.0
25,18,tis_anchored,300,0.0,0.0
25,18,uniform,300,0.0,0.0
25,19,complete_rollout,300,3.342360404547332e-05,0.0003926780659436716
25,19,learned_occupancy,300,0.00011513204119576068,-0.0012465665050382386
25,19,oracle_tail,300,1.9555956391914098e-05,-0.00011979466428607329
25,19,tis,300,0.0002910558200206742,0.0013401433841499085
25,19,tis_anchored,300,8.285837535446447e-05,6.082207856397126e-05
25,19,uniform,300,0.0002263164461914091,0.00014644011300971594
25,20,complete_rollout,300,1.9721522630525295e-31,4.440892098500626e-16
25,20,learned_occupancy,300,0.0,0.0
25,20,oracle_tail,300,0.0,0.0
25,20,tis,300,0.0,0.0
25,20,tis_anchored,300,0.0,0.0
25,20,uniform,300,0.0,0.0
25,21,complete_rollout,300,0.0,0.0
25,21,learned_occupancy,300,0.0,0.0
25,21,oracle_tail,300,0.0,0.0
25,21,tis,300,0.0,0.0
25,21,tis_anchored,300,0.0,0.0
25,21,uniform,300,0.0,0.0
25,22,complete_rollout,300,4.930380657631324e-32,2.220446049250313e-16
