budget_per_group,replication,method,panel_mse
25,0,complete_rollout,5.147523571133713e-06
25,0,learned_occupancy,8.079142870010827e-06
25,0,oracle_tail,3.0142916692272914e-06
25,0,tis,1.3850487914784253e-05
25,0,tis_anchored,4.763270871747443e-06
25,0,uniform,1.3850487914784253e-05
25,1,complete_rollout,3.141125555986281e-06
25,1,learned_occupancy,2.507761265208224e-05
25,1,oracle_tail,6.372319518455226e-06
25,1,tis,0.0017288842080436851
25,1,tis_anchored,5.1682700444787286e-05
25,1,uniform,0.0006689462771563071
25,2,complete_rollout,1.8633347546837793e-06
25,2,learned_occupancy,3.008578812411221e-05
25,2,oracle_tail,3.953809044186885e-06
25,2,tis,1.3850487914784253e-05
25,2,tis_anchored,5.325742421611134e-05
25,2,uniform,1.3850487914784253e-05
25,3,complete_rollout,1.2485964805792961e-06
25,3,learned_occupancy,7.660987985802658e-06
25,3,oracle_tail,3.2234465162732805e-06
25,3,tis,1.3850487914784253e-05
25,3,tis_anchored,5.525789153780206e-06
25,3,uniform,1.3850487914784253e-05
25,4,complete_rollout,2.2190992064755793e-06
25,4,learned_occupancy,7.905162867347636e-06
25,4,oracle_tail,3.2410002669230354e-06
25,4,tis,5.673281970511222e-06
25,4,tis_anchored,8.023083624916737e-06
25,4,uniform,1.3850487914784253e-05
25,5,complete_rollout,1.8134390385077627e-05
25,5,learned_occupancy,7.568646192754121e-06
25,5,oracle_tail,4.412553946527149e-07
25,5,tis,1.3850487914784253e-05
25,5,tis_anchored,1.3850487914784253e-05
25,5,uniform,1.3850487914784253e-05
25,6,complete_rollout,9.930913186179403e-06
25,6,learned_occupancy,2.0659936566280475e-06
25,6,oracle_tail,9.87290330631386e-07
25,6,tis,1.3850487914784253e-05
25,6,tis_anchored,1.308796963275149e-05
25,6,uniform,1.3850487914784253e-05
25,7,complete_rollout,1.6135831373855137e-06
25,7,learned_occupancy,7.660987985802658e-06
25,7,oracle_tail,3.736615477456961e-06
25,7,tis,1.3850487914784253e-05
25,7,tis_anchored,5.525789153780206e-06
25,7,uniform,1.3850487914784253e-05
25,8,complete_rollout,3.4577979596990568e-06
25,8,learned_occupancy,2.462803009499626e-05
25,8,oracle_tail,4.426666344779331e-07
25,8,tis,0.0005675484178052309
25,8,tis_anchored,3.4100412883824246e-05
25,8,uniform,0.0002052410964575865
25,9,complete_rollout,3.7488438416203624e-07
25,9,learned_occupancy,2.0659936566280475e-06
25,9,oracle_tail,1.1386889005110196e-06
25,9,tis,1.3850487914784253e-05
25,9,tis_anchored,5.525789153780206e-06
25,9,uniform,1.3850487914784253e-05
25,10,complete_rollout,3.141125555986281e-06
25,10,learned_occupancy,5.5054795497602556e-06
25,10,oracle_tail,6.861143053353646e-07
25,10,tis,1.3850487914784253e-05
25,10,tis_anchored,5.525789153780206e-06
25,10,uniform,1.3850487914784253e-05
25,11,complete_rollout,3.4577979596990568e-06
25,11,learned_occupancy,7.568646192754121e-06
25,11,oracle_tail,1.7265449264765952e-06
25,11,tis,1.3850487914784253e-05
25,11,tis_anchored,1.3850487914784253e-05
25,11,uniform,1.3850487914784253e-05
25,12,complete_rollout,6.1279235070057345e-06
25,12,learned_occupancy,1.8643914268735146e-05
25,12,oracle_tail,4.492941228017151e-06
25,12,tis,0.0017288842080436851
25,12,tis_anchored,0.00010865878351157981
25,12,uniform,0.0006689462771563071
25,13,complete_rollout,7.664133476568072e-06
25,13,learned_occupancy,2.0659936566280475e-06
25,13,oracle_tail,2.2365349282757606e-06
25,13,tis,1.3850487914784253e-05
25,13,tis_anchored,1.3850487914784253e-05
25,13,uniform,1.3850487914784253e-05
25,14,complete_rollout,1.4314273114630626e-06
25,14,learned_occupancy,8.11057054288864e-06
25,14,oracle_tail,3.200656015014506e-06
25,14,tis,1.3850487914784253e-05
25,14,tis_anchored,3.4100412883824246e-05
25,14,uniform,1.3850487914784253e-05
