budget_per_group,panel_index,method,replications,mse,bias
25,0,complete_rollout,300,0.0,0.0
25,0,learned_occupancy,300,0.0,0.0
25,0,oracle_tail,300,0.0,0.0
25,0,tis,300,0.0,0.0
25,0,tis_anchored,300,0.0,0.0
25,0,uniform,300,0.0,0.0
25,1,complete_rollout,300,4.930380657631324e-32,2.220446049250313e-16
25,1,learned_occupancy,300,4.930380657631324e-32,2.220446049250313e-16
25,1,oracle_tail,300,4.930380657631324e-32,2.220446049250313e-16
25,1,tis,300,4.930380657631324e-32,2.220446049250313e-16
25,1,tis_anchored,300,4.930380657631324e-32,2.220446049250313e-16
25,1,uniform,300,4.930380657631324e-32,2.220446049250313e-16
25,2,complete_rollout,300,1.9899316594382073e-24,1.410649375088724e-12
25,2,learned_occupancy,300,1.9905581629083725e-24,1.410871419693649e-12
25,2,oracle_tail,300,1.9905581629083725e-24,1.410871419693649e-12
25,2,tis,300,1.9905581629083725e-24,1.410871419693649e-12
25,2,tis_anchored,300,1.9905581629083725e-24,1.410871419693649e-12
25,2,uniform,300,1.9905581629083725e-24,1.410871419693649e-12
25,3,complete_rollout,300,0.00010667236327009116,-0.0004249913094650637
25,3,learned_occupancy,300,0.00018547200646889316,-0.00022330992258657128
25,3,oracle_tail,300,3.794918041023756e-05,3.093589044202464e-05
25,3,tis,300,0.0031294876144951794,0.0025121191133708003
25,3,tis_anchored,300,0.0003966433212934773,-0.0007989010088628697
25,3,uniform,300,0.002148645716615602,0.0008951615209922914
25,4,complete_rollout,300,4.437342591868191e-31,6.661338147750939e-16
25,4,learned_occupancy,300,1.3147681753683531e-33,5.921189464667502e-18
25,4,oracle_tail,300,0.0,0.0
25,4,tis,300,9.696415293341603e-33,4.218847493575595e-17
25,4,tis_anchored,300,2.79388237265775e-33,1.258252761241844e-17
25,4,uniform,300,1.3312027775604575e-32,5.995204332975846e-17
25,5,complete_rollout,300,4.930380657631324e-32,2.220446049250313e-16
25,5,learned_occupancy,300,4.437342591868191e-31,6.661338147750939e-16
25,5,oracle_tail,300,4.437342591868191e-31,6.661338147750939e-16
25,5,tis,300,4.437342591868191e-31,6.661338147750939e-16
25,5,tis_anchored,300,4.437342591868191e-31,6.661338147750939e-16
25,5,uniform,300,4.437342591868191e-31,6.661338147750939e-16
25,6,complete_rollout,300,0.0,0.0
25,6,learned_occupancy,300,0.0,0.0
25,6,oracle_tail,300,0.0,0.0
25,6,tis,300,0.0,0.0
25,6,tis_anchored,300,0.0,0.0
25,6,uniform,300,0.0,0.0
25,7,complete_rollout,300,4.930380657631324e-32,-2.220446049250313e-16
25,7,learned_occupancy,300,0.0,0.0
25,7,oracle_tail,300,0.0,0.0
25,7,tis,300,0.0,0.0
25,7,tis_anchored,300,0.0,0.0
25,7,uniform,300,0.0,0.0
25,8,complete_rollout,300,3.2584310335014885e-07,5.4601608747311126e-05
25,8,learned_occupancy,300,4.110374640612604e-07,3.68421635793396e-05
25,8,oracle_tail,300,2.4055052432068113e-07,-1.2060030623632182e-05
25,8,tis,300,1.843467703549329e-08,0.0001357743607441897
25,8,tis_anchored,300,6.771463816253628e-07,5.324420486753967e-05
25,8,uniform,300,3.2405381489169606e-05,-0.00019324586068405334
25,9,complete_rollout,300,2.00457527861755e-17,4.477248349843421e-09
25,9,learned_occupancy,300,2.0045750797878123e-17,4.477248127798816e-09
25,9,oracle_tail,300,2.0045750797878123e-17,4.477248127798816e-09
25,9,tis,300,2.0045750797878123e-17,4.477248127798816e-09
25,9,tis_anchored,300,2.0045750797878123e-17,4.477248127798816e-09
25,9,uniform,300,2.0045750797878123e-17,4.477248127798816e-09
25,10,complete_rollout,300,1.133948656492355e-15,3.367415413180197e-08
25,10,learned_occupancy,300,1.1339486415380262e-15,3.3674153909757365e-08
25,10,oracle_tail,300,1.1339486415380262e-15,3.3674153909757365e-08
25,10,tis,300,1.1339486415380262e-15,3.3674153909757365e-08
25,10,tis_anchored,300,1.1339486415380262e-15,3.3674153909757365e-08
25,10,uniform,300,1.1339486415380262e-15,3.3674153909757365e-08
25,11,complete_rollout,300,7.888609052210118e-31,8.881784197001252e-16
25,11,learned_occupancy,300,4.437342591868191e-31,6.661338147750939e-16
25,11,oracle_tail,300,4.437342591868191e-31,6.661338147750939e-16
25,11,tis,300,4.437342591868191e-31,6.661338147750939e-16
25,11,tis_anchored,300,4.437342591868191e-31,6.661338147750939e-16
25,11,uniform,300,4.437342591868191e-31,6.661338147750939e-16
25,12,complete_rollout,300,0.0,0.0
25,12,learned_occupancy,300,0.0,0.0
25,12,oracle_tail,300,0.0,0.0
25,12,tis,300,0.0,0.0
25,12,tis_anchored,300,0.0,0.0
25,12,uniform,300,0.0,0.0
25,13,complete_rollout,300,0.0,0.0
25,13,learned_occupancy,300,0.0,0.0
25,13,oracle_tail,300,0.0,0.0
25,13,tis,300,0.0,0.0
25,13,tis_anchored,300,0.0,0.0
25,13,uniform,300,0.0,0.0
25,14,complete_rollout,300,0.0,0.0
25,14,learned_occupancy,300,0.0,0.0
25,14,oracle_tail,300,0.0,0.0
25,14,tis,300,0.0,0.0
25,14,tis_anchored,300,0.0,0.0
25,14,uniform,300,0.0,0.0
25,15,complete_rollout,300,1.9721522630525295e-31,4.440892098500626e-16
25,15,learned_occupancy,300,0.0,0.0
25,15,oracle_tail,300,0.0,0.0
25,15,tis,300,0.0,0.0
25,15,tis_anchored,300,0.0,0.0
25,15,uniform,300,0.0,0.0
25,16,complete_rollout,300,4.1656385454708725e-22,2.0409895995499028e-11
25,16,learned_occupancy,300,4.16581982373474e-22,2.0410340084708878e-11
25,16,oracle_tail,300,4.16581982373474e-22,2.0410340084708878e-11
25,16,tis,300,4.16581982373474e-22,2.0410340084708878e-11
25,16,tis_anchored,300,4.16581982373474e-22,2.0410340084708878e-11
25,16,uniform,300,4.16581982373474e-22,2.0410340084708878e-11
25,17,complete_rollout,300,0.0,0.0
25,17,learned_occupancy,300,0.0,0.0
25,17,oracle_tail,300,0.0,0.0
25,17,tis,300,0.0,0.0
25,17,tis_anchored,300,0.0,0.0
25,17,uniform,300,0.0,0.0
25,18,complete_rollout,300,0.0,0.0
