budget_per_group,replication,method,panel_mse
100,0,complete_rollout,4.150886250707409e-05
100,0,learned_mean,1.4627924078356335e-05
100,0,learned_occupancy,1.7868310883996293e-05
100,0,occ_plus_mean,1.3426077781341164e-05
100,0,occ_plus_uniform,3.806317278899106e-05
100,0,oracle_tail,1.1057225339761232e-05
100,0,tis,1.861234618339753e-05
100,0,tis_anchored,1.6685004041213087e-05
100,0,uniform,0.00011271694732633028
100,1,complete_rollout,6.813499031202272e-05
100,1,learned_mean,3.446608097480602e-05
100,1,learned_occupancy,2.2886695719323793e-05
100,1,occ_plus_mean,1.8396904379750286e-05
100,1,occ_plus_uniform,3.234092213000799e-05
100,1,oracle_tail,8.184772137180537e-06
100,1,tis,3.466284916795667e-05
100,1,tis_anchored,2.054531850881579e-05
100,1,uniform,0.00010671710908989868
100,2,complete_rollout,5.4164828557271294e-05
100,2,learned_mean,2.412386892151874e-05
100,2,learned_occupancy,1.1562905762928797e-05
100,2,occ_plus_mean,1.796345636297593e-05
100,2,occ_plus_uniform,2.3264025059369445e-05
100,2,oracle_tail,6.920100231119491e-06
100,2,tis,3.3491534331908663e-05
100,2,tis_anchored,1.862316808675965e-05
100,2,uniform,6.548600057851483e-05
100,3,complete_rollout,5.538250170166109e-05
100,3,learned_mean,0.00027394463060552784
100,3,learned_occupancy,2.392642786922894e-05
100,3,occ_plus_mean,2.340171100636021e-05
100,3,occ_plus_uniform,3.543432404389451e-05
100,3,oracle_tail,5.292912500780707e-06
100,3,tis,5.441966884938437e-05
100,3,tis_anchored,2.102374694249617e-05
100,3,uniform,0.00013541212009911344
100,4,complete_rollout,5.514768096168595e-05
100,4,learned_mean,4.2006072725832135e-05
100,4,learned_occupancy,1.917112329575654e-05
100,4,occ_plus_mean,1.920356700539252e-05
100,4,occ_plus_uniform,2.4643062941666576e-05
100,4,oracle_tail,2.167009080420718e-05
100,4,tis,4.2324078506707215e-05
100,4,tis_anchored,2.4589177235461934e-05
100,4,uniform,6.970850441456154e-05
100,5,complete_rollout,6.055116380375356e-05
100,5,learned_mean,9.457922147210428e-06
100,5,learned_occupancy,1.558208472863586e-05
100,5,occ_plus_mean,8.915303134894582e-06
100,5,occ_plus_uniform,3.318516286925125e-05
100,5,oracle_tail,5.269843848802345e-06
100,5,tis,9.48709505816448e-06
100,5,tis_anchored,7.494877018626541e-06
100,5,uniform,9.992426837279666e-05
100,6,complete_rollout,0.00010078071522773941
100,6,learned_mean,1.2272241997370695e-05
100,6,learned_occupancy,2.1843438600042066e-05
100,6,occ_plus_mean,1.2882872033299818e-05
100,6,occ_plus_uniform,3.765456114906133e-05
100,6,oracle_tail,2.3140820220377906e-06
100,6,tis,1.4645382144499483e-05
100,6,tis_anchored,1.1712825256229714e-05
100,6,uniform,9.117491456698781e-05
100,7,complete_rollout,0.00011748507717521705
100,7,learned_mean,2.335755413133463e-05
100,7,learned_occupancy,1.3686092087370905e-05
100,7,occ_plus_mean,1.3823333233219875e-05
100,7,occ_plus_uniform,1.1112976829513322e-05
100,7,oracle_tail,1.090328475265293e-05
100,7,tis,2.2731339073026512e-05
100,7,tis_anchored,1.446252890701871e-05
100,7,uniform,6.363438824687866e-05
100,8,complete_rollout,5.605444912021496e-05
100,8,learned_mean,1.3884249104843413e-05
100,8,learned_occupancy,1.534106915716701e-05
100,8,occ_plus_mean,1.541196352481565e-05
100,8,occ_plus_uniform,4.179601771363778e-05
100,8,oracle_tail,2.7346431266896234e-05
100,8,tis,2.0239620044116684e-05
100,8,tis_anchored,2.1403954299385365e-05
100,8,uniform,0.00017571898354786024
100,9,complete_rollout,2.46002179342436e-05
100,9,learned_mean,3.196510348840552e-05
100,9,learned_occupancy,1.4924369213473816e-05
100,9,occ_plus_mean,1.5569207325945216e-05
100,9,occ_plus_uniform,3.090965502673285e-05
100,9,oracle_tail,7.792280100866088e-06
100,9,tis,4.8189082450122666e-05
100,9,tis_anchored,2.681623645349535e-05
100,9,uniform,7.967227656011489e-05
100,10,complete_rollout,4.307729200308798e-05
100,10,learned_mean,1.956233730949327e-05
100,10,learned_occupancy,9.447852765483397e-06
100,10,occ_plus_mean,2.738357980657892e-05
100,10,occ_plus_uniform,1.017599234814323e-05
100,10,oracle_tail,1.474431587576369e-05
100,10,tis,7.285467106637293e-05
100,10,tis_anchored,1.6545995881378256e-05
100,10,uniform,8.236873565028927e-05
100,11,complete_rollout,6.631713752354635e-05
100,11,learned_mean,2.4032470069324228e-05
100,11,learned_occupancy,1.6339465767037254e-05
100,11,occ_plus_mean,1.7536328429629883e-05
100,11,occ_plus_uniform,2.1155309888073562e-05
100,11,oracle_tail,1.013838758456536e-05
100,11,tis,5.766932414380224e-05
100,11,tis_anchored,1.6272656717034224e-05
100,11,uniform,0.00014497862689717854
100,12,complete_rollout,7.253020712899732e-05
100,12,learned_mean,9.132804223002598e-06
100,12,learned_occupancy,3.977725353111814e-05
100,12,occ_plus_mean,1.4139099697327884e-05
100,12,occ_plus_uniform,4.1122375266745816e-05
100,12,oracle_tail,1.1032617661392455e-05
100,12,tis,2.6348291625605187e-05
100,12,tis_anchored,2.1509848976204394e-05
100,12,uniform,6.995216295057134e-05
100,13,complete_rollout,5.957560673163822e-05
100,13,learned_mean,2.612039390690035e-05
100,13,learned_occupancy,1.8402012965146847e-05
100,13,occ_plus_mean,1.6588353090232977e-05
100,13,occ_plus_uniform,2.20951163887536e-05
100,13,oracle_tail,1.4585599456715758e-05
100,13,tis,2.430577173667314e-05
100,13,tis_anchored,1.816638809080311e-05
100,13,uniform,8.271213559578131e-05
100,14,complete_rollout,3.835027508195745e-05
100,14,learned_mean,2.16153427598558e-05
100,14,learned_occupancy,2.633675087838589e-05
100,14,occ_plus_mean,1.3167859021108294e-05
100,14,occ_plus_uniform,2.2291333268590497e-05
100,14,oracle_tail,7.413303290608497e-06
100,14,tis,3.547913776657935e-05
100,14,tis_anchored,1.1419929548124066e-05
100,14,uniform,0.00014204011224763086
100,15,complete_rollout,4.5368821633068504e-05
100,15,learned_mean,2.169555699166766e-05
100,15,learned_occupancy,2.2612995923805698e-05
100,15,occ_plus_mean,2.056267475030516e-05
100,15,occ_plus_uniform,1.1106451940890512e-05
100,15,oracle_tail,1.778762601938784e-05
100,15,tis,0.0001354546048191814
100,15,tis_anchored,1.7007721195330243e-05
100,15,uniform,0.00016154688361348483
100,16,complete_rollout,6.256771395364593e-05
100,16,learned_mean,2.003491814468106e-05
100,16,learned_occupancy,2.7099612566787618e-05
100,16,occ_plus_mean,1.827825226721374e-05
100,16,occ_plus_uniform,5.208166652428323e-05
100,16,oracle_tail,5.770587241389598e-06
100,16,tis,1.795780507886045e-05
100,16,tis_anchored,1.6919980620594328e-05
100,16,uniform,0.00015370520663684345
