budget_per_group,replication,method,panel_mse
100,0,complete_rollout,1.141246401479102e-05
100,0,learned_mean,3.538217750183586e-05
100,0,learned_occupancy,3.849689799405826e-05
100,0,occ_plus_mean,1.8297444114942922e-05
100,0,occ_plus_uniform,4.19767282228779e-05
100,0,oracle_tail,9.134806492368074e-06
100,0,tis,3.7228626042945684e-05
100,0,tis_anchored,2.09333476800449e-05
100,0,uniform,0.00016411796998180243
100,1,complete_rollout,1.4253759666767087e-05
100,1,learned_mean,4.345076730614517e-05
100,1,learned_occupancy,1.0166951319647693e-05
100,1,occ_plus_mean,4.637926007563984e-06
100,1,occ_plus_uniform,6.8932542159703975e-06
100,1,oracle_tail,1.076023525625351e-05
100,1,tis,4.2575490598195374e-05
100,1,tis_anchored,1.123244336938377e-05
100,1,uniform,0.00014577390319428252
100,2,complete_rollout,7.931439558124274e-05
100,2,learned_mean,2.1756427146376534e-05
100,2,learned_occupancy,3.368260482736907e-05
100,2,occ_plus_mean,2.0890546709388567e-05
100,2,occ_plus_uniform,3.461109273052147e-05
100,2,oracle_tail,1.06473756149078e-05
100,2,tis,2.4882625320541553e-05
100,2,tis_anchored,2.0552601797746414e-05
100,2,uniform,0.00012498207725789967
100,3,complete_rollout,5.173918550707458e-05
100,3,learned_mean,2.1468110437035427e-05
100,3,learned_occupancy,0.0002404274164096542
100,3,occ_plus_mean,4.863133315131508e-05
100,3,occ_plus_uniform,0.00012967970818909732
100,3,oracle_tail,2.424465982759771e-05
100,3,tis,3.1603497455310094e-05
100,3,tis_anchored,5.315690696445963e-05
100,3,uniform,7.479585106811365e-05
100,4,complete_rollout,6.37518147999032e-05
100,4,learned_mean,3.7557221525852295e-05
100,4,learned_occupancy,3.338265934555018e-05
100,4,occ_plus_mean,3.6631736090660324e-05
100,4,occ_plus_uniform,5.8254875355990386e-05
100,4,oracle_tail,1.1846484485351799e-05
100,4,tis,3.658103338357571e-05
100,4,tis_anchored,3.4197403643795754e-05
100,4,uniform,6.495022069174814e-05
100,5,complete_rollout,3.9423415185031597e-05
100,5,learned_mean,3.474638756784131e-05
100,5,learned_occupancy,2.678727776508855e-05
100,5,occ_plus_mean,1.7457125887263662e-05
100,5,occ_plus_uniform,2.904773735319748e-05
100,5,oracle_tail,1.4020267955754593e-05
100,5,tis,2.0028158890193014e-05
100,5,tis_anchored,1.2985322090558943e-05
100,5,uniform,0.00014505612064201018
100,6,complete_rollout,2.52108452907237e-05
100,6,learned_mean,1.8946729881815646e-05
100,6,learned_occupancy,3.2456946295226256e-05
100,6,occ_plus_mean,1.347034368766553e-05
100,6,occ_plus_uniform,2.9649145408655406e-05
100,6,oracle_tail,9.988100054983096e-06
100,6,tis,2.299948571553e-05
100,6,tis_anchored,1.8353053856808528e-05
100,6,uniform,0.00010330434448100245
