budget_per_group,replication,method,panel_mse
100,0,complete_rollout,7.581508648275284e-10
100,0,learned_mean,4.738391612004628e-06
100,0,learned_occupancy,3.1747068785808414e-06
100,0,occ_plus_mean,6.340211571536697e-06
100,0,occ_plus_uniform,4.719666390383418e-06
100,0,oracle_tail,8.514443393391342e-07
100,0,tis,4.738391612004628e-06
100,0,tis_anchored,4.719666390383418e-06
100,0,uniform,4.738391612004628e-06
100,1,complete_rollout,7.581508648275284e-10
100,1,learned_mean,5.719503958440982e-07
100,1,learned_occupancy,1.918415847894271e-06
100,1,occ_plus_mean,1.9043564268205763e-07
100,1,occ_plus_uniform,4.738391556609602e-06
100,1,oracle_tail,4.414757376410702e-07
100,1,tis,4.738391584712472e-06
100,1,tis_anchored,4.738391556609602e-06
100,1,uniform,4.738391605369656e-06
100,2,complete_rollout,2.7499804574009564e-07
100,2,learned_mean,8.168922211585278e-09
100,2,learned_occupancy,1.1805007841990695e-06
100,2,occ_plus_mean,1.366111487875079e-06
100,2,occ_plus_uniform,5.809787338821448e-06
100,2,oracle_tail,1.0417196398215983e-06
100,2,tis,8.168922211585278e-09
100,2,tis_anchored,1.366111487875079e-06
100,2,uniform,0.00019881405872128541
100,3,complete_rollout,3.332972362626542e-07
100,3,learned_mean,2.402474908828394e-07
100,3,learned_occupancy,3.9806847895546513e-07
100,3,occ_plus_mean,1.931825160788675e-07
100,3,occ_plus_uniform,6.032737213209099e-07
100,3,oracle_tail,1.5045272528601093e-07
100,3,tis,2.402474908828394e-07
100,3,tis_anchored,1.931825160788675e-07
100,3,uniform,1.757958126948815e-05
100,4,complete_rollout,3.332972362626542e-07
100,4,learned_mean,4.738391611977973e-06
100,4,learned_occupancy,3.9398367247577885e-08
100,4,occ_plus_mean,6.340212045448171e-06
100,4,occ_plus_uniform,4.719666864294893e-06
100,4,oracle_tail,2.2687075499995347e-07
100,4,tis,2.789189447324402e-05
100,4,tis_anchored,4.719666864294893e-06
100,4,uniform,8.698422468260918e-05
100,5,complete_rollout,7.581508648275284e-10
100,5,learned_mean,1.1153909655534705e-06
100,5,learned_occupancy,4.024957236884184e-07
100,5,occ_plus_mean,1.2756030789923275e-06
100,5,occ_plus_uniform,6.083491689080326e-07
100,5,oracle_tail,8.00205671680384e-07
100,5,tis,1.1153909655534705e-06
100,5,tis_anchored,1.2756030789923275e-06
100,5,uniform,4.7383916104300845e-06
100,6,complete_rollout,7.581508648275284e-10
100,6,learned_mean,1.3773269341432212e-06
100,6,learned_occupancy,4.433662000007618e-08
100,6,occ_plus_mean,8.180050550738409e-07
100,6,occ_plus_uniform,9.03542092254382e-06
100,6,oracle_tail,4.4143103006113945e-07
100,6,tis,3.33888566932441e-05
