budget_per_group,replication,method,panel_mse
100,0,complete_rollout,5.7012399400509e-07
100,0,learned_mean,1.0052393270945824e-05
100,0,learned_occupancy,4.099370311094352e-06
100,0,occ_plus_mean,6.005415673263245e-06
100,0,occ_plus_uniform,5.1644181962984965e-06
100,0,oracle_tail,8.54824844032906e-07
100,0,tis,1.3444933985974876e-05
100,0,tis_anchored,5.1644181962984965e-06
100,0,uniform,1.3444933985974876e-05
100,1,complete_rollout,1.9923424482265515e-06
100,1,learned_mean,7.3184311622802665e-06
100,1,learned_occupancy,3.0053354179468184e-06
100,1,occ_plus_mean,1.8250575395898382e-07
100,1,occ_plus_uniform,5.347454350701353e-06
100,1,oracle_tail,4.826033013313109e-07
100,1,tis,1.1788014658944024e-05
100,1,tis_anchored,5.347454350701353e-06
100,1,uniform,7.323278815690783e-06
100,2,complete_rollout,4.358940398184732e-07
100,2,learned_mean,6.4495389543373735e-06
100,2,learned_occupancy,3.753943968528738e-06
100,2,occ_plus_mean,4.199175888891905e-06
100,2,occ_plus_uniform,8.42873714374529e-06
100,2,oracle_tail,1.4047716266736191e-06
100,2,tis,6.4495389543373735e-06
100,2,tis_anchored,4.199175888891905e-06
100,2,uniform,0.00044901344514429627
100,3,complete_rollout,2.024660848433948e-06
100,3,learned_mean,8.231197839085371e-06
100,3,learned_occupancy,3.9772964157895036e-06
100,3,occ_plus_mean,8.287294054347189e-06
100,3,occ_plus_uniform,8.84616015671067e-06
100,3,oracle_tail,1.4830734887161794e-07
100,3,tis,8.231197839085371e-06
100,3,tis_anchored,8.287294054347189e-06
100,3,uniform,2.7349323083889383e-05
100,4,complete_rollout,1.4133856899180206e-06
100,4,learned_mean,4.4483495953331355e-05
100,4,learned_occupancy,1.1439464146089515e-07
100,4,occ_plus_mean,5.1644181962984965e-06
100,4,occ_plus_uniform,5.1644181962984965e-06
100,4,oracle_tail,3.7961829445620163e-07
100,4,tis,4.4483495953331355e-05
100,4,tis_anchored,5.1644181962984965e-06
100,4,uniform,0.00015494189442218176
100,5,complete_rollout,3.241145633889904e-06
100,5,learned_mean,6.781070513322662e-06
100,5,learned_occupancy,3.918339861805258e-06
100,5,occ_plus_mean,2.378427241433556e-06
100,5,occ_plus_uniform,1.751388187783983e-06
100,5,oracle_tail,9.336370043403248e-07
100,5,tis,6.781070513322662e-06
100,5,tis_anchored,2.378427241433556e-06
100,5,uniform,7.323278815690783e-06
100,6,complete_rollout,5.7012399400509e-07
100,6,learned_mean,8.173772664790412e-06
100,6,learned_occupancy,7.617386806413256e-07
100,6,occ_plus_mean,6.58659390653859e-07
100,6,occ_plus_uniform,1.2173514367730018e-05
100,6,oracle_tail,4.4955100731903893e-07
100,6,tis,4.6140415280362204e-05
100,6,tis_anchored,1.2173514367730018e-05
