budget_per_group,replication,method,panel_mse
100,0,complete_rollout,1.736248773531166e-05
100,0,learned_mean,2.0956311283505537e-05
100,0,learned_occupancy,1.7991114752584335e-05
100,0,occ_plus_mean,1.639584619225521e-05
100,0,occ_plus_uniform,2.460342497812523e-05
100,0,oracle_tail,6.733599365602106e-06
100,0,tis,6.668321464099757e-05
100,0,tis_anchored,1.3780534331172487e-05
100,0,uniform,0.00012078067748585534
100,1,complete_rollout,1.6070327924317566e-05
100,1,learned_mean,7.136734265303902e-05
100,1,learned_occupancy,9.764793539744287e-06
100,1,occ_plus_mean,3.7292739222827223e-06
100,1,occ_plus_uniform,7.842174081999382e-06
100,1,oracle_tail,3.271867761502673e-06
100,1,tis,5.874954857985153e-05
100,1,tis_anchored,3.727643828766382e-06
100,1,uniform,0.0002583233975409142
100,2,complete_rollout,1.1001598818820077e-05
100,2,learned_mean,2.0817363776731022e-05
100,2,learned_occupancy,1.5082557801410502e-05
100,2,occ_plus_mean,9.823743100085121e-06
100,2,occ_plus_uniform,2.301259908569351e-05
100,2,oracle_tail,4.965003882531748e-05
100,2,tis,5.095988102151875e-05
100,2,tis_anchored,1.0740721713191436e-05
100,2,uniform,8.815696334205068e-05
100,3,complete_rollout,8.72968797157436e-06
100,3,learned_mean,7.74673957170661e-05
100,3,learned_occupancy,1.9611225765562758e-05
100,3,occ_plus_mean,2.136933603904263e-05
100,3,occ_plus_uniform,2.4026736143807902e-05
100,3,oracle_tail,1.665053340088973e-05
100,3,tis,6.796600637341573e-05
100,3,tis_anchored,2.79808190591848e-05
100,3,uniform,5.067464663626029e-05
100,4,complete_rollout,1.0244804812773236e-05
100,4,learned_mean,3.20848625259984e-05
100,4,learned_occupancy,2.0502761838547693e-05
100,4,occ_plus_mean,2.555019569363087e-05
100,4,occ_plus_uniform,1.3569141296426894e-05
100,4,oracle_tail,7.4236169727502295e-06
100,4,tis,3.3031420053529363e-05
100,4,tis_anchored,1.3027883578759284e-05
100,4,uniform,0.00021692537131274268
100,5,complete_rollout,1.5460607459515667e-05
100,5,learned_mean,0.00012562692539985093
100,5,learned_occupancy,9.525802280137335e-06
100,5,occ_plus_mean,8.990792974568906e-06
100,5,occ_plus_uniform,1.5159310748125e-05
100,5,oracle_tail,7.20691685403121e-06
100,5,tis,0.0001366572824237726
100,5,tis_anchored,1.4911286870256802e-05
100,5,uniform,0.00019485937738246092
100,6,complete_rollout,1.1854964583663188e-05
100,6,learned_mean,2.6261139382349177e-05
100,6,learned_occupancy,1.1030210565534775e-05
100,6,occ_plus_mean,1.6308005181825543e-05
100,6,occ_plus_uniform,3.014467907754395e-05
100,6,oracle_tail,2.3688027790800806e-05
100,6,tis,5.254077890475153e-05
100,6,tis_anchored,1.5156480901888492e-05
100,6,uniform,0.00010616020567923498
100,7,complete_rollout,1.66281209441311e-05
100,7,learned_mean,9.065653293109721e-05
100,7,learned_occupancy,4.558448805228914e-05
100,7,occ_plus_mean,5.206377812318429e-05
100,7,occ_plus_uniform,3.3637465003287025e-05
100,7,oracle_tail,1.4509287646546452e-06
100,7,tis,0.00012641680496206021
100,7,tis_anchored,5.055870176964158e-05
100,7,uniform,0.00016016685095614005
100,8,complete_rollout,1.6329669504558966e-05
100,8,learned_mean,0.00013813567300555846
100,8,learned_occupancy,5.7987502473766926e-05
100,8,occ_plus_mean,6.974518178888493e-05
100,8,occ_plus_uniform,1.547034391532385e-05
100,8,oracle_tail,2.631216950912374e-05
100,8,tis,0.00023271766326341133
100,8,tis_anchored,1.687466723311346e-05
100,8,uniform,0.0001673815143585624
100,9,complete_rollout,2.7946925811212757e-05
100,9,learned_mean,7.281718988817709e-05
100,9,learned_occupancy,2.845528283847064e-05
100,9,occ_plus_mean,2.125459246447672e-05
100,9,occ_plus_uniform,3.277857759745257e-05
100,9,oracle_tail,9.585421867890577e-06
100,9,tis,9.587306145735691e-05
100,9,tis_anchored,3.127028353094722e-05
100,9,uniform,0.00011454796236444196
100,10,complete_rollout,2.01673830861732e-05
100,10,learned_mean,5.649093655938213e-05
100,10,learned_occupancy,2.2428934130030384e-05
100,10,occ_plus_mean,2.2323860607729144e-05
100,10,occ_plus_uniform,1.73194173354648e-05
100,10,oracle_tail,7.583798106082169e-06
100,10,tis,8.205982834781373e-05
100,10,tis_anchored,2.5874878472116458e-05
100,10,uniform,0.00013321440439735698
100,11,complete_rollout,1.133491317454524e-05
100,11,learned_mean,4.789802180140556e-05
100,11,learned_occupancy,1.644011778390439e-05
100,11,occ_plus_mean,2.59426653318002e-05
100,11,occ_plus_uniform,1.5880455918470654e-05
100,11,oracle_tail,4.699280681427469e-06
100,11,tis,4.37741618045777e-05
100,11,tis_anchored,2.7212095797678956e-05
100,11,uniform,0.0001378312221129263
100,12,complete_rollout,3.685949906241653e-06
100,12,learned_mean,2.7720119897016285e-05
100,12,learned_occupancy,9.479129490012293e-06
100,12,occ_plus_mean,7.193077138313392e-06
100,12,occ_plus_uniform,1.0129848722075673e-05
100,12,oracle_tail,7.54917894802801e-06
100,12,tis,2.4594813407948434e-05
100,12,tis_anchored,6.1462051866510554e-06
100,12,uniform,8.618104202717234e-05
100,13,complete_rollout,1.1147611474364073e-05
100,13,learned_mean,5.459084403667479e-05
100,13,learned_occupancy,1.7050603680080094e-05
100,13,occ_plus_mean,2.0705480257712954e-05
100,13,occ_plus_uniform,1.1375696784612942e-05
100,13,oracle_tail,6.963391758913026e-06
100,13,tis,4.9496962535573464e-05
100,13,tis_anchored,2.0513316505267428e-05
100,13,uniform,0.0001899469271822239
100,14,complete_rollout,6.7787428677297305e-06
100,14,learned_mean,3.7032154215285995e-05
100,14,learned_occupancy,2.317288952679661e-05
100,14,occ_plus_mean,3.9696311585441815e-05
100,14,occ_plus_uniform,1.9932966296876013e-05
100,14,oracle_tail,7.924496828654498e-06
100,14,tis,0.00024800142365428513
100,14,tis_anchored,4.266063348350318e-05
100,14,uniform,0.00020761962567902525
100,15,complete_rollout,2.1726462906022262e-05
100,15,learned_mean,0.00012060295102525884
100,15,learned_occupancy,0.0002422095923989488
100,15,occ_plus_mean,0.0001857537360939062
100,15,occ_plus_uniform,8.187033042144065e-06
100,15,oracle_tail,0.00011717618249751621
100,15,tis,0.0002604659432912856
100,15,tis_anchored,0.0001832630035238048
100,15,uniform,0.00018244122000510873
100,16,complete_rollout,6.488900106394807e-06
100,16,learned_mean,1.606352023627507e-05
100,16,learned_occupancy,2.995177101786563e-05
100,16,occ_plus_mean,1.6014795570069986e-05
100,16,occ_plus_uniform,1.251161351224783e-05
100,16,oracle_tail,2.3532129468867357e-05
100,16,tis,1.9750686312852163e-05
100,16,tis_anchored,1.3539066318830112e-05
100,16,uniform,0.00023953300397247428
100,17,complete_rollout,1.622077148988213e-05
100,17,learned_mean,8.42719297442743e-05
100,17,learned_occupancy,1.4216283344699514e-05
100,17,occ_plus_mean,8.964615348391565e-06
100,17,occ_plus_uniform,6.784003961561911e-06
100,17,oracle_tail,2.0195956512497428e-05
100,17,tis,0.00029522863331159845
100,17,tis_anchored,6.172811907305745e-06
100,17,uniform,0.00010656090290173889
100,18,complete_rollout,1.2711038921367091e-05
100,18,learned_mean,0.00011268921278714005
100,18,learned_occupancy,7.716270486606041e-06
100,18,occ_plus_mean,7.1741775485869914e-06
100,18,occ_plus_uniform,2.269091616332457e-05
100,18,oracle_tail,5.805191282319696e-06
100,18,tis,0.00014846429667399655
100,18,tis_anchored,7.970870566528996e-06
100,18,uniform,0.00010787923619480817
100,19,complete_rollout,1.665913416362752e-05
100,19,learned_mean,0.00013392951038145558
100,19,learned_occupancy,2.94955732277168e-05
100,19,occ_plus_mean,1.4644053874902673e-05
100,19,occ_plus_uniform,1.6227844904228733e-05
100,19,oracle_tail,5.462531480246546e-06
100,19,tis,8.264727646159889e-05
100,19,tis_anchored,1.8016085637171638e-05
100,19,uniform,0.00023330169218449434
100,20,complete_rollout,1.236864677946239e-05
100,20,learned_mean,6.930575253743946e-05
100,20,learned_occupancy,9.428947754884779e-06
100,20,occ_plus_mean,2.7640010175065996e-05
100,20,occ_plus_uniform,2.013534103395865e-05
100,20,oracle_tail,7.020044061024552e-06
100,20,tis,0.0001184850629141731
100,20,tis_anchored,2.9236390425827707e-05
100,20,uniform,0.00010724046367208227
100,21,complete_rollout,4.771246135838874e-06
100,21,learned_mean,3.4665559267286366e-05
100,21,learned_occupancy,2.190480550270972e-05
100,21,occ_plus_mean,3.174441981840506e-05
100,21,occ_plus_uniform,2.5935492194857277e-05
100,21,oracle_tail,1.57067622623191e-05
100,21,tis,6.88040768826496e-05
100,21,tis_anchored,2.3523541024537736e-05
100,21,uniform,0.0003208345007695675
100,22,complete_rollout,3.5947467777157693e-06
100,22,learned_mean,3.7075942385497823e-05
100,22,learned_occupancy,1.965297938427771e-05
100,22,occ_plus_mean,8.562971518255797e-06
100,22,occ_plus_uniform,9.675871225043155e-06
100,22,oracle_tail,4.895007316554338e-06
100,22,tis,0.0005238372454711937
100,22,tis_anchored,1.348358146335597e-05
100,22,uniform,0.00015152937139315247
100,23,complete_rollout,1.3444223019815559e-05
100,23,learned_mean,1.6400474022101125e-05
100,23,learned_occupancy,3.0375830576384132e-05
100,23,occ_plus_mean,2.019673123331525e-05
100,23,occ_plus_uniform,1.598085974853341e-05
100,23,oracle_tail,3.2082961745955266e-06
100,23,tis,4.825922089606643e-05
100,23,tis_anchored,2.1372166391706272e-05
100,23,uniform,0.00017426374516552203
100,24,complete_rollout,7.748886159115905e-06
100,24,learned_mean,0.00010389180058107996
100,24,learned_occupancy,1.8396659642723126e-05
100,24,occ_plus_mean,1.190459835097375e-05
100,24,occ_plus_uniform,1.8777077922071952e-05
100,24,oracle_tail,7.154670939421195e-06
100,24,tis,0.00013754424093315664
100,24,tis_anchored,1.1856957543513077e-05
100,24,uniform,0.0004434303653152801
100,25,complete_rollout,8.88028513202599e-06
100,25,learned_mean,8.961315975309771e-05
100,25,learned_occupancy,8.7458332528181e-06
100,25,occ_plus_mean,1.0187785050689675e-05
100,25,occ_plus_uniform,2.6472076946644215e-06
100,25,oracle_tail,2.8644543159608808e-06
100,25,tis,0.00023602341180781943
100,25,tis_anchored,9.618204110376246e-06
100,25,uniform,0.00020231674869582085
100,26,complete_rollout,1.0513771812214308e-05
100,26,learned_mean,8.521071503637141e-05
100,26,learned_occupancy,3.0417908975224673e-05
100,26,occ_plus_mean,2.9762513441865756e-05
100,26,occ_plus_uniform,3.059486582985567e-05
100,26,oracle_tail,1.843442889610835e-05
100,26,tis,7.764565801049628e-05
100,26,tis_anchored,2.187961136967613e-05
100,26,uniform,0.00019851147668334168
100,27,complete_rollout,2.1988332962702728e-05
100,27,learned_mean,8.954088359715265e-05
100,27,learned_occupancy,1.3358990841794607e-05
100,27,occ_plus_mean,1.4078841609038482e-05
100,27,occ_plus_uniform,6.989882944804943e-06
100,27,oracle_tail,3.861966530509977e-05
100,27,tis,0.00014061995789831094
100,27,tis_anchored,8.222248853892214e-06
100,27,uniform,0.00014236970404853867
100,28,complete_rollout,1.2311002727511736e-05
100,28,learned_mean,0.00017178054641412815
100,28,learned_occupancy,1.9988699821322754e-05
100,28,occ_plus_mean,2.6803674547980174e-05
100,28,occ_plus_uniform,6.720666357181175e-06
100,28,oracle_tail,3.1579896593253843e-06
100,28,tis,0.00021083855173568348
100,28,tis_anchored,2.2352928175914358e-05
100,28,uniform,7.95651639227063e-05
100,29,complete_rollout,9.749153200328602e-06
100,29,learned_mean,0.0002014073051146751
100,29,learned_occupancy,9.616879957751748e-06
100,29,occ_plus_mean,1.549469890204666e-05
100,29,occ_plus_uniform,1.5102440993371676e-05
100,29,oracle_tail,1.5438449930016035e-05
100,29,tis,6.0790488645159904e-05
100,29,tis_anchored,1.5345731689589227e-05
100,29,uniform,0.00017095954461117217
100,30,complete_rollout,1.1381532534954315e-05
100,30,learned_mean,8.214691403581941e-05
100,30,learned_occupancy,2.7088124318897867e-05
100,30,occ_plus_mean,1.6540850721684488e-05
100,30,occ_plus_uniform,1.812673147003277e-05
100,30,oracle_tail,8.242673822512258e-06
100,30,tis,8.118530192503387e-05
100,30,tis_anchored,1.2373422480993916e-05
100,30,uniform,9.978352949959385e-05
100,31,complete_rollout,1.3887135602308619e-05
100,31,learned_mean,3.7850883902742095e-05
100,31,learned_occupancy,1.8447335985646966e-05
100,31,occ_plus_mean,2.3307241866459802e-05
100,31,occ_plus_uniform,1.9761339578213855e-05
100,31,oracle_tail,1.999834678999674e-05
100,31,tis,4.992565635644178e-05
100,31,tis_anchored,1.941090095818665e-05
100,31,uniform,0.00010278026096107575
100,32,complete_rollout,9.878825710902485e-06
100,32,learned_mean,2.987422802911574e-05
100,32,learned_occupancy,1.6802895684044432e-05
100,32,occ_plus_mean,1.0538742482951638e-05
100,32,occ_plus_uniform,1.0685651975362135e-05
100,32,oracle_tail,9.688646964271777e-06
100,32,tis,5.23452324973622e-05
100,32,tis_anchored,1.202332026584397e-05
100,32,uniform,0.00013574175924873345
100,33,complete_rollout,5.095377636331117e-06
100,33,learned_mean,3.713292733653747e-05
100,33,learned_occupancy,8.891003378864153e-06
100,33,occ_plus_mean,4.062592589084021e-06
100,33,occ_plus_uniform,1.8999436856900334e-05
100,33,oracle_tail,1.117689273138159e-06
100,33,tis,0.00017928492434688307
100,33,tis_anchored,9.531624044160538e-06
100,33,uniform,0.00014291617939124184
100,34,complete_rollout,4.6767852854301595e-06
100,34,learned_mean,9.140053038300516e-05
100,34,learned_occupancy,1.1920908477168157e-05
100,34,occ_plus_mean,8.407661988808955e-06
100,34,occ_plus_uniform,8.199981878361963e-06
100,34,oracle_tail,5.468836265604149e-05
100,34,tis,9.916674057655317e-05
100,34,tis_anchored,1.3668672027577657e-05
100,34,uniform,0.00014759107580900575
100,35,complete_rollout,3.849726372645773e-06
100,35,learned_mean,1.7572124046096126e-05
100,35,learned_occupancy,2.8825687459604992e-05
100,35,occ_plus_mean,1.1883198345655777e-05
100,35,occ_plus_uniform,3.739229440741641e-05
100,35,oracle_tail,9.476535590396903e-06
100,35,tis,2.0724603852676775e-05
100,35,tis_anchored,1.2461490277279486e-05
100,35,uniform,0.00014801660798237094
100,36,complete_rollout,9.287514554494607e-06
100,36,learned_mean,4.55448318663338e-05
100,36,learned_occupancy,3.1602003471841866e-05
100,36,occ_plus_mean,3.337025353464199e-05
100,36,occ_plus_uniform,4.59505269797609e-05
100,36,oracle_tail,1.142796367880481e-05
