budget_per_group,panel_index,method,replications,mse,bias
100,0,complete_rollout,300,1.1821196032602836e-06,0.00012671743532020644
100,0,learned_mean,300,8.906813085631588e-06,0.00011586710569271075
100,0,learned_occupancy,300,2.333531870534655e-06,-4.614490177318113e-05
100,0,occ_plus_mean,300,1.7811849819622826e-06,-4.965354968381094e-06
100,0,occ_plus_uniform,300,1.3023031726581989e-06,-0.00010101795288658695
100,0,oracle_tail,300,1.6321116907432325e-07,-3.404689688494648e-05
100,0,tis,300,8.313635656184214e-06,0.00010724139310254104
100,0,tis_anchored,300,1.559944520877416e-06,-2.408597584218593e-05
100,0,uniform,300,1.6094288979250378e-06,-5.370270659532291e-05
100,1,complete_rollout,300,5.655397670562711e-06,2.385143180641795e-05
100,1,learned_mean,300,0.00018883703911537004,-0.0015753896536691554
100,1,learned_occupancy,300,1.733730946296297e-05,-0.00034225887476398614
100,1,occ_plus_mean,300,9.821699668075075e-06,-0.00033928231102000456
100,1,occ_plus_uniform,300,6.933010645047115e-06,-9.684767028882805e-05
100,1,oracle_tail,300,1.3963515963241958e-06,7.072390516196977e-06
100,1,tis,300,6.476214457189223e-05,-0.0009471094352742493
100,1,tis_anchored,300,9.01027380381033e-06,-0.00034790642797067153
100,1,uniform,300,6.223105865742424e-05,-0.00030860198926535874
100,2,complete_rollout,300,5.602362977490893e-13,-8.235078917303203e-08
100,2,learned_mean,300,4.673914910602142e-12,-1.0863757213819269e-08
100,2,learned_occupancy,300,1.4912781659402333e-12,1.869858293461017e-08
100,2,occ_plus_mean,300,1.401054312961716e-12,2.1209945341530793e-08
100,2,occ_plus_uniform,300,1.2097817818721432e-12,4.325893644778015e-08
100,2,oracle_tail,300,4.1002690787596723e-13,9.810766320080452e-09
100,2,tis,300,1.1462294105850894e-11,-6.486803807363255e-08
100,2,tis_anchored,300,1.3614377780695576e-12,3.928141360705813e-08
100,2,uniform,300,1.5193526272363852e-11,-3.8878712239842626e-07
100,3,complete_rollout,300,1.4733650490143866e-07,-1.8131082207630084e-05
