budget_per_group,panel_index,method,replications,mse,bias
100,0,complete_rollout,300,0.0,0.0
100,0,learned_mean,300,0.0,0.0
100,0,learned_occupancy,300,0.0,0.0
100,0,occ_plus_mean,300,0.0,0.0
100,0,occ_plus_uniform,300,0.0,0.0
100,0,oracle_tail,300,0.0,0.0
100,0,tis,300,0.0,0.0
100,0,tis_anchored,300,0.0,0.0
100,0,uniform,300,0.0,0.0
100,1,complete_rollout,300,0.0,0.0
100,1,learned_mean,300,0.0,0.0
100,1,learned_occupancy,300,0.0,0.0
100,1,occ_plus_mean,300,0.0,0.0
100,1,occ_plus_uniform,300,0.0,0.0
100,1,oracle_tail,300,0.0,0.0
100,1,tis,300,0.0,0.0
100,1,tis_anchored,300,0.0,0.0
100,1,uniform,300,0.0,0.0
100,2,complete_rollout,300,3.5626191198204817e-22,1.8874901641652286e-11
100,2,learned_mean,300,3.5626191198204817e-22,1.8874901641652286e-11
100,2,learned_occupancy,300,3.5626191198204817e-22,1.8874901641652286e-11
100,2,occ_plus_mean,300,3.5626191198204817e-22,1.8874901641652286e-11
100,2,occ_plus_uniform,300,3.5626191198204817e-22,1.8874901641652286e-11
100,2,oracle_tail,300,2.0769739124235142e-20,8.926459571512168e-13
100,2,tis,300,3.5626191198204817e-22,1.8874901641652286e-11
100,2,tis_anchored,300,3.5626191198204817e-22,1.8874901641652286e-11
100,2,uniform,300,3.5626191198204817e-22,1.8874901641652286e-11
100,3,complete_rollout,300,1.2680361254033332e-05,0.00017246443595311244
100,3,learned_mean,300,0.0006285777960721325,-0.001100709005542148
100,3,learned_occupancy,300,1.9538236395685885e-05,-3.251482221560057e-05
100,3,occ_plus_mean,300,3.366756384992566e-05,0.00010756551497218621
100,3,occ_plus_uniform,300,3.676979380753062e-05,0.0002854381847604685
100,3,oracle_tail,300,4.449783626753147e-06,5.904631108044622e-05
100,3,tis,300,0.0006552123851120445,-0.0012761609525690498
100,3,tis_anchored,300,3.405562159803955e-05,0.0001717264650835341
100,3,uniform,300,0.0005894290651358975,-0.0007127090808905108
100,4,complete_rollout,300,3.649464146526126e-06,0.00015165523515130378
100,4,learned_mean,300,9.947939738277171e-05,-0.000750950652969411
100,4,learned_occupancy,300,9.31247352762592e-06,0.00016110635002126875
