budget_per_group,replication,method,panel_mse
100,0,complete_rollout,6.640370090077286e-07
100,0,learned_mean,1.5341184602502004e-05
100,0,learned_occupancy,8.809019025694565e-07
100,0,occ_plus_mean,9.264633629269956e-07
100,0,occ_plus_uniform,9.264633629269956e-07
100,0,oracle_tail,3.6339004950002885e-07
100,0,tis,1.5341184602502004e-05
100,0,tis_anchored,9.264633629269956e-07
100,0,uniform,1.6832102093798246e-05
100,1,complete_rollout,8.884761888075253e-07
100,1,learned_mean,2.5584317546147845e-05
100,1,learned_occupancy,1.8982074988061987e-06
100,1,occ_plus_mean,3.4441696270960917e-06
100,1,occ_plus_uniform,3.4441696270960917e-06
100,1,oracle_tail,3.0324065617063077e-07
100,1,tis,2.5584317546147845e-05
100,1,tis_anchored,3.4441696270960917e-06
100,1,uniform,1.3058642485706865e-05
100,2,complete_rollout,3.0386873736795546e-07
100,2,learned_mean,8.519731972454793e-06
100,2,learned_occupancy,6.296303181650457e-07
100,2,occ_plus_mean,6.705725809941427e-07
100,2,occ_plus_uniform,3.051323133103623e-07
100,2,oracle_tail,3.0203637872237856e-07
100,2,tis,1.3222445698214343e-05
100,2,tis_anchored,3.051323133103623e-07
100,2,uniform,1.4089859940705772e-05
100,3,complete_rollout,2.096829693195625e-06
100,3,learned_mean,8.867191178206187e-06
100,3,learned_occupancy,8.22994190021581e-07
100,3,occ_plus_mean,1.3212734532846491e-06
100,3,occ_plus_uniform,1.3212734532846491e-06
100,3,oracle_tail,4.7599540814253674e-07
100,3,tis,8.867191178206187e-06
100,3,tis_anchored,1.3212734532846491e-06
100,3,uniform,6.940320231410922e-06
100,4,complete_rollout,9.692352914102735e-07
100,4,learned_mean,1.3146043381233956e-05
100,4,learned_occupancy,1.1274197062129853e-06
100,4,occ_plus_mean,1.5213341485116722e-06
100,4,occ_plus_uniform,1.535352975379617e-06
100,4,oracle_tail,2.0444881140152745e-07
100,4,tis,1.3146043381233956e-05
100,4,tis_anchored,1.5213341485116722e-06
100,4,uniform,2.5584317546147845e-05
100,5,complete_rollout,7.600251169310138e-07
100,5,learned_mean,4.3414539543464114e-05
100,5,learned_occupancy,2.004827834012822e-06
100,5,occ_plus_mean,3.1316652186713315e-06
100,5,occ_plus_uniform,3.1316652186713315e-06
100,5,oracle_tail,6.00035074778006e-07
100,5,tis,4.3414539543464114e-05
100,5,tis_anchored,3.1316652186713315e-06
100,5,uniform,2.9795951746034907e-05
100,6,complete_rollout,5.006704708042673e-07
100,6,learned_mean,0.00021497292469018284
100,6,learned_occupancy,2.0705592610388554e-07
100,6,occ_plus_mean,2.5828773449486738e-06
100,6,occ_plus_uniform,2.4625427247849383e-06
100,6,oracle_tail,8.347047070953822e-08
100,6,tis,0.00020291055391262843
100,6,tis_anchored,2.4625427247849383e-06
100,6,uniform,0.00013362343623309783
100,7,complete_rollout,4.589336019586821e-07
100,7,learned_mean,1.325289427393193e-05
100,7,learned_occupancy,5.453088959546643e-07
100,7,occ_plus_mean,1.8079859701014373e-06
100,7,occ_plus_uniform,1.3853071901011892e-06
100,7,oracle_tail,5.496763433624051e-07
100,7,tis,1.325289427393193e-05
100,7,tis_anchored,1.8079859701014373e-06
100,7,uniform,2.974112366938615e-05
100,8,complete_rollout,5.560344651686277e-07
100,8,learned_mean,4.508522435106909e-05
100,8,learned_occupancy,4.309795713645798e-07
100,8,occ_plus_mean,5.703896923218355e-07
100,8,occ_plus_uniform,5.614488587042168e-07
100,8,oracle_tail,2.2614010355248948e-07
100,8,tis,4.508522435106909e-05
100,8,tis_anchored,5.703896923218355e-07
100,8,uniform,2.9230819309161866e-05
100,9,complete_rollout,8.455942759552463e-07
100,9,learned_mean,1.3220660122944228e-05
100,9,learned_occupancy,6.997757781582123e-07
100,9,occ_plus_mean,3.5026682807418665e-07
100,9,occ_plus_uniform,2.447720361575242e-07
100,9,oracle_tail,2.17854548818664e-07
100,9,tis,1.3220660122944228e-05
100,9,tis_anchored,3.5026682807418665e-07
100,9,uniform,1.4650531200263555e-05
100,10,complete_rollout,6.225114527800091e-07
100,10,learned_mean,9.97686334245042e-06
100,10,learned_occupancy,3.034720757705333e-07
100,10,occ_plus_mean,5.983154383538723e-07
100,10,occ_plus_uniform,5.651370227168429e-07
100,10,oracle_tail,3.4589117222652837e-07
100,10,tis,9.97686334245042e-06
100,10,tis_anchored,5.983154383538723e-07
100,10,uniform,6.834793331070198e-06
100,11,complete_rollout,6.760240296435684e-07
100,11,learned_mean,1.3939035434318253e-05
100,11,learned_occupancy,2.484142970656636e-07
100,11,occ_plus_mean,2.6300328666126206e-06
100,11,occ_plus_uniform,2.6300328666126206e-06
100,11,oracle_tail,1.1025724029796219e-07
100,11,tis,1.3939035434318253e-05
100,11,tis_anchored,2.6300328666126206e-06
100,11,uniform,3.802391062829922e-05
100,12,complete_rollout,8.327628496407417e-07
100,12,learned_mean,9.492000240018788e-06
100,12,learned_occupancy,2.7103810585011277e-08
100,12,occ_plus_mean,5.339949998986548e-08
100,12,occ_plus_uniform,1.2648670862567092e-06
100,12,oracle_tail,7.470208971553461e-08
100,12,tis,1.4342375208363273e-05
100,12,tis_anchored,1.2648670862567092e-06
100,12,uniform,1.2081801124565791e-05
100,13,complete_rollout,4.9020109867506935e-08
100,13,learned_mean,4.855585617174661e-06
100,13,learned_occupancy,1.100029263976027e-06
100,13,occ_plus_mean,2.606431756519458e-07
100,13,occ_plus_uniform,9.885997978375216e-07
100,13,oracle_tail,3.927084402095695e-08
100,13,tis,9.902706947043524e-06
100,13,tis_anchored,2.796267582108184e-07
100,13,uniform,1.0847619510364247e-05
100,14,complete_rollout,7.151229440860089e-07
100,14,learned_mean,1.3176784346060667e-05
100,14,learned_occupancy,7.648663132454513e-07
100,14,occ_plus_mean,1.6973948936786924e-06
100,14,occ_plus_uniform,1.696202568346009e-06
100,14,oracle_tail,2.1029294196707643e-07
100,14,tis,1.3176784346060667e-05
100,14,tis_anchored,1.6973948936786924e-06
100,14,uniform,1.353771950887562e-05
100,15,complete_rollout,8.65328650393439e-08
100,15,learned_mean,8.504963989598057e-06
