budget_per_group,method,replications,panel_mse,mcse,normalized_to_uniform
100,complete_rollout,300,7.527301242689604e-07,3.560513786546896e-08,0.022673768008308323
100,learned_mean,300,3.128785529566688e-05,2.75473004847888e-06,0.9424540742811949
100,learned_occupancy,300,1.4602805398647296e-06,1.0168307412234629e-07,0.043986630958998865
100,occ_plus_mean,300,1.5376854337873539e-06,8.244601620514912e-08,0.046318224382623015
100,occ_plus_uniform,300,1.8478383029285956e-06,8.367375489336629e-08,0.055660661964551085
100,oracle_tail,300,2.7477870206447105e-07,1.4408966976789765e-08,0.008276895454774879
100,tis,300,3.5539482995954816e-05,2.852611090307171e-06,1.0705217801241738
100,tis_anchored,300,1.6732184807831822e-06,8.383242333951695e-08,0.050400756442871106
100,uniform,300,3.3198281114684526e-05,2.461015547100048e-06,1.0
200,complete_rollout,300,3.702228099132615e-07,1.8083636544524975e-08,0.022280716076306887
200,learned_mean,300,9.044992929405757e-06,1.0039735825481886e-06,0.5443449565398432
200,learned_occupancy,300,5.835931032396215e-07,3.845237538488464e-08,0.035121748010121974
200,occ_plus_mean,300,5.203592622817998e-07,3.313572009687069e-08,0.031316214641916876
200,occ_plus_uniform,300,8.697958211238359e-07,4.193752346978746e-08,0.05234597441297258
200,oracle_tail,300,1.328795905866853e-07,6.637553267410809e-09,0.007996947651311597
200,tis,300,1.5259507426760136e-05,1.102887951022772e-06,0.9183463129124726
200,tis_anchored,300,7.654111697766746e-07,4.0877839317254115e-08,0.04606390664968354
200,uniform,300,1.6616288661698495e-05,1.2980749050242542e-06,1.0
400,complete_rollout,300,1.8609935016747681e-07,8.925733751192621e-09,0.025322103322398974
400,learned_mean,300,3.993262322430861e-06,3.566084650638249e-07,0.5433538646483074
400,learned_occupancy,300,2.377619988257137e-07,1.2483321454079081e-08,0.03235171909513205
400,occ_plus_mean,300,2.3192516664183988e-07,1.2800269152379032e-08,0.03155751499123515
400,occ_plus_uniform,300,3.825705264889632e-07,1.745464044049637e-08,0.0520554767716277
400,oracle_tail,300,6.683627184099484e-08,3.7113125080017404e-09,0.009094255190673903
400,tis,300,6.223469819237746e-06,3.7627071719353864e-07,0.8468129826608654
400,tis_anchored,300,2.997174947057106e-07,1.5574719583397306e-08,0.04078185851610205
400,uniform,300,7.349284844077718e-06,3.740856576644577e-07,1.0
