budget_per_group,panel_index,method,replications,mse,bias
100,0,complete_rollout,300,1.828624108039483e-07,-5.2245028488077474e-06
100,0,learned_mean,300,3.5909147029987556e-07,9.316604520017109e-05
100,0,learned_occupancy,300,2.0670951095293803e-07,-4.456371976044871e-06
100,0,occ_plus_mean,300,1.5381237166047926e-07,4.401164166287034e-06
100,0,occ_plus_uniform,300,1.2935272031483696e-07,-3.0241964365473882e-06
100,0,oracle_tail,300,4.244441136611114e-08,1.2734734874995843e-05
100,0,tis,300,3.739090867431236e-07,5.02367274257424e-05
100,0,tis_anchored,300,1.3906713034080848e-07,4.1239068609459177e-07
100,0,uniform,300,7.374191653065763e-07,-1.268511136120439e-05
100,1,complete_rollout,300,3.856671562265469e-06,-0.00016713131790867678
100,1,learned_mean,300,4.209942975274488e-05,-0.00018586942537388056
100,1,learned_occupancy,300,9.926377566201954e-06,-0.00018561911591037297
100,1,occ_plus_mean,300,5.072763584452786e-06,-3.64246657672133e-05
100,1,occ_plus_uniform,300,3.8905288985326675e-06,-3.211139694786036e-05
100,1,oracle_tail,300,8.39819503467816e-07,5.644703071318554e-05
100,1,tis,300,1.865290062069323e-05,4.3509470558584787e-05
100,1,tis_anchored,300,4.496344137927626e-06,-1.779417628084756e-05
100,1,uniform,300,2.6125505575047713e-05,-0.0002784592202973024
100,2,complete_rollout,300,6.157097003608488e-13,7.806172871142417e-08
100,2,learned_mean,300,9.562808657508308e-12,-2.0541377191799864e-08
100,2,learned_occupancy,300,2.0350832170023353e-12,-1.8097593961208247e-08
100,2,occ_plus_mean,300,2.2406116496921113e-12,-7.83756164228026e-08
100,2,occ_plus_uniform,300,1.7538446908133093e-12,-6.451880288323627e-08
100,2,oracle_tail,300,4.940030361840296e-13,-3.264206371126714e-08
100,2,tis,300,1.0584362297139868e-11,8.391363835125177e-08
100,2,tis_anchored,300,1.6603006073977077e-12,-1.1246349800616191e-07
100,2,uniform,300,1.333760417379928e-11,7.949756974934274e-08
100,3,complete_rollout,300,4.2222532478629494e-07,-1.8045649785672542e-05
100,3,learned_mean,300,5.16942594732586e-06,-5.771055850355052e-05
100,3,learned_occupancy,300,3.4893068897233045e-07,-4.6173110511490794e-05
100,3,occ_plus_mean,300,3.394085523458195e-07,-1.8525777202578197e-05
100,3,occ_plus_uniform,300,4.5504716936356876e-07,-1.5782165965543272e-05
100,3,oracle_tail,300,7.613883468116114e-08,2.2908784238372764e-05
100,3,tis,300,8.973536501958553e-06,-0.0001274325948028935
100,3,tis_anchored,300,4.5157159252234136e-07,-2.4348161713450002e-05
100,3,uniform,300,6.884323311750192e-06,-9.472413540185502e-05
100,4,complete_rollout,300,5.772760450000644e-05,0.0007396387305327598
100,4,learned_mean,300,0.0005202022490496984,0.005725992831516149
100,4,learned_occupancy,300,8.969838243176042e-05,0.00024746926697421845
100,4,occ_plus_mean,300,9.153072742902309e-05,0.0006434874402663053
100,4,occ_plus_uniform,300,0.00012645092299055872,0.000788669379531528
100,4,oracle_tail,300,4.3675278394871376e-05,0.00021565362665366684
100,4,tis,300,0.000710445080342929,0.006206940021230729
100,4,tis_anchored,300,9.68758014202347e-05,0.00059070504317052
100,4,uniform,300,0.0008818005347109414,0.006037173871826603
100,5,complete_rollout,300,1.1379091208260917e-05,8.670984437994041e-05
100,5,learned_mean,300,0.0001715130735248013,-0.0005267852428804506
100,5,learned_occupancy,300,6.806756979665846e-05,-0.0002689113474170661
100,5,occ_plus_mean,300,5.001636473314789e-05,-0.0002475587309810678
100,5,occ_plus_uniform,300,3.099750880708789e-05,-0.00022365836009193693
100,5,oracle_tail,300,4.152535932277427e-06,1.5043322173859212e-05
100,5,tis,300,0.00018290206977488848,-0.0011684788292137711
100,5,tis_anchored,300,3.8652248866498015e-05,-0.0006302986565887044
100,5,uniform,300,0.0002019789863334797,0.0004892743107380689
100,6,complete_rollout,300,7.888609052210118e-31,-8.881784197001252e-16
100,6,learned_mean,300,4.597517065753182e-06,0.00024566919229658925
100,6,learned_occupancy,300,7.696195063324116e-07,6.738093600955267e-05
100,6,occ_plus_mean,300,6.990942258025669e-07,7.322218423780742e-05
100,6,occ_plus_uniform,300,0.0,0.0
100,6,oracle_tail,300,0.0008011551836830045,0.011851848039559514
100,6,tis,300,0.0004824701575484716,0.00656444058755853
100,6,tis_anchored,300,6.565848444536804e-07,6.131848994445373e-05
100,6,uniform,300,0.0008011551836830045,0.011851848039559514
