budget_per_group,replication,method,panel_mse
200,0,complete_rollout,2.1651864113403444e-07
200,0,learned_mean,4.1572473379066665e-06
200,0,learned_occupancy,5.037646224867674e-07
200,0,occ_plus_mean,4.1513916587814736e-07
200,0,occ_plus_uniform,9.977081672151604e-07
200,0,oracle_tail,1.2410367354319274e-07
200,0,tis,4.1572473379066665e-06
200,0,tis_anchored,4.1513916587814736e-07
200,0,uniform,3.162164411222237e-06
200,1,complete_rollout,1.309268496932231e-07
200,1,learned_mean,4.178673817069075e-06
200,1,learned_occupancy,6.521525984950813e-07
200,1,occ_plus_mean,3.996464840238693e-07
200,1,occ_plus_uniform,3.610163893900663e-07
200,1,oracle_tail,2.9335792843074566e-07
200,1,tis,9.035589706202588e-06
200,1,tis_anchored,3.610163893900663e-07
200,1,uniform,6.776334070729501e-06
200,2,complete_rollout,1.2500798820202092e-07
200,2,learned_mean,1.150110520212748e-07
200,2,learned_occupancy,3.1859877700662053e-07
200,2,occ_plus_mean,9.541755742026263e-08
200,2,occ_plus_uniform,1.527186739419209e-06
200,2,oracle_tail,6.482150783225375e-08
200,2,tis,4.137913839667076e-06
200,2,tis_anchored,5.089856063591303e-07
200,2,uniform,1.712772575950991e-05
200,3,complete_rollout,3.012487910389356e-07
200,3,learned_mean,8.328855897985397e-06
200,3,learned_occupancy,2.97275732326131e-07
200,3,occ_plus_mean,9.092299265481482e-08
200,3,occ_plus_uniform,5.251939106448343e-07
200,3,oracle_tail,1.858734244517585e-07
200,3,tis,1.3230856752970625e-05
200,3,tis_anchored,5.251939106448343e-07
200,3,uniform,1.323085587793222e-05
200,4,complete_rollout,5.572884900191992e-07
200,4,learned_mean,3.620816362595954e-07
200,4,learned_occupancy,3.6910369445242846e-07
200,4,occ_plus_mean,3.576608311222752e-07
200,4,occ_plus_uniform,1.1796857808203349e-06
200,4,oracle_tail,9.338075020414339e-09
200,4,tis,1.3230854738540285e-05
200,4,tis_anchored,1.1796857808203349e-06
200,4,uniform,1.3230855443748126e-05
200,5,complete_rollout,4.2992523009163826e-10
200,5,learned_mean,1.220506183662341e-07
200,5,learned_occupancy,2.740588606203257e-07
200,5,occ_plus_mean,8.718332828125736e-08
200,5,occ_plus_uniform,9.53705372476896e-07
200,5,oracle_tail,2.1974263113678515e-08
200,5,tis,1.3230852771880919e-05
200,5,tis_anchored,9.53705372476896e-07
200,5,uniform,6.776332365120761e-06
200,6,complete_rollout,7.663378066842367e-07
200,6,learned_mean,3.2410908709736546e-07
200,6,learned_occupancy,7.88001560678172e-08
200,6,occ_plus_mean,5.351202693260073e-07
200,6,occ_plus_uniform,8.937369970012166e-07
200,6,oracle_tail,1.7514821702950358e-07
200,6,tis,3.2410908709736546e-07
200,6,tis_anchored,5.349449064604124e-07
200,6,uniform,8.884534907977848e-06
200,7,complete_rollout,2.9881572205894444e-08
200,7,learned_mean,2.7846215161987378e-06
200,7,learned_occupancy,4.821837631153503e-08
200,7,occ_plus_mean,1.5265995249622136e-06
200,7,occ_plus_uniform,1.6155383790973756e-06
200,7,oracle_tail,5.266108787514742e-08
200,7,tis,6.880885052823661e-06
200,7,tis_anchored,1.6155436794485046e-06
200,7,uniform,3.1621576599361804e-06
200,8,complete_rollout,2.3006363031502497e-07
200,8,learned_mean,8.485023955770825e-08
200,8,learned_occupancy,9.123506916986236e-07
200,8,occ_plus_mean,1.3801724215404013e-07
200,8,occ_plus_uniform,8.992343331046789e-07
200,8,oracle_tail,7.36040024925302e-08
200,8,tis,2.9292438064148637e-06
200,8,tis_anchored,8.992343331046789e-07
200,8,uniform,2.067946865299546e-05
200,9,complete_rollout,2.3300062923152517e-07
200,9,learned_mean,8.59487358512257e-06
200,9,learned_occupancy,3.1320971318937275e-07
200,9,occ_plus_mean,6.854000367543607e-07
200,9,occ_plus_uniform,6.698544781354289e-07
200,9,oracle_tail,4.90235054950395e-08
200,9,tis,1.3230856752970625e-05
200,9,tis_anchored,6.698544781354289e-07
200,9,uniform,1.3230856752970625e-05
200,10,complete_rollout,3.809227951748781e-07
200,10,learned_mean,2.7502246983589183e-06
200,10,learned_occupancy,2.2841780218598686e-08
200,10,occ_plus_mean,2.79528514020288e-07
200,10,occ_plus_uniform,3.503359494383251e-07
200,10,oracle_tail,1.3414521726091977e-07
200,10,tis,6.880887008691528e-06
200,10,tis_anchored,3.503359494383251e-07
200,10,uniform,3.162164411222237e-06
200,11,complete_rollout,2.419460776169633e-08
200,11,learned_mean,4.045857444897908e-06
200,11,learned_occupancy,1.1568117287445179e-07
200,11,occ_plus_mean,1.2983112593568503e-07
200,11,occ_plus_uniform,2.51695878459244e-07
200,11,oracle_tail,2.9011714219397104e-08
200,11,tis,4.043808374307186e-06
200,11,tis_anchored,1.396985645820816e-07
200,11,uniform,6.724255327694122e-06
200,12,complete_rollout,2.1899390264155652e-07
200,12,learned_mean,1.0789042966154806e-07
200,12,learned_occupancy,1.942750828414832e-06
200,12,occ_plus_mean,6.33348260783642e-07
200,12,occ_plus_uniform,3.0513682433998112e-06
200,12,oracle_tail,1.0679780925788083e-07
200,12,tis,2.929241131123517e-06
200,12,tis_anchored,3.0513682433998112e-06
200,12,uniform,1.863202110525345e-06
200,13,complete_rollout,3.1161961993783724e-07
200,13,learned_mean,8.446438014743225e-06
200,13,learned_occupancy,2.6456253010467776e-07
200,13,occ_plus_mean,8.454482222502694e-08
200,13,occ_plus_uniform,1.1192514202932885e-07
200,13,oracle_tail,1.2268488561859276e-07
200,13,tis,1.3230854077679277e-05
200,13,tis_anchored,1.1192514202932885e-07
200,13,uniform,1.3230854154536255e-05
200,14,complete_rollout,2.298558129749145e-08
200,14,learned_mean,4.902844094505387e-06
200,14,learned_occupancy,7.088801906629147e-08
200,14,occ_plus_mean,7.558593245432527e-07
200,14,occ_plus_uniform,9.025168624966389e-07
200,14,oracle_tail,7.061252029880069e-09
200,14,tis,1.3230856076185957e-05
200,14,tis_anchored,9.025168624966389e-07
200,14,uniform,1.3230856314339722e-05
200,15,complete_rollout,5.006020999749935e-09
200,15,learned_mean,4.902509265590183e-06
200,15,learned_occupancy,1.5579960114790803e-07
200,15,occ_plus_mean,4.1806236653902824e-08
200,15,occ_plus_uniform,8.597931497904731e-07
200,15,oracle_tail,1.148976918724472e-08
200,15,tis,5.08394453726656e-06
200,15,tis_anchored,8.597931497904731e-07
200,15,uniform,6.7763319442770845e-06
200,16,complete_rollout,4.290333011567277e-08
200,16,learned_mean,1.9745401126702068e-07
200,16,learned_occupancy,1.8518122196782395e-07
200,16,occ_plus_mean,8.379428665228817e-08
200,16,occ_plus_uniform,4.900326469284975e-07
200,16,oracle_tail,3.9432506278883276e-08
200,16,tis,2.9292438064148637e-06
200,16,tis_anchored,4.900326469284975e-07
200,16,uniform,1.8632055573172758e-06
