budget_per_group,panel_index,method,replications,mse,bias
100,0,complete_rollout,300,0.0,0.0
100,0,learned_mean,300,0.0,0.0
100,0,learned_occupancy,300,0.0,0.0
100,0,occ_plus_mean,300,0.0,0.0
100,0,occ_plus_uniform,300,0.0,0.0
100,0,oracle_tail,300,0.0,0.0
100,0,tis,300,0.0,0.0
100,0,tis_anchored,300,0.0,0.0
100,0,uniform,300,0.0,0.0
100,1,complete_rollout,300,4.930380657631324e-32,2.220446049250313e-16
100,1,learned_mean,300,4.930380657631324e-32,2.220446049250313e-16
100,1,learned_occupancy,300,4.930380657631324e-32,2.220446049250313e-16
100,1,occ_plus_mean,300,4.930380657631324e-32,2.220446049250313e-16
100,1,occ_plus_uniform,300,4.930380657631324e-32,2.220446049250313e-16
100,1,oracle_tail,300,4.930380657631324e-32,2.220446049250313e-16
100,1,tis,300,4.930380657631324e-32,2.220446049250313e-16
100,1,tis_anchored,300,4.930380657631324e-32,2.220446049250313e-16
100,1,uniform,300,4.930380657631324e-32,2.220446049250313e-16
100,2,complete_rollout,300,7.838843834880212e-18,-7.048579497848095e-11
100,2,learned_mean,300,8.350144757677511e-21,9.137912648782276e-11
100,2,learned_occupancy,300,2.8850185854904405e-18,-6.848846674974614e-12
100,2,occ_plus_mean,300,9.804203232734649e-21,8.885199909158814e-11
100,2,occ_plus_uniform,300,1.0989489036310558e-20,8.653649870756416e-11
100,2,oracle_tail,300,4.0266584111553574e-19,5.571108019353233e-12
100,2,tis,300,8.350144757677511e-21,9.137912648782276e-11
100,2,tis_anchored,300,1.0989489036310558e-20,8.653649870756416e-11
100,2,uniform,300,8.350144757677511e-21,9.137912648782276e-11
100,3,complete_rollout,300,1.1505979842113375e-05,9.576282880001304e-05
100,3,learned_mean,300,0.00040086425719239663,-0.0005089795323691167
100,3,learned_occupancy,300,1.722563608173568e-05,1.0417260398352853e-05
100,3,occ_plus_mean,300,2.3711236117476283e-05,0.000173168735440028
100,3,occ_plus_uniform,300,3.227744366607162e-05,0.0003233858546568924
100,3,oracle_tail,300,4.114296654880188e-06,8.60932386146677e-05
100,3,tis,300,0.0006208646533970634,-0.0011118836587783402
100,3,tis_anchored,300,2.984832682891673e-05,0.0003035838103783095
