case,budget_per_block,replication,method,truth,error
4,150,0,uniform,1.1762926826312994,0.009332102663383912
4,150,0,learned_occupancy,1.1762926826312994,-0.04129465203620808
4,150,0,learned_mean,1.1762926826312994,-0.03958818350091242
4,150,0,tis,1.1762926826312994,-0.009898601632933435
4,150,0,tis_anchored,1.1762926826312994,-0.0012731523886293505
4,150,0,occ_plus_uniform,1.1762926826312994,-0.030198324164959045
4,150,0,occ_plus_mean,1.1762926826312994,-0.03561925458594373
4,150,0,oracle_tail,1.1762926826312994,0.015534365868902
4,150,0,complete_rollout,1.1762926826312994,-0.0343655992979659
4,150,1,uniform,1.1762926826312994,-0.012720483760788381
4,150,1,learned_occupancy,1.1762926826312994,-0.047356877056230484
4,150,1,learned_mean,1.1762926826312994,-0.06200666273564348
4,150,1,tis,1.1762926826312994,-0.04100621152330941
4,150,1,tis_anchored,1.1762926826312994,-0.02854915158146154
4,150,1,occ_plus_uniform,1.1762926826312994,-0.028451782568342354
4,150,1,occ_plus_mean,1.1762926826312994,-0.04078435170014294
4,150,1,oracle_tail,1.1762926826312994,-0.009419269279815179
4,150,1,complete_rollout,1.1762926826312994,-0.02785518263129938
4,150,2,uniform,1.1762926826312994,0.0214370218106954
4,150,2,learned_occupancy,1.1762926826312994,0.009007398246817733
4,150,2,learned_mean,1.1762926826312994,0.009852111880367831
4,150,2,tis,1.1762926826312994,0.011293840402126554
4,150,2,tis_anchored,1.1762926826312994,-0.00038138489778072326
4,150,2,occ_plus_uniform,1.1762926826312994,0.0025276654902417484
4,150,2,occ_plus_mean,1.1762926826312994,0.0011792730937940643
4,150,2,oracle_tail,1.1762926826312994,-0.01745125005659598
4,150,2,complete_rollout,1.1762926826312994,0.03724898403536736
4,150,3,uniform,1.1762926826312994,-0.01201409839112011
4,150,3,learned_occupancy,1.1762926826312994,-0.014090851036610452
4,150,3,learned_mean,1.1762926826312994,-0.008476939566120612
4,150,3,tis,1.1762926826312994,-0.02011027137079946
4,150,3,tis_anchored,1.1762926826312994,-0.011343486411462322
4,150,3,occ_plus_uniform,1.1762926826312994,-0.012257330519015674
4,150,3,occ_plus_mean,1.1762926826312994,-0.009533833157041371
4,150,3,oracle_tail,1.1762926826312994,-0.028779328089704626
4,150,3,complete_rollout,1.1762926826312994,-0.00832393263129938
4,150,4,uniform,1.1762926826312994,-0.005077642622768108
4,150,4,learned_occupancy,1.1762926826312994,-0.00529527754369008
4,150,4,learned_mean,1.1762926826312994,-0.004721266619233555
4,150,4,tis,1.1762926826312994,0.01073899414267565
4,150,4,tis_anchored,1.1762926826312994,0.023486625793386118
4,150,4,occ_plus_uniform,1.1762926826312994,-0.003419197970548904
4,150,4,occ_plus_mean,1.1762926826312994,-0.02032076272659933
4,150,4,oracle_tail,1.1762926826312994,0.0029626603381407435
4,150,4,complete_rollout,1.1762926826312994,0.10886356736870062
4,150,5,uniform,1.1762926826312994,0.064246955260012
4,150,5,learned_occupancy,1.1762926826312994,0.05161225886476162
4,150,5,learned_mean,1.1762926826312994,0.057810686542736134
4,150,5,tis,1.1762926826312994,0.046411820985006846
4,150,5,tis_anchored,1.1762926826312994,0.033353412365566326
4,150,5,occ_plus_uniform,1.1762926826312994,0.06459969417016831
4,150,5,occ_plus_mean,1.1762926826312994,0.06207696874720958
4,150,5,oracle_tail,1.1762926826312994,0.02651228018468399
4,150,5,complete_rollout,1.1762926826312994,-0.02785518263129938
4,150,6,uniform,1.1762926826312994,0.037373928281043245
4,150,6,learned_occupancy,1.1762926826312994,0.02025918159218487
4,150,6,learned_mean,1.1762926826312994,0.013498949679846772
4,150,6,tis,1.1762926826312994,0.0008162432492022642
4,150,6,tis_anchored,1.1762926826312994,-0.002093255272531458
4,150,6,occ_plus_uniform,1.1762926826312994,0.04232123940486665
4,150,6,occ_plus_mean,1.1762926826312994,0.021509670793168567
4,150,6,oracle_tail,1.1762926826312994,0.0005004328906523803
4,150,6,complete_rollout,1.1762926826312994,-0.0343655992979659
4,150,7,uniform,1.1762926826312994,0.01990995557947861
4,150,7,learned_occupancy,1.1762926826312994,0.009855472559549883
4,150,7,learned_mean,1.1762926826312994,-0.002278079859145077
4,150,7,tis,1.1762926826312994,0.022605704257090187
4,150,7,tis_anchored,1.1762926826312994,0.022811132312003934
4,150,7,occ_plus_uniform,1.1762926826312994,0.005746129619707885
4,150,7,occ_plus_mean,1.1762926826312994,0.0008671546063168112
4,150,7,oracle_tail,1.1762926826312994,0.03701789202021177
4,150,7,complete_rollout,1.1762926826312994,0.13490523403536736
4,150,8,uniform,1.1762926826312994,-0.09628494862946968
