horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
6,0.1,100,complete_rollout-minus-tis,300,-0.05700626322804408,0.0028514319475454178
6,0.1,100,learned_mean-minus-tis,300,-0.008549700480709379,0.0007055634612184379
6,0.1,100,learned_occupancy-minus-tis,300,-0.05442180749505884,0.0028450670732394767
6,0.1,100,occ_plus_mean-minus-tis,300,-0.05491004592763017,0.002829968996331765
6,0.1,100,occ_plus_uniform-minus-tis,300,-0.05333296060424251,0.002841884926539277
6,0.1,100,oracle_tail-minus-tis,300,-0.057091682005888524,0.002886781435028656
6,0.1,100,tis_anchored-minus-tis,300,-0.055113528683195835,0.002827333813118797
6,0.1,100,uniform-minus-tis,300,-0.01825383127421135,0.002971151601547153
6,0.1,200,complete_rollout-minus-tis,300,-0.03445863779136689,0.0016911631488153575
6,0.1,200,learned_mean-minus-tis,300,-0.005934281459730077,0.000646764219081053
6,0.1,200,learned_occupancy-minus-tis,300,-0.033457237062419834,0.0016901820337410648
6,0.1,200,occ_plus_mean-minus-tis,300,-0.03372065669513828,0.0016870049800400994
6,0.1,200,occ_plus_uniform-minus-tis,300,-0.03283771291163232,0.0016955583474054306
6,0.1,200,oracle_tail-minus-tis,300,-0.03499086447127204,0.0016890081466761932
6,0.1,200,tis_anchored-minus-tis,300,-0.033886835749634275,0.0016876630952824434
6,0.1,200,uniform-minus-tis,300,-0.015501810298324259,0.0018124263352090747
6,0.1,400,complete_rollout-minus-tis,300,-0.018224599897681562,0.0009259773844168399
6,0.1,400,learned_mean-minus-tis,300,-0.0038099827320818647,0.00044124228398946595
6,0.1,400,learned_occupancy-minus-tis,300,-0.018033140689402125,0.0009269643441228506
6,0.1,400,occ_plus_mean-minus-tis,300,-0.018172911968005245,0.0009260866763375107
6,0.1,400,occ_plus_uniform-minus-tis,300,-0.017599558394990198,0.0009275010908135283
6,0.1,400,oracle_tail-minus-tis,300,-0.018599904875005763,0.0009284572722353806
6,0.1,400,tis_anchored-minus-tis,300,-0.018270436004924385,0.0009260341710539261
6,0.1,400,uniform-minus-tis,300,-0.008263345865455945,0.0009901566537037897
