horizon,alpha,budget_per_shared_group,method,replications,panel_mse,mcse,normalized_to_uniform
6,0.1,100,complete_rollout,300,0.002780954464392409,6.375761451035664e-05,0.0669570845100198
6,0.1,100,learned_mean,300,0.051237517211727104,0.0027563227060932176,1.2336465102023015
6,0.1,100,learned_occupancy,300,0.005365410197377649,0.00014924145778237206,0.12918306596409077
6,0.1,100,occ_plus_mean,300,0.004877171764806317,0.00013115609227537094,0.11742774152088356
6,0.1,100,occ_plus_uniform,300,0.006454257088193984,0.00018365785072262507,0.1553992497313393
6,0.1,100,oracle_tail,300,0.0026955356865479628,0.00042665848481433495,0.06490045524833832
6,0.1,100,tis,300,0.059787217692436494,0.002847519415345431,1.4394977835518237
6,0.1,100,tis_anchored,300,0.004673689009240644,0.00012895060109712194,0.1125284840050942
6,0.1,100,uniform,300,0.041533386418225134,0.0012511662478603594,1.0
6,0.1,200,complete_rollout,300,0.0014003086057652703,3.2059284005532836e-05,0.06878711224253549
6,0.1,200,learned_mean,300,0.029924664937402087,0.0015501531430988091,1.4699840288022856
6,0.1,200,learned_occupancy,300,0.0024017093347123287,5.96685041122125e-05,0.11797874332887968
6,0.1,200,occ_plus_mean,300,0.0021382897019938773,6.101385404009137e-05,0.10503882725031709
6,0.1,200,occ_plus_uniform,300,0.003021233485499842,8.43093699615388e-05,0.14841151873405037
6,0.1,200,oracle_tail,300,0.0008680819258601274,6.291911027551292e-05,0.04264263507630435
6,0.1,200,tis,300,0.03585894639713216,0.0016942375754868768,1.7614926885138833
6,0.1,200,tis_anchored,300,0.0019721106474978813,5.3965045482268534e-05,0.09687564291586999
6,0.1,200,uniform,300,0.020357136098807904,0.0005598648059657249,1.0
6,0.1,400,complete_rollout,300,0.000740266522208784,1.7305782743169168e-05,0.06917395695717642
6,0.1,400,learned_mean,300,0.015154883687808483,0.0007996724581243713,1.4161430247899431
6,0.1,400,learned_occupancy,300,0.0009317257304882235,2.380556119544229e-05,0.08706479847876789
6,0.1,400,occ_plus_mean,300,0.0007919544518851012,2.2282529830254527e-05,0.07400391821486882
6,0.1,400,occ_plus_uniform,300,0.0013653080249001505,3.6604425251250944e-05,0.12758075060038138
6,0.1,400,oracle_tail,300,0.0003649615448845835,2.1099284939504553e-05,0.034103709190499466
6,0.1,400,tis,300,0.01896486641989035,0.0009272807917261572,1.7721655837059394
6,0.1,400,tis_anchored,300,0.0006944304149659626,1.9160934808391458e-05,0.06489081728467182
6,0.1,400,uniform,300,0.010701520554434402,0.00034953498195306344,1.0
