horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
6,0.1,100,complete_rollout-minus-tis,300,-0.0017864538922509625,0.00016192530869632677
6,0.1,100,learned_mean-minus-tis,300,-0.0013412044670068624,0.0001529250268121077
6,0.1,100,learned_occupancy-minus-tis,300,-0.0013383055806579268,0.00015992337602591418
6,0.1,100,occ_plus_mean-minus-tis,300,-0.0016022632963422789,0.0001597614442469996
6,0.1,100,occ_plus_uniform-minus-tis,300,-0.0010184565932511694,0.0001640547588917679
6,0.1,100,oracle_tail-minus-tis,300,-0.0021894380066925204,0.00016011047645099819
6,0.1,100,tis_anchored-minus-tis,300,-0.001701513810592464,0.00015846234202525396
6,0.1,100,uniform-minus-tis,300,0.0038487986572290954,0.00020581563362617443
6,0.1,200,complete_rollout-minus-tis,300,-0.0004499611666926953,6.501643850893644e-05
6,0.1,200,learned_mean-minus-tis,300,-0.0003667408401774845,5.9946699602752356e-05
6,0.1,200,learned_occupancy-minus-tis,300,-0.00029860357712021136,6.426126458575332e-05
6,0.1,200,occ_plus_mean-minus-tis,300,-0.00044151830808041693,6.422795085938683e-05
6,0.1,200,occ_plus_uniform-minus-tis,300,-0.00013617453686115235,6.692019503174556e-05
6,0.1,200,oracle_tail-minus-tis,300,-0.00065500563555686,6.43090050035463e-05
6,0.1,200,tis_anchored-minus-tis,300,-0.000488911467164641,6.312475802495802e-05
6,0.1,200,uniform-minus-tis,300,0.0023376489423363998,0.0001033721636227459
6,0.1,400,complete_rollout-minus-tis,300,-7.544371813673864e-05,1.4331388488568074e-05
6,0.1,400,learned_mean-minus-tis,300,-0.00010306370288468151,1.352762848767997e-05
6,0.1,400,learned_occupancy-minus-tis,300,-4.4705518106742065e-05,1.4476043003842039e-05
6,0.1,400,occ_plus_mean-minus-tis,300,-0.00011466886540108812,1.3565284620290049e-05
6,0.1,400,occ_plus_uniform-minus-tis,300,5.8510136211771104e-05,1.557141443876855e-05
6,0.1,400,oracle_tail-minus-tis,300,-0.00019095170274852514,1.3554745773342728e-05
6,0.1,400,tis_anchored-minus-tis,300,-0.0001338521790515014,1.3474236650746805e-05
6,0.1,400,uniform-minus-tis,300,0.0013412852663269921,4.00688600549526e-05
