horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,100,0,complete_rollout,0.0003024239316136552
6,0.1,100,0,learned_mean,0.00040488004475358385
6,0.1,100,0,learned_occupancy,0.0007432857532722832
6,0.1,100,0,occ_plus_mean,0.0005754842280201868
6,0.1,100,0,occ_plus_uniform,0.0015478225428204948
6,0.1,100,0,oracle_tail,0.0001667908029598239
6,0.1,100,0,tis,0.002536350593979781
6,0.1,100,0,tis_anchored,0.00038633749196388467
6,0.1,100,0,uniform,0.009148444875069708
6,0.1,100,1,complete_rollout,0.0006662316277317715
6,0.1,100,1,learned_mean,0.0008239428199666761
6,0.1,100,1,learned_occupancy,0.0010540220063615015
6,0.1,100,1,occ_plus_mean,0.001047631533018381
6,0.1,100,1,occ_plus_uniform,0.0009912494577430182
6,0.1,100,1,oracle_tail,0.0004355206690941717
6,0.1,100,1,tis,0.0014108929135914952
6,0.1,100,1,tis_anchored,0.0008485843123682925
6,0.1,100,1,uniform,0.008360189034819313
6,0.1,100,2,complete_rollout,0.0007468028642037729
6,0.1,100,2,learned_mean,0.0009531591823876528
6,0.1,100,2,learned_occupancy,0.000897640741668116
6,0.1,100,2,occ_plus_mean,0.0009106706185350743
6,0.1,100,2,occ_plus_uniform,0.0018171391353673059
6,0.1,100,2,oracle_tail,0.00019835834577323178
6,0.1,100,2,tis,0.0008723299649885987
6,0.1,100,2,tis_anchored,0.0006712190880354787
6,0.1,100,2,uniform,0.007392935480387098
6,0.1,100,3,complete_rollout,0.0003660064311920644
6,0.1,100,3,learned_mean,0.0015393198595740369
6,0.1,100,3,learned_occupancy,0.0016877272370975254
6,0.1,100,3,occ_plus_mean,0.0009965307575621515
6,0.1,100,3,occ_plus_uniform,0.0017079662716661392
6,0.1,100,3,oracle_tail,0.00032594198811991255
6,0.1,100,3,tis,0.0007361739413389078
6,0.1,100,3,tis_anchored,0.0012026667400540463
6,0.1,100,3,uniform,0.006575115294298872
6,0.1,100,4,complete_rollout,0.0008284669283804021
6,0.1,100,4,learned_mean,0.0005761794085695698
6,0.1,100,4,learned_occupancy,0.000760084720875408
