horizon,alpha,budget_per_shared_group,method,replications,panel_mse,mcse,normalized_to_uniform
6,0.1,100,complete_rollout,300,0.0006356166377302406,1.5687249119587122e-05,0.10136021319446552
6,0.1,100,learned_mean,300,0.0010808660629743408,5.338182652449485e-05,0.17236303783513976
6,0.1,100,learned_occupancy,300,0.0010837649493232759,3.205066006749895e-05,0.1728253160715998
6,0.1,100,occ_plus_mean,300,0.000819807233638924,2.8521357178738955e-05,0.13073263197882606
6,0.1,100,occ_plus_uniform,300,0.0014036139367300336,3.421255394439107e-05,0.22383084303413045
6,0.1,100,oracle_tail,300,0.00023263252328868265,6.265435186002631e-06,0.03709733313575516
6,0.1,100,tis,300,0.0024220705299812027,0.00016012725355136876,0.3862415970853159
6,0.1,100,tis_anchored,300,0.0007205567193887389,2.2679890987372726e-05,0.11490539794042341
6,0.1,100,uniform,300,0.006270869187210299,0.00014538069159433542,1.0
6,0.1,200,complete_rollout,300,0.0003211214962681674,8.214411726379583e-06,0.10329662931369762
6,0.1,200,learned_mean,300,0.00040434182278337817,2.6514598654068403e-05,0.13006649467402778
6,0.1,200,learned_occupancy,300,0.00047247908584065136,1.4382541799190762e-05,0.15198452160860382
6,0.1,200,occ_plus_mean,300,0.0003295643548804459,1.4193826874524664e-05,0.1060124824924963
6,0.1,200,occ_plus_uniform,300,0.0006349081260997104,1.5409416999386807e-05,0.2042338183900567
6,0.1,200,oracle_tail,300,0.00011607702740400269,3.16943936192844e-06,0.0373390315221192
6,0.1,200,tis,300,0.0007710826629608627,6.429477560311342e-05,0.24803770825597873
6,0.1,200,tis_anchored,300,0.0002821711957962216,1.122322715475599e-05,0.09076730693489377
6,0.1,200,uniform,300,0.003108731605297262,7.628210933850784e-05,1.0
6,0.1,400,complete_rollout,300,0.00016896199229159692,4.241961447312821e-06,0.10655417402786153
6,0.1,400,learned_mean,300,0.00014134200754365407,4.516645254770201e-06,0.08913590959120603
6,0.1,400,learned_occupancy,300,0.00019970019232159352,5.329035567510801e-06,0.125938909440113
6,0.1,400,occ_plus_mean,300,0.00012973684502724745,3.4573326429053113e-06,0.0818172310551439
6,0.1,400,occ_plus_uniform,300,0.0003029158466401067,7.663344232526984e-06,0.1910308194222932
6,0.1,400,oracle_tail,300,5.3454007679810455e-05,1.4189326632463251e-06,0.033710230091104576
6,0.1,400,tis,300,0.0002444057104283356,1.3707255776354746e-05,0.15413199293625507
6,0.1,400,tis_anchored,300,0.0001105535313768342,3.477550144531615e-06,0.06971946804102463
6,0.1,400,uniform,300,0.0015856909767553277,3.7464183866314344e-05,1.0
