horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
6,0.1,100,0,complete_rollout,300,0.0012166553553323554,9.485595286737073e-05,-0.0003075304335368993,0.15349494194154106
6,0.1,100,0,learned_mean,300,0.0009315483894540673,7.754568026455256e-05,0.00018898962218479495,0.11752544821201887
6,0.1,100,0,learned_occupancy,300,0.0018125761315770084,0.0001373691391475102,0.00012743322575826,0.22867714086955537
6,0.1,100,0,occ_plus_mean,300,0.001028910945983315,8.465720482909799e-05,0.0008367849977441792,0.1298088445709281
6,0.1,100,0,occ_plus_uniform,300,0.0028880437868972018,0.0002234154903755278,-0.002660214820078819,0.36435964503137164
6,0.1,100,0,oracle_tail,300,0.0003911166429901998,3.4826673845844644e-05,-0.00020094939501669334,0.049343822919968555
6,0.1,100,0,tis,300,0.0009013516219109008,8.122458856107975e-05,0.00021425025495536154,0.11371578176823423
6,0.1,100,0,tis_anchored,300,0.0007729990215698066,6.523360697848153e-05,4.447231597219492e-05,0.09752263812155196
6,0.1,100,0,uniform,300,0.007926354705523272,0.0006706851701311632,0.0013987408811809428,1.0
6,0.1,100,1,complete_rollout,300,1.7313656281156855e-05,1.4129688327400672e-06,-2.873959793385635e-05,0.05193776560049535
6,0.1,100,1,learned_mean,300,0.00031045681010714063,0.00013468929906219017,-0.00019012066020283934,0.9313129919282868
6,0.1,100,1,learned_occupancy,300,2.4291548337362998e-05,1.956573020988324e-06,-6.314644896976566e-05,0.0728701507718023
6,0.1,100,1,occ_plus_mean,300,4.479456119078319e-05,5.0083451597210554e-06,0.00016781237348223972,0.13437539601822857
6,0.1,100,1,occ_plus_uniform,300,4.77137769188203e-05,4.66986227075191e-06,2.5927755524059274e-05,0.14313250311091602
6,0.1,100,1,oracle_tail,300,4.926308257989086e-06,4.1369885013721803e-07,2.748183908891644e-05,0.014778013345320131
6,0.1,100,1,tis,300,3.409922312272757e-05,8.229196990883948e-06,0.0004490237606602913,0.10229136058538407
6,0.1,100,1,tis_anchored,300,1.74458593579039e-05,3.3526925832246018e-06,0.00010414897117603832,0.052334350371513655
6,0.1,100,1,uniform,300,0.00033335389154653445,5.1777828783121446e-05,1.4463779179485492e-05,1.0
6,0.1,100,2,complete_rollout,300,1.6795197801457955e-06,1.605878959316083e-07,-6.552280699097857e-05,0.05373701618314512
6,0.1,100,2,learned_mean,300,3.748810237884987e-05,1.4949426091279713e-05,0.00010112883501988357,1.199449264022828
6,0.1,100,2,learned_occupancy,300,4.104151920649133e-07,3.071437615586188e-08,-3.889140310391781e-05,0.013131424874249684
6,0.1,100,2,occ_plus_mean,300,4.3636721611189855e-07,4.493083234646436e-08,-9.040847077504596e-05,0.013961771948862379
6,0.1,100,2,occ_plus_uniform,300,8.449329483373916e-07,6.838994351614026e-08,-9.358158173341292e-05,0.027034022495726423
6,0.1,100,2,oracle_tail,300,1.3653018333332594e-07,1.2166343468830918e-08,-5.573521362740289e-05,0.004368346689333912
6,0.1,100,2,tis,300,2.392358448271565e-05,5.647078304557398e-06,-0.00013754496187330675,0.7654462077219071
6,0.1,100,2,tis_anchored,300,5.406240559922715e-07,5.121974417938757e-08,-8.288099217111119e-05,0.017297518010375768
6,0.1,100,2,uniform,300,3.125442943131973e-05,8.74054342735896e-06,0.0009395540820632393,1.0
6,0.1,100,3,complete_rollout,300,6.88094414177808e-05,6.271098211775078e-06,0.0002845950636526758,0.10551909365188238
6,0.1,100,3,learned_mean,300,6.568641341423867e-05,5.697138856833987e-06,0.0001050002832330632,0.1007299385941862
6,0.1,100,3,learned_occupancy,300,6.650662193058005e-05,6.402798957069798e-06,-8.644198456004097e-05,0.10198772615162935
6,0.1,100,3,occ_plus_mean,300,5.7504352852738514e-05,5.079137698495629e-06,0.00015695268526910795,0.08818277069302069
6,0.1,100,3,occ_plus_uniform,300,0.00010170088722992949,9.670197808393445e-06,0.0004261826247050952,0.15595803748700973
6,0.1,100,3,oracle_tail,300,2.614595397833708e-05,1.9169007105113534e-06,0.00032136296088091764,0.040094750220498666
6,0.1,100,3,tis,300,4.4268498582754134e-05,4.539562572182547e-06,0.00039084526882987656,0.06788562370998691
6,0.1,100,3,tis_anchored,300,4.583750483651164e-05,4.005942846915423e-06,0.00012628530992089566,0.07029169058713854
6,0.1,100,3,uniform,300,0.0006521041741013219,8.894816025985139e-05,-0.0021250577223234177,1.0
6,0.1,100,4,complete_rollout,300,0.00022184421211013974,2.0944675333219344e-05,-0.0001111504094740227,0.0757849320861118
6,0.1,100,4,learned_mean,300,0.0004557908536907764,4.3026329697528526e-05,0.0005020572498116108,0.15570421497080655
6,0.1,100,4,learned_occupancy,300,0.00031069568930378207,2.837618405721903e-05,0.00012074700179774597,0.10613777789994731
6,0.1,100,4,occ_plus_mean,300,0.0003273165517181376,3.078963267173394e-05,-0.00028956738639385784,0.11181568546085849
6,0.1,100,4,occ_plus_uniform,300,0.0004937636138923144,4.2581334736064324e-05,0.0015028359885757058,0.16867621467106034
6,0.1,100,4,oracle_tail,300,0.00010670030000345633,9.296017900570083e-06,-0.00023521920197547324,0.036450240970519764
6,0.1,100,4,tis,300,0.0018549160594436458,0.0007877459063072784,-0.001241483437369119,0.6336639854303849
6,0.1,100,4,tis_anchored,300,0.0003785180699351421,4.368158828333395e-05,-8.397114340624067e-05,0.12930680476423265
6,0.1,100,4,uniform,300,0.002927286546329102,0.00025885857157308297,0.0035304690300808858,1.0
6,0.1,100,5,complete_rollout,300,0.00150564198932791,0.000123908027983049,0.0011912874532523973,0.31862056432078245
6,0.1,100,5,learned_mean,300,0.0012063135500655164,0.00011911536381757334,-0.0016400528692337708,0.25527735463943235
6,0.1,100,5,learned_occupancy,300,0.0014041468115164038,0.00012105215108930177,-0.0016584942035096284,0.29714238354516825
6,0.1,100,5,occ_plus_mean,300,0.0013351266214408312,0.00012487222362014488,-0.0016451892451295538,0.28253648648113705
6,0.1,100,5,occ_plus_uniform,300,0.0015294015666319116,0.00013787587796465337,-0.0014448077642321957,0.32364851251981186
6,0.1,100,5,oracle_tail,300,0.000378891139567699,3.0255649626730445e-05,-0.0012697125257379804,0.08018008899917359
6,0.1,100,5,tis,300,0.0006805702173420699,5.2096820172050444e-05,-0.0022219940719377415,0.1440207355044892
6,0.1,100,5,tis_anchored,300,0.000769735407064161,6.326900057453403e-05,-0.0024780734805028,0.16288967199031604
6,0.1,100,5,uniform,300,0.004725501608904477,0.00037221752979784176,0.0013796561203895496,1.0
6,0.1,100,6,complete_rollout,300,7.922523809851654e-05,6.5327697230320415e-06,-0.00026842366442443756,0.1394201629845133
6,0.1,100,6,learned_mean,300,6.38386860756838e-05,5.121554838198032e-06,-0.00041571917922235803,0.1123429885603041
6,0.1,100,6,learned_occupancy,300,4.686260635764337e-05,3.955952215848208e-06,-0.0008121799375385944,0.0824685715445526
6,0.1,100,6,occ_plus_mean,300,4.264948061761974e-05,3.779986061440003e-06,-0.0008484624186373798,0.0750543347249937
6,0.1,100,6,occ_plus_uniform,300,7.870601537260135e-05,6.804820499502871e-06,-0.0004566016612563025,0.13850643752517994
6,0.1,100,6,oracle_tail,300,2.6625041621962387e-05,2.4487683460260313e-06,-0.0005715393629848467,0.04685461011537121
6,0.1,100,6,tis,300,3.423612783404935e-05,3.4387794619320437e-06,-0.0005256598425290048,0.060248560145017324
6,0.1,100,6,tis_anchored,300,3.608990645391733e-05,3.3510103469138243e-06,-0.0007343877811887145,0.06351083014284065
6,0.1,100,6,uniform,300,0.0005682480668690428,4.174837932880368e-05,0.00011810020591887701,1.0
6,0.1,100,7,complete_rollout,300,0.0003174347035406043,2.4978096934646857e-05,-0.00037855992865186335,0.08818400043189595
6,0.1,100,7,learned_mean,300,0.0005718429895147598,6.629742727547805e-05,-0.0007837460111421708,0.15885913503435167
6,0.1,100,7,learned_occupancy,300,0.0006707293959900873,7.734336072497542e-05,-0.0015246871142199907,0.18632997805833593
6,0.1,100,7,occ_plus_mean,300,0.0005721557055349995,6.288858170146992e-05,-0.001063891817675926,0.1589460081750521
6,0.1,100,7,occ_plus_uniform,300,0.0007116277722267042,7.33879347357807e-05,7.74713036676955e-05,0.19769162940737417
6,0.1,100,7,oracle_tail,300,0.00015303887736237465,1.2641583055129994e-05,0.0002845375373103165,0.04251450858048432
