horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
6,0.1,100,complete_rollout-minus-tis,300,-0.010449779777165229,0.0008494153052001978
6,0.1,100,learned_mean-minus-tis,300,0.0022420426037833272,0.000993973667321507
6,0.1,100,learned_occupancy-minus-tis,300,-0.006570659655396638,0.0008378858659490748
6,0.1,100,occ_plus_mean-minus-tis,300,-0.009100281446619674,0.0008266294222619865
6,0.1,100,occ_plus_uniform-minus-tis,300,-0.00556371502576555,0.0008531385094982614
6,0.1,100,oracle_tail-minus-tis,300,-0.012963869395092819,0.0008407190440408807
6,0.1,100,tis_anchored-minus-tis,300,-0.009030140921697894,0.0008153958416586839
6,0.1,100,uniform-minus-tis,300,0.03002646097976436,0.001170813989819106
6,0.1,200,complete_rollout-minus-tis,300,-0.005518636715555576,0.0005613997549688089
6,0.1,200,learned_mean-minus-tis,300,-0.0013743219177313809,0.000421628752248806
6,0.1,200,learned_occupancy-minus-tis,300,-0.004158340673424779,0.0005746955184775937
6,0.1,200,occ_plus_mean-minus-tis,300,-0.005428604554980474,0.0005683818449938093
6,0.1,200,occ_plus_uniform-minus-tis,300,-0.0032577853365198454,0.0005773555765002269
6,0.1,200,oracle_tail-minus-tis,300,-0.006655202221720838,0.0005665158132566151
6,0.1,200,tis_anchored-minus-tis,300,-0.005352785711325989,0.0005666006273364731
6,0.1,200,uniform-minus-tis,300,0.014587753740176958,0.0007345309221670535
6,0.1,400,complete_rollout-minus-tis,300,-0.002376088442236641,0.0003169569126103079
6,0.1,400,learned_mean-minus-tis,300,-0.0006460976757364053,0.00013562991028224358
6,0.1,400,learned_occupancy-minus-tis,300,-0.0019492621979656133,0.00031473364359028695
6,0.1,400,occ_plus_mean-minus-tis,300,-0.00256651037385168,0.00031307423860548204
6,0.1,400,occ_plus_uniform-minus-tis,300,-0.001446756008229223,0.00031716233784029655
6,0.1,400,oracle_tail-minus-tis,300,-0.00297742233728447,0.00031448603813947145
6,0.1,400,tis_anchored-minus-tis,300,-0.002544168833203857,0.00031255262611069537
6,0.1,400,uniform-minus-tis,300,0.007749936643064202,0.00038752988682890177
